#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -1002.85647004789 2.806100091736306
-5 -4 1 2 -4417.041683808777 7.227585612580196
-5 -4 2 3 -2539.632714406591 5.43203888354075
-5 -4 3 4 -1392.481327455151 4.075674360945152
-5 -4 4 5 -767.2411567647443 3.041810587814353
-5 -4 5 6 -415.3171825403488 2.297334543465518
-5 -4 6 7 -210.7574205281642 1.79587845951997
-5 -4 7 8 -88.66150650436202 1.454776209479284
-5 -4 8 9 -14.39179080481927 1.214149259379325
-5 -4 9 10 31.19112490122507 1.036051768368924
-5 -4 10 11 59.01363484584795 0.8995469891942439
-5 -4 11 12 75.62849456005358 0.7934460579564997
-5 -4 12 13 85.04543507875519 0.7080910546640877
-5 -4 13 14 89.7690450813476 0.637272746524934
-5 -4 14 15 91.40571743883459 0.5781174243474643
-5 -4 15 16 91.01563657391949 0.528549442622009
-5 -4 16 17 89.30891468496162 0.4862592555046069
-5 -4 17 18 86.76312694653427 0.4493127650274049
-5 -4 18 19 83.70098956494229 0.4165767031779444
-5 -4 19 20 80.34255783740656 0.3874614658859979
-5 -4 20 21 76.83905943811573 0.3615226716885357
-5 -4 21 22 73.29443705256898 0.3383003333044147
-5 -4 22 23 69.77945915231737 0.3173499088533626
-5 -4 23 24 66.34143227653215 0.2983047771129897
-5 -4 24 25 63.01110328506809 0.2808933117189815
-5 -4 25 26 59.80758554920814 0.2649170448324991
-5 -4 26 27 56.74184191008538 0.2502201445566531
-5 -4 27 28 53.81912918566618 0.2366685984777464
-5 -4 28 29 51.04071708413488 0.2241416060879463
-5 -4 29 30 48.40510875146985 0.2125302558927827
-5 -4 30 31 45.90891786042182 0.2017383471747514
-5 -4 31 32 43.54750430626545 0.1916826224378956
-5 -4 32 33 41.3154361147069 0.1822918015922126
-5 -4 33 34 39.20682392198223 0.1735048341561273
-5 -4 34 35 37.21556120236754 0.165268968630989
-5 -4 35 36 35.33549473343407 0.1575380439105228
-5 -4 36 37 33.56054363468071 0.1502711646619797
-5 -4 37 38 31.88478071993292 0.1434317469041365
-5 -4 38 39 30.30248637064179 0.1369868524011708
-5 -4 39 40 28.80818246264578 0.130906713236577
-5 -4 40 41 27.39665191228477 0.1251643722738834
-5 -4 41 42 26.06294785899227 0.1197353886283351
-5 -4 42 43 24.80239546540397 0.1145975806218298
-5 -4 43 44 23.6105885326209 0.1097307936997669
-5 -4 44 45 22.48338250306545 0.1051166878964765
-5 -4 45 46 21.41643081040338 0.1011286927446464
-5 -4 46 47 20.40661051463958 0.09916422322964655
-5 -4 47 48 19.45008912902871 0.09920828021136605
-5 -4 48 49 18.54370847514888 0.100839523427315
-5 -4 49 50 17.68407531720795 0.1028469986931733
-4 -3.75 0 1 -314.679935972957 1.812515681239616
-4 -3.75 1 2 -4002.071984678624 28.12335436436982
-4 -3.75 2 3 -2791.909876238326 13.05552525547432
-4 -3.75 3 4 -1705.538192182217 7.625112660485905
-4 -3.75 4 5 -1044.132637910775 4.96562772502218
-4 -3.75 5 6 -642.8534285539884 3.44643977592515
-4 -3.75 6 7 -393.7710451094699 2.492700652205432
-4 -3.75 7 8 -235.1906985109872 1.854508728916864
-4 -3.75 8 9 -131.9394947650947 1.407357129867571
-4 -3.75 9 10 -63.49238043926971 1.083432863761151
-4 -3.75 10 11 -17.57031175487975 0.8427497659302482
-4 -3.75 11 12 13.43706958566372 0.6606666404998608
-4 -3.75 12 13 34.36376843880748 0.5213005871652844
-4 -3.75 13 14 48.36108853375151 0.4141262234071538
-4 -3.75 14 15 57.52983828444144 0.3320378539321981
-4 -3.75 15 16 63.29828516306293 0.2825303549185429
-4 -3.75 16 17 66.65418499930587 0.2601282165205996
-4 -3.75 17 18 68.29078447907608 0.2400782516339163
-4 -3.75 18 19 68.70079841510852 0.2220596627411332
-4 -3.75 19 20 68.23816133189928 0.2058050747970203
-4 -3.75 20 21 67.15936881241248 0.1910902391829448
-4 -3.75 21 22 65.65162504437882 0.1777259424686169
-4 -3.75 22 23 63.85230073977141 0.1655516110045468
-4 -3.75 23 24 61.86256967028106 0.1671191753180008
