#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 51 52 12.06608035390012 0.1136524969673034
-5 -4 52 53 11.52714478209785 0.1101189840560961
-5 -4 53 54 11.01393916083978 0.1058448694975956
-5 -4 54 55 10.52520412300177 0.1009793506254188
-5 -4 55 56 10.05967144323684 0.09579769040799307
-5 -4 56 57 9.615908238059653 0.09099427352805678
-5 -4 57 58 9.192801541555012 0.08669452984609102
-5 -4 58 59 8.789380857665147 0.08283572480527673
-5 -4 59 60 8.404717802623624 0.07935638001794755
-5 -4 60 61 8.037839392975636 0.07601085281941451
-5 -4 61 62 7.687776847155213 0.07250971399167126
-5 -4 62 63 7.353747932389107 0.06889585817736237
-5 -4 63 64 7.034928650076283 0.06541008331872938
-5 -4 64 65 6.73053766259797 0.06220347327114257
-5 -4 65 66 6.439826943405298 0.05906975703632043
-5 -4 66 67 6.162053718818146 0.05605697249112062
-5 -4 67 68 5.896350128529384 0.05312875418155818
-5 -4 68 69 5.64148074125486 0.05030059288971573
-5 -4 69 70 5.395729004604337 0.04757254041184669
-5 -4 70 71 5.157788690505448 0.04495028845063168
-5 -4 71 72 4.929846318416677 0.0456068722848109
-5 -4 72 73 4.705848129788611 0.04186149486485796
-5 -4 73 74 4.488882783067526 0.03872022784886535
-5 -4 74 75 4.278868715331894 0.03598875382368555
-5 -4 75 76 4.075750757585141 0.03360095146281254
-5 -4 76 77 3.879474674527613 0.03149081258266601
-5 -4 77 78 3.689972409942787 0.02965020688502087
-5 -4 78 79 3.519592791809249 0.01267001880115542
-5 -4 79 80 3.342750394863673 0.01200075793329719
-5 -4 80 81 3.172447958837135 0.01135450089812502
-5 -4 81 82 3.008593516096371 0.01073122256245271
-5 -4 82 83 2.851082737593941 0.0101360963593775
-5 -4 83 84 2.699426504878118 0.009511961958414252
-5 -4 84 85 2.554861315341742 0.00898548440276691
-5 -4 85 86 2.415684584309939 0.008483172642349178
-5 -4 86 87 2.282162559420966 0.008020851935320216
-5 -4 87 88 2.154583386506625 0.007549278996482238
-5 -4 88 89 2.032899023316239 0.007235930111751722
-5 -4 89 90 1.916058768191707 0.00670179733268704
-5 -4 90 91 1.812742057665162 0.007251637501772409
-5 -4 91 92 1.706413154582619 0.003896291051627591
-5 -4 92 93 1.605121902325366 0.001581175403491421
-5 -4 93 94 1.506809314825215 0.002811364838791873
-5 -4 94 95 1.417006643994835 0.002284562041671142
-5 -4 95 96 1.329863574521116 0.003088853624626048
-5 -4 96 97 1.247120082657372 0.00358951007460461
-5 -4 97 98 1.160282449151233 0.002285219385235362
-5 -4 98 99 1.086218970037218 0.002167823967329009
-5 -4 99 100 1.016092928322673 0.002050885691672133
-4 -3.75 51 52 12.55782055834641 0.1097389048773531
-4 -3.75 52 53 12.05509997787522 0.1071601628761155
-4 -3.75 53 54 11.57299942122493 0.1044196556320211
-4 -3.75 54 55 11.11077273220391 0.1015757863719756
-4 -3.75 55 56 10.66763973563123 0.09871761160957966
-4 -3.75 56 57 10.24270201858351 0.09600845508630124
-4 -3.75 57 58 9.8352235223396 0.09345723891720294
-4 -3.75 58 59 9.444535117900706 0.09103512421639878
-4 -3.75 59 60 9.053195501835184 0.1786087692064427
-4 -3.75 60 61 8.706090561379558 0.1655927770181507
-4 -3.75 61 62 8.362007979129039 0.1373043177327079
-4 -3.75 62 63 8.032124540984942 0.1199179827403417
-4 -3.75 63 64 7.71568159690273 0.10645034845671
-4 -3.75 64 65 7.411981726858595 0.09515988343478805
-4 -3.75 65 66 7.120510858633864 0.08600683407655313
-4 -3.75 66 67 6.840545152647538 0.07912236166628217
-4 -3.75 67 68 6.571315273695808 0.0740534712570127
-4 -3.75 68 69 6.311469041916157 0.01752787411958538
-4 -3.75 69 70 6.059520594088792 0.009048549544385099
-4 -3.75 70 71 5.813983575386297 0.003307385938456033
-4 -3.75 71 72 5.574398618186475 0.00541373443339515
-4 -3.75 72 73 5.34064234870975 0.009737344826809902
-4 -3.75 73 74 5.112733090563664 0.01302528011714242
-4 -3.75 74 75 4.890754933737722 0.01526671536876913
-4 -3.75 75 76 4.674700176400305 0.0168305582384485
-4 -3.75 76 77 4.448704106042265 0.06130308855872232
-4 -3.75 77 78 4.252793631238334 0.04800361231426235
-4 -3.75 78 79 4.054811085617625 0.02400045073317524
-4 -3.75 79 80 3.862990689852451 0.006897108684232474
-4 -3.75 80 81 3.684935853654865 0.03559062504114282
-4 -3.75 81 82 3.480857389662611 0.04660259933755048
-4 -3.75 82 83 3.324438465064604 0.03484187301409489
-4 -3.75 83 84 3.157136420285783 0.0416842178015096
-4 -3.75 84 85 3.002562559178623 0.01631199371936684
-4 -3.75 85 86 2.846929109246489 0.01535327402445189
-4 -3.75 86 87 2.697171260027388 0.01433372049186516
-4 -3.75 87 88 2.553216363186773 0.0132817974362753
-4 -3.75 88 89 2.414981936168049 0.01222094553445794
-4 -3.75 89 90 2.282376453061739 0.01117016208785541
-4 -3.75 90 91 2.155299629686935 0.01014724239200821
-4 -3.75 91 92 2.033642293443674 0.009173697432223651
-4 -3.75 92 93 1.917290168346872 0.008258428170073072
-4 -3.75 93 94 1.806123473310576 0.007405150463265234
-4 -3.75 94 95 1.70001711872031 0.00661572369952185
-4 -3.75 95 96 1.598841400847805 0.005890484250596149
-4 -3.75 96 97 1.502462673296016 0.005228542306431755
-4 -3.75 97 98 1.410743994044166 0.004628043572539721
-4 -3.75 98 99 1.323545749747489 0.004086396562546772
-4 -3.75 99 100 1.240726237717687 0.003600475299992985
-3.75 -3.5 51 52 15.21558836655549 0.07125074536066407
-3.75 -3.5 52 53 14.64522793701107 0.06602111570368815
-3.75 -3.5 53 54 14.09532029769968 0.06071479767955344
-3.75 -3.5 54 55 13.56542311040546 0.05536983582694946
-3.75 -3.5 55 56 13.02885074158229 0.3124259750213459
-3.75 -3.5 56 57 12.55838584661277 0.3456485224723468
-3.75 -3.5 57 58 12.08544351964785 0.2913917680323237
-3.75 -3.5 58 59 11.63007554371362 0.2437661283752846
-3.75 -3.5 59 60 11.19176459824187 0.2022443728606144
-3.75 -3.5 60 61 10.76998704634244 0.1663176797309773
