#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 51 52 17.0531313393537 0.1424055391007295
-5 -4 52 53 16.4323206619912 0.1397095199736811
-5 -4 53 54 15.83686406649431 0.1360107539412692
-5 -4 54 55 15.26573604545467 0.1314752016245531
-5 -4 55 56 14.71781479197037 0.1264244275928322
-5 -4 56 57 14.19162696248721 0.1216818089337136
-5 -4 57 58 13.68614418637551 0.1173933323698049
-5 -4 58 59 13.20051992326861 0.1134860460018492
-5 -4 59 60 12.73393793857263 0.109892760806513
-5 -4 60 61 12.33089692822177 0.04653913660215269
-5 -4 61 62 11.89812306399678 0.04484489260674226
-5 -4 62 63 11.48186021040802 0.04321122423909775
-5 -4 63 64 11.08136039418699 0.04166468476796877
-5 -4 64 65 10.69627687274284 0.04037038615827466
-5 -4 65 66 10.32315086859055 0.03858626467059588
-5 -4 66 67 9.967454516403748 0.03733386223640355
-5 -4 67 68 9.622086076031549 0.03624900570550291
-5 -4 68 69 9.288022530578576 0.0350627832567107
-5 -4 69 70 8.963865009619484 0.03548090100691914
-5 -4 70 71 8.643642753147901 0.03285788669073611
-5 -4 71 72 8.330858564733484 0.03177760862432829
-5 -4 72 73 8.009597313443379 0.01509753526117893
-5 -4 73 74 7.709264867219514 0.01466954937865277
-5 -4 74 75 7.415027194281853 0.0142194408234282
-5 -4 75 76 7.122313334937688 0.0275420030992024
-5 -4 76 77 6.840658269460381 0.02422823927591157
-5 -4 77 78 6.559762770591622 0.01798369460088619
-5 -4 78 79 6.291413547839138 0.01431564151091817
-5 -4 79 80 6.032404932552697 0.009750718768640827
-5 -4 80 81 5.776114011295911 0.005778629437049035
-5 -4 81 82 5.527210462253647 0.004246004937840671
-5 -4 82 83 5.286687843145387 0.00462777324025665
-5 -4 83 84 5.053379623090748 0.005186364438568854
-5 -4 84 85 4.823625531172584 0.008353603239437728
-5 -4 85 86 4.602987840126628 0.01044770439253506
-5 -4 86 87 4.39311726122048 0.01422880026260095
-5 -4 87 88 4.186005317653887 0.01552211658447033
-5 -4 88 89 3.970787268201386 0.02881786625121712
-5 -4 89 90 3.776134920166283 0.01256325422683937
-5 -4 90 91 3.58848958836801 0.008614040053116173
-5 -4 91 92 3.367317323646092 0.03115800693740977
-5 -4 92 93 3.239781454677442 0.03393785496107138
-5 -4 93 94 3.090013420672059 0.02126174750327644
-5 -4 94 95 2.928935877289573 0.0208185807112244
-5 -4 95 96 2.54569194386029 0.02113799475872302
-5 -4 96 97 2.625533752552299 0.01957591698670427
-5 -4 97 98 2.482982716722819 0.01880985363083922
-5 -4 98 99 2.346370291679516 0.01797071571297253
-5 -4 99 100 2.215568474877414 0.0170758460194907
-4 -3.75 51 52 18.03405125266233 0.1853244978569402
-4 -3.75 52 53 17.45579654159024 0.1827497699960318
-4 -3.75 53 54 16.89769315901426 0.1799487578521986
-4 -3.75 54 55 16.35913029697202 0.1769820508239845
-4 -3.75 55 56 15.83922948302076 0.03946680589891437
-4 -3.75 56 57 15.3374561821423 0.03601908469701415
-4 -3.75 57 58 14.85298862585051 0.03327749619799457
-4 -3.75 58 59 14.38526969632619 0.03114270698794232
-4 -3.75 59 60 13.93374566368138 0.02951521229653292
-4 -3.75 60 61 13.49775569225821 0.02795499841115399
-4 -3.75 61 62 13.07659155100887 0.02594124707391623
-4 -3.75 62 63 12.66975091257834 0.02355323731451421
-4 -3.75 63 64 12.25792072134967 0.1622771275999503
-4 -3.75 64 65 11.88857459922855 0.1582103374439437
-4 -3.75 65 66 11.52154428161 0.1282466181165522
-4 -3.75 66 67 11.16620967517023 0.1023722927329733
-4 -3.75 67 68 10.82164208320578 0.08016212485670775
-4 -3.75 68 69 10.48616608015891 0.06105244969011511
-4 -3.75 69 70 10.15712121959307 0.0447787796303418
-4 -3.75 70 71 9.832471271721973 0.03118246876112437
-4 -3.75 71 72 9.511609988630155 0.01967940565133031
-4 -3.75 72 73 9.194487209192239 0.0103161158648351
-4 -3.75 73 74 8.88128400431588 0.003554580461394471
-4 -3.75 74 75 8.572302250273157 0.003808545702162193
-4 -3.75 75 76 8.267700825045985 0.007678176064427356
-4 -3.75 76 77 7.967726501564455 0.01086935184353653
-4 -3.75 77 78 7.67266631391206 0.01325572192266549
-4 -3.75 78 79 7.382786311747401 0.01493096519249992
-4 -3.75 79 80 7.098330926343707 0.01600519485180498
-4 -3.75 80 81 6.803298808745986 0.0340877913926084
-4 -3.75 81 82 6.533225856220656 0.01533536629123669
-4 -3.75 82 83 6.265912746917039 0.002820315189426031
-4 -3.75 83 84 6.005265732859735 0.02576403504377322
-4 -3.75 84 85 5.748890358954135 0.02262657005053168
-4 -3.75 85 86 5.502374571745012 0.02891349308375273
-4 -3.75 86 87 5.274316510767524 0.01333641408413792
-4 -3.75 87 88 5.038549886027686 0.01244227335017855
