#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 51 52 11.9423850993447 0.06117085819151794
-5 -4 52 53 11.24888397434878 0.05926504581239429
-5 -4 53 54 10.59686819149661 0.05665736264403298
-5 -4 54 55 9.983726716524986 0.05348133970526901
-5 -4 55 56 9.406962953236933 0.04998660424255498
-5 -4 56 57 8.864045402620585 0.0467975836182558
-5 -4 57 58 8.352844711765563 0.04402657049274362
-5 -4 58 59 7.871452301730523 0.04161751953144103
-5 -4 59 60 7.418078754391457 0.03951576769064963
-5 -4 60 61 6.990966863085353 0.03749604247035292
-5 -4 61 62 6.588434624419271 0.03529208266415143
-5 -4 62 63 6.209037338198406 0.03294610785873632
-5 -4 63 64 5.851343191268502 0.03069054372591216
-5 -4 64 65 5.514014201762263 0.02867030704539956
-5 -4 65 66 5.195786310701686 0.02668008244293665
-5 -4 66 67 4.895444961227803 0.02478320077560022
-5 -4 67 68 4.611757059125838 0.0229656964796753
-5 -4 68 69 4.34328357080771 0.02123952739601683
-5 -4 69 70 4.088296272293743 0.01960252382787584
-5 -4 70 71 3.845450411165142 0.01805763289315643
-5 -4 71 72 3.617392873759261 0.0260823278092742
-5 -4 72 73 3.396490008824963 0.02148852598695881
-5 -4 73 74 3.186220621962275 0.01781849409881351
-5 -4 74 75 2.98622468151145 0.01490111264368126
-5 -4 75 76 2.796186487417696 0.01262489438614934
-5 -4 76 77 2.615790725541174 0.01088941113361058
-5 -4 77 78 2.435392802780106 0.02563663646737956
-5 -4 78 79 2.274085972603743 0.02156092973734346
-5 -4 79 80 2.121388771716158 0.01817619793932588
-5 -4 80 81 1.976991951811417 0.01537988798968645
-5 -4 81 82 1.840585270477383 0.01308406595715666
-5 -4 82 83 1.71184956187531 0.01122561665051072
-5 -4 83 84 1.590477769725798 0.009792011969067373
-5 -4 84 85 1.47617129514602 0.008658441999479257
-5 -4 85 86 1.376177353950607 0.006094422660374844
-5 -4 86 87 1.27439999871497 0.00238469153692944
-5 -4 87 88 1.178974510078034 0.007499239900307175
-5 -4 88 89 1.083761884788923 0.006004649923889214
-5 -4 89 90 1.00174652447828 0.005625516723563591
-5 -4 90 91 0.9236261146672393 0.005232628921640546
-5 -4 91 92 0.8506092872923993 0.004999675194009839
-5 -4 92 93 0.7824447606372729 0.004810664963997447
-5 -4 93 94 0.7206676913575467 0.002306946587963485
-5 -4 94 95 0.6613442609883222 0.002135441091456748
-5 -4 95 96 0.5937411677715061 0.001515911950819978
-5 -4 96 97 0.5413645785940214 0.001625795128143665
-5 -4 97 98 0.4942746841678453 0.001503342901328632
-5 -4 98 99 0.4627069733629487 0.001715679792301861
-5 -4 99 100 0.4229380483069367 0.001340278809282405
-4 -3.75 51 52 15.01047875834006 0.07778026696968819
-4 -3.75 52 53 14.2277564558378 0.07591763146327066
-4 -3.75 53 54 13.48798835383439 0.07384752689780362
-4 -3.75 54 55 12.78868174841192 0.07164044987456847
-4 -3.75 55 56 12.1274505526223 0.06940511548780925
-4 -3.75 56 57 11.50190707858856 0.06734274683613115
-4 -3.75 57 58 10.90997580228762 0.06546202572992633
-4 -3.75 58 59 10.33342424443582 0.1814772579742916
-4 -3.75 59 60 9.814232119628624 0.1765835523865736
-4 -3.75 60 61 9.31246753552551 0.1472319247928473
-4 -3.75 61 62 8.837299904530889 0.1217988428000612
-4 -3.75 62 63 8.387251393781508 0.09990518830372264
-4 -3.75 63 64 7.96074512718433 0.0843522886925698
-4 -3.75 64 65 7.556336053858978 0.07308643316273035
-4 -3.75 65 66 7.172827853591967 0.06394731538974438
-4 -3.75 66 67 6.808867354262951 0.05719901268256396
-4 -3.75 67 68 6.463111852567128 0.05244208331619542
-4 -3.75 68 69 6.133849552041927 0.04921687606576587
-4 -3.75 69 70 5.818909243451973 0.0471296536270039
-4 -3.75 70 71 5.516609053735939 0.04580067927134714
-4 -3.75 71 72 5.226175810850636 0.0449277719416546
-4 -3.75 72 73 4.947180263409244 0.04428124434539694
-4 -3.75 73 74 4.679338776840347 0.04363292611786024
-4 -3.75 74 75 4.422436285851333 0.04286951265917871
-4 -3.75 75 76 4.176322463754881 0.01631850124300143
-4 -3.75 76 77 3.925209606158067 0.05092091345460696
-4 -3.75 77 78 3.707564680130448 0.03956831582803962
-4 -3.75 78 79 3.491997944794528 0.01821106148036451
-4 -3.75 79 80 3.286213585082076 0.006800972024849107
-4 -3.75 80 81 3.074971765800816 0.01069116590115271
-4 -3.75 81 82 2.918805489982121 0.02560801120315707
-4 -3.75 82 83 2.724960618651451 0.03547523515420137
-4 -3.75 83 84 2.569628415465897 0.02321244314016646
-4 -3.75 84 85 2.400393316929189 0.0152738684022565
-4 -3.75 85 86 2.24738944662714 0.01435713432266352
-4 -3.75 86 87 2.102281357821784 0.01338715951803171
-4 -3.75 87 88 1.964800525590817 0.012389919347097
-4 -3.75 88 89 1.834677648543809 0.0113868069627305
-4 -3.75 89 90 1.711643474560262 0.01039515888220131
-4 -3.75 90 91 1.595429210527716 0.009431320984234222
-4 -3.75 91 92 1.485766610252414 0.008515315051872288
-4 -3.75 92 93 1.382390948125726 0.007655247534597666
-4 -3.75 93 94 1.285040764012282 0.006854368214571299
-4 -3.75 94 95 1.19345806030228 0.006114228508629656
-4 -3.75 95 96 1.107388846879086 0.005434986413278962
-4 -3.75 96 97 1.026583638489273 0.004815678286851663
