#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 51 52 16.01582986940426 0.07363750840651917
-5 -4 52 53 15.09724354766924 0.07195421790398973
-5 -4 53 54 14.22664769582667 0.06930755818283561
-5 -4 54 55 13.40134798087086 0.06589965365275711
-5 -4 55 56 12.61872892298475 0.06205105828642652
-5 -4 56 57 11.87603601661087 0.05844439012345678
-5 -4 57 58 11.17103800537244 0.05518708568773039
-5 -4 58 59 10.50176290499226 0.0522067978356513
-5 -4 59 60 9.866351611246035 0.04943561048449172
-5 -4 60 61 9.263926944811672 0.04667479375314805
-5 -4 61 62 8.689696904286924 0.04373265377074412
-5 -4 62 63 8.144387516416344 0.04059794322352638
-5 -4 63 64 7.627691836636886 0.03775267970282715
-5 -4 64 65 7.135913091714602 0.03521919219653556
-5 -4 65 66 6.682351731266688 0.01472645160633991
-5 -4 66 67 6.236697703221948 0.0145576859498925
-5 -4 67 68 5.814051450792542 0.01441761459778577
-5 -4 68 69 5.405537899914241 0.0089571024342056
-5 -4 69 70 5.01842712920191 0.008098696799413711
-5 -4 70 71 4.651416372597131 0.008294603489685968
-5 -4 71 72 4.30031832002271 0.009741199419992231
-5 -4 72 73 3.968337972479183 0.01367192126123464
-5 -4 73 74 3.647072504211033 0.01341943261769932
-5 -4 74 75 3.331298089085811 0.01718533521721317
-5 -4 75 76 3.040471148710192 0.01610045171697211
-5 -4 76 77 2.751807903989501 0.02686543470634652
-5 -4 77 78 2.48252236891695 0.05186657213196753
-5 -4 78 79 2.23577876439036 0.04637418230707904
-5 -4 79 80 2.002694286172787 0.04217640291563324
-5 -4 80 81 1.782940198248289 0.03960403090529768
-5 -4 81 82 1.576169436698555 0.03881182083762767
-5 -4 82 83 1.382008860540219 0.03965188978559528
-5 -4 83 84 1.200083988010609 0.04253965582552628
-5 -4 84 85 1.030016266961911 0.04540999583922011
-5 -4 85 86 0.8791667221959276 0.01210511500987772
-5 -4 86 87 0.3839751397203957 0.01546777036770208
-5 -4 87 88 0.5944910801539942 0.01646136829120566
-5 -4 88 89 0.4677930535044776 0.01927108049262352
-5 -4 89 90 0.3509668614338164 0.02166775394649677
-5 -4 90 91 0.2435920844975357 0.02362182158080639
-5 -4 91 92 0.1211366691913263 0.02594635219548966
-5 -4 92 93 0.03022843868091485 0.01176848964801358
-5 -4 93 94 -0.01030680235094472 0.03578056172374824
-5 -4 94 95 -0.07860935886701359 0.04174052008123401
