#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -508679.953522886 9.138113171909936
10 60 -5 -4 0.5 1 78108.1737190243 0.3439961889962433
10 60 -5 -4 1 1.5 85526.67487656522 3.066095295362175
10 60 -5 -4 1.5 2 68660.14498165631 2.151755349448649
10 60 -5 -4 2 2.5 54737.61733770535 2.402317557978677
10 60 -5 -4 2.5 3 44385.04263755814 1.192402207176201
10 60 -5 -4 3 3.5 36642.3158938125 0.9160432097196463
10 60 -5 -4 3.5 4 30725.46455585355 0.7254725301099825
10 60 -5 -4 4 4.5 26101.25029117837 0.5919800105584727
10 60 -5 -4 4.5 5 22413.20374764327 0.8382106795033906
10 60 -5 -4 5 5.5 19419.46050609348 0.4137819786010368
10 60 -5 -4 5.5 6 16952.28456982506 0.3469224714535812
10 60 -5 -4 6 6.5 14892.63077573433 0.2920944666875585
10 60 -5 -4 6.5 7 13154.10342343019 0.2465083032857365
10 60 -5 -4 7 7.5 11672.73590067377 0.2074429731183045
10 60 -5 -4 7.5 8 10400.21326143619 0.1747516867490049
10 60 -5 -4 8 8.5 9299.435932191434 0.1477710810831923
10 60 -5 -4 8.5 9 8341.445316076297 0.1252216238608526
10 60 -5 -4 9 9.5 7503.295267742942 0.1065570644586842
10 60 -5 -4 9.5 10 6766.595564887871 0.09058783751606825
10 60 -5 -4 10 10.5 6116.3952661373 0.07757345181562414
10 60 -5 -4 10.5 11 5540.433739204426 0.06718823465507739
10 60 -5 -4 11 11.5 5028.561253014498 0.05849874241175712
10 60 -5 -4 11.5 12 4572.287654226512 0.1937731912094023
10 60 -5 -4 12 12.5 4164.47065642798 0.1438948970971978
10 60 -5 -4 12.5 13 3799.061343674381 0.1041002216570632
10 60 -5 -4 13 13.5 3470.899343282356 0.07268348371917455
10 60 -5 -4 13.5 14 3175.558207020415 0.04750639552094071
10 60 -5 -4 14 14.5 2909.229319669618 0.02784330370059251
10 60 -5 -4 14.5 15 2668.618085795113 0.02480217907077531
10 60 -5 -4 15 16 4704.322394909829 0.04188376279034856
10 60 -5 -4 16 17 3985.510631779495 0.1549190102373359
10 60 -5 -4 17 18 3390.478167761094 0.02788557866824704
10 60 -5 -4 18 19 2895.235923426605 0.02298148985119042
10 60 -5 -4 19 20 2481.005683635141 0.01909304448736293
10 60 -5 -4 20 21 2132.954293294618 0.01600512762252038
10 60 -5 -4 21 22 1839.272356451265 0.01345814566820991
10 60 -5 -4 22 23 1590.496880999666 0.01162928761527837
10 60 -5 -4 23 24 1378.992677975565 0.0123031633897881
10 60 -5 -4 24 25 1198.562772292457 0.01289422847753485
10 60 -5 -4 25 26 1044.150698289732 0.01357235760292497
10 60 -5 -4 26 27 911.6098698860876 0.0142162057953783
10 60 -5 -4 27 28 797.5231218434174 0.01434550617318564
10 60 -5 -4 28 29 699.0612405503375 0.01433732584462177
10 60 -5 -4 29 30 613.8731993771942 0.01400679954929274
10 60 -5 -4 30 31 539.996577176669 0.01378902593728526
10 60 -5 -4 31 32 475.7869987523724 0.01357532494978386
10 60 -5 -4 32 33 419.8625223056604 0.01334309138343315
10 60 -5 -4 33 34 371.057391242856 0.01312272172191342
10 60 -5 -4 34 35 328.3852621091165 0.01280352667254192
