#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -476294.3726591028 19.87685919506475
10 60 -5 -4 0.5 1 63588.66417947296 0.09159259527223185
10 60 -5 -4 1 1.5 74106.42030321242 2.613595182119752
10 60 -5 -4 1.5 2 60260.58411639935 1.83916621406388
10 60 -5 -4 2 2.5 48353.51746192099 2.329776691192819
10 60 -5 -4 2.5 3 39373.5995481445 1.073685062154254
10 60 -5 -4 3 3.5 32604.79537037843 0.8512344188857242
10 60 -5 -4 3.5 4 27404.88491514484 0.6843984408551478
10 60 -5 -4 4 4.5 23325.02588979199 1.110816982421966
10 60 -5 -4 4.5 5 20060.92919921102 0.4562424155592453
10 60 -5 -4 5 5.5 17404.4544247699 0.3787559504162346
10 60 -5 -4 5.5 6 15210.42694873981 0.3153656992890319
10 60 -5 -4 6 6.5 13375.32319114924 0.2621172692379332
10 60 -5 -4 6.5 7 11823.77946716426 0.2173716650122515
10 60 -5 -4 7 7.5 10499.79343219907 0.1808056725112692
10 60 -5 -4 7.5 8 9360.994181180102 0.1507428569857439
10 60 -5 -4 8 8.5 8374.745094229667 0.1275932735807146
10 60 -5 -4 8.5 9 7515.534542293805 0.1088464029908209
10 60 -5 -4 9 9.5 6763.106776892013 0.09307543375962268
10 60 -5 -4 9.5 10 6101.194018686761 0.08010521374762902
10 60 -5 -4 10 10.5 5516.561689412374 0.06865626182843698
10 60 -5 -4 10.5 11 4998.327700092042 0.05873912483093591
10 60 -5 -4 11 11.5 4537.476116717795 0.05098213255223527
10 60 -5 -4 11.5 12 4126.459338389784 0.1816808333687732
10 60 -5 -4 12 12.5 3758.912679908739 0.135585134854864
10 60 -5 -4 12.5 13 3429.439735457995 0.09850623359398014
10 60 -5 -4 13 13.5 3133.437299739085 0.06918783454875665
10 60 -5 -4 13.5 14 2866.951346402131 0.0458911278733467
10 60 -5 -4 14 14.5 2626.571287592457 0.02745622565134909
10 60 -5 -4 14.5 15 2409.345237960356 0.02116308317272342
10 60 -5 -4 15 16 4247.136144955568 0.03719543906481704
10 60 -5 -4 16 17 3597.846825829964 0.1337091972191047
10 60 -5 -4 17 18 3060.246466838628 0.02375340460775988
10 60 -5 -4 18 19 2612.764433296363 0.01925755739557644
10 60 -5 -4 19 20 2238.479278392924 0.01606983218289315
10 60 -5 -4 20 21 1924.011777707788 0.01351265038806559
10 60 -5 -4 21 22 1658.71229722805 0.01301926822816313
10 60 -5 -4 22 23 1434.023577620596 0.01323348803180124
10 60 -5 -4 23 24 1243.044200355905 0.01159203333122605
10 60 -5 -4 24 25 1080.173680320589 0.01217592491752839
10 60 -5 -4 25 26 940.8333061441098 0.01363946263018079
10 60 -5 -4 26 27 821.2677472139076 0.0127340982280657
10 60 -5 -4 27 28 718.3867660808639 0.01178639753527477
10 60 -5 -4 28 29 629.6286541137358 0.01141337765409389
10 60 -5 -4 29 30 552.8618582539845 0.01074960564017147
10 60 -5 -4 30 31 486.3108567897668 0.01017797647602947
10 60 -5 -4 31 32 428.4880587998267 0.009914070116280982
10 60 -5 -4 32 33 378.1417029078161 0.009649037471490374
10 60 -5 -4 33 34 334.2171552202389 0.008944136131844971
10 60 -5 -4 34 35 295.821870379688 0.007978491542701249
10 60 -5 -4 35 36 262.1989602439886 0.007462943112955145
10 60 -5 -4 36 37 232.7041066197399 0.00691414545644875
10 60 -5 -4 37 38 206.7875238259056 0.006437863697215107
10 60 -5 -4 38 39 183.9793251684461 0.005856265483998868
10 60 -5 -4 39 40 163.8765803918468 0.005235242177519694
10 60 -5 -4 40 42 276.5804917742173 0.008807244853358043
10 60 -5 -4 42 44 220.8321228358463 0.006498435103765132
10 60 -5 -4 44 46 177.0042888356017 0.0039179157034539
10 60 -5 -4 46 48 142.3853304768977 0.001750357166542926
10 60 -5 -4 48 50 114.9197149685841 0.0006108678060741113
10 60 -5 -4 50 52 93.04055713122519 0.001513704368406366
10 60 -5 -4 52 54 75.54519732101534 0.003055641648941787
10 60 -5 -4 54 56 61.50549138778388 0.0003229507008910559
10 60 -5 -4 56 58 50.20130780371301 0.0002640764149859365
10 60 -5 -4 58 60 41.07107515465704 0.0002166765196349729
10 60 -5 -4 60 65 73.28084002551104 0.0003847767803222268
10 60 -5 -4 65 70 45.12731841220106 0.000237748946233296
10 60 -5 -4 70 80 45.67162509844447 0.0008656649640528258
10 60 -5 -4 80 90 18.14608247855728 0.0004707537037873522
10 60 -5 -4 90 100 7.32581945067921 0.0002108255451078733
10 60 -4 -3.5 0 0.5 -315784.9144757933 4.57178746489808
10 60 -4 -3.5 0.5 1 26457.95436692577 0.6694464744978177
10 60 -4 -3.5 1 1.5 39981.61841334174 1.338746543784509
10 60 -4 -3.5 1.5 2 33952.50324840061 1.066611110843951
10 60 -4 -3.5 2 2.5 27811.62023030786 0.8759021607729665
10 60 -4 -3.5 2.5 3 22945.87747816322 0.7103773643102613
10 60 -4 -3.5 3 3.5 19186.06927323491 0.5684896931670664
10 60 -4 -3.5 3.5 4 16253.07252949892 0.453240614004244
10 60 -4 -3.5 4 4.5 13927.23445811038 0.3643213550130895
10 60 -4 -3.5 4.5 5 12051.70769059811 0.2936760040192894
10 60 -4 -3.5 5 5.5 10515.92578835856 0.2363701244739786
10 60 -4 -3.5 5.5 6 9241.095147295211 0.1890944002298056
10 60 -4 -3.5 6 6.5 8170.341405284852 0.1528029387773131
10 60 -4 -3.5 6.5 7 7261.687858147873 0.1247796927873424
10 60 -4 -3.5 7 7.5 6483.757513011014 0.1035793245600871
10 60 -4 -3.5 7.5 8 5812.604064703862 0.08762801290595235
10 60 -4 -3.5 8 8.5 5229.656378168062 0.07479419902119844
10 60 -4 -3.5 8.5 9 4720.39570369143 0.06422452353945118
10 60 -4 -3.5 9 9.5 4273.169080316859 0.05505150857698027
10 60 -4 -3.5 9.5 10 3878.629676825075 0.04715443968370892
10 60 -4 -3.5 10 10.5 3529.170120658314 0.04053529821067059
10 60 -4 -3.5 10.5 11 3218.472418873086 0.03501115604967708
10 60 -4 -3.5 11 11.5 2941.319696509796 0.0303143415753766
10 60 -4 -3.5 11.5 12 2693.356137178812 0.1160107453733872
10 60 -4 -3.5 12 12.5 2470.873962907122 0.0899755948762504
10 60 -4 -3.5 12.5 13 2270.73050524137 0.06819772300832483
10 60 -4 -3.5 13 13.5 2090.260216617106 0.05095540164711565
10 60 -4 -3.5 13.5 14 1927.167029662436 0.03791690031721373
10 60 -4 -3.5 14 14.5 1779.457287403011 0.02705651349947402
10 60 -4 -3.5 14.5 15 1645.411682554896 0.01810223755796869
10 60 -4 -3.5 15 16 2936.086891360571 0.06708229929745357
10 60 -4 -3.5 16 17 2530.001710460632 0.01800414167746567
10 60 -4 -3.5 17 18 2190.39081764204 0.04378328764369144
10 60 -4 -3.5 18 19 1904.674482581774 0.06663541716829968
10 60 -4 -3.5 19 20 1662.956357548859 0.07917381268293866
10 60 -4 -3.5 20 21 1457.409496237399 0.008917582786807543
