#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -473430.9017530469 17.08122026716592
10 60 -5 -4 0.5 1 69478.29082226793 0.331819553670357
10 60 -5 -4 1 1.5 77563.0403540066 2.865660498762736
10 60 -5 -4 1.5 2 62512.38028656708 2.007457797364623
10 60 -5 -4 2 2.5 49930.16105851616 1.477619862125721
10 60 -5 -4 2.5 3 40532.526556409 1.31484468976123
10 60 -5 -4 3 3.5 33486.90376082109 0.9053882301523117
10 60 -5 -4 3.5 4 28093.9966876888 0.721950643513992
10 60 -5 -4 4 4.5 23874.33319239199 0.8202774866294931
10 60 -5 -4 4.5 5 20505.85058025225 0.4766618098692561
10 60 -5 -4 5 5.5 17769.55423537678 0.3942987691989401
10 60 -5 -4 5.5 6 15513.26436218907 0.3273742557776131
10 60 -5 -4 6 6.5 13628.80848707784 0.2715698703705129
10 60 -5 -4 6.5 7 12037.60628183456 0.2247222055993916
10 60 -5 -4 7 7.5 10681.39019709892 0.1865730147092108
10 60 -5 -4 7.5 8 9516.134706965599 0.1552646530544735
10 60 -5 -4 8 8.5 8507.992679105098 0.1311935759804328
10 60 -5 -4 8.5 9 7630.524151986266 0.1117666866593936
10 60 -5 -4 9 9.5 6862.776683918065 0.09539776199108019
10 60 -5 -4 9.5 10 6187.933636725781 0.08198907196219807
10 60 -5 -4 10 10.5 5592.329351971926 0.07018255211823998
10 60 -5 -4 10.5 11 5064.743980698133 0.06000948624023295
10 60 -5 -4 11 11.5 4595.886489634204 0.05204888499793014
10 60 -5 -4 11.5 12 4177.987669275809 0.1772324925323119
10 60 -5 -4 12 12.5 3804.504651148722 0.1314789865045896
10 60 -5 -4 12.5 13 3469.892374152836 0.09469139590783016
10 60 -5 -4 13 13.5 3169.42579684357 0.06558667557510489
10 60 -5 -4 13.5 14 2899.050982296766 0.04262221335329741
10 60 -5 -4 14 14.5 2655.27283742115 0.02448393920258241
10 60 -5 -4 14.5 15 2435.068770612337 0.02150881908255542
10 60 -5 -4 15 16 4291.0455820838 0.04427055263840884
10 60 -5 -4 16 17 3633.57942373889 0.1489201025997318
10 60 -5 -4 17 18 3089.557564850184 0.0240643493175412
10 60 -5 -4 18 19 2636.988744330355 0.01949005508049595
10 60 -5 -4 19 20 2258.638187810244 0.01625127387524117
10 60 -5 -4 20 21 1940.896150690028 0.01365993391800657
10 60 -5 -4 21 22 1672.939705250513 0.01277398991169321
10 60 -5 -4 22 23 1446.078768952077 0.01316209301307936
10 60 -5 -4 23 24 1253.311958039574 0.01137050431270836
10 60 -5 -4 24 25 1088.961535336158 0.01205664294138842
10 60 -5 -4 25 26 948.3880277005176 0.01380568240790581
10 60 -5 -4 26 27 827.7891850851557 0.01283198409703346
10 60 -5 -4 27 28 724.0380191482583 0.01184467299083281
10 60 -5 -4 28 29 634.5433172810572 0.01159320576630307
10 60 -5 -4 29 30 557.1498937796155 0.01097262373912145
10 60 -5 -4 30 31 490.0635977496085 0.01038730576709668
10 60 -5 -4 31 32 431.7817024420887 0.0101673128474431
10 60 -5 -4 32 33 381.0399892873183 0.009960627753116569
10 60 -5 -4 33 34 336.7737208021823 0.009253546664695023
10 60 -5 -4 34 35 298.0821191999485 0.008274389758071266
10 60 -5 -4 35 36 264.2014765508634 0.007780359624575794
10 60 -5 -4 36 37 234.4817583744597 0.007247126406923599
10 60 -5 -4 37 38 208.3684375997609 0.006768979397975272
10 60 -5 -4 38 39 185.3876835376274 0.006172984649026603
10 60 -5 -4 39 40 165.1332410941618 0.005554595453901356
10 60 -5 -4 40 42 278.7084038253859 0.009428493482857903
10 60 -5 -4 42 44 222.5405225728445 0.007067383261698978
10 60 -5 -4 44 46 178.3825734189428 0.004402547559777759
10 60 -5 -4 46 48 143.5021364519283 0.00216553522827212
10 60 -5 -4 48 50 115.8281822438977 0.000615113176934301
10 60 -5 -4 50 52 93.7821481887471 0.001251996492030116
10 60 -5 -4 52 54 76.15249104722177 0.002881235834635731
10 60 -5 -4 54 56 62.0042362057968 0.0003252480867743657
10 60 -5 -4 56 58 50.61196404929677 0.000265963981419759
10 60 -5 -4 58 60 41.40998961989475 0.0002182356443753974
10 60 -5 -4 60 65 73.89420361459233 0.0003875901780077129
10 60 -5 -4 65 70 45.51268204227421 0.0002395128414960368
10 60 -5 -4 70 80 46.07070404051902 0.0008707404161540921
10 60 -5 -4 80 90 18.3080326119467 0.0004736028924909874
10 60 -5 -4 90 100 7.39143024593691 0.0002119953708970002
10 60 -4 -3.5 0 0.5 -315344.5622017396 4.766102122259326
10 60 -4 -3.5 0.5 1 28488.03384610112 0.5610839334585762
10 60 -4 -3.5 1 1.5 41209.14493277862 1.416970129925176
10 60 -4 -3.5 1.5 2 34763.48727189375 1.11916264530737
10 60 -4 -3.5 2 2.5 28384.75426860672 0.9132933681685245
10 60 -4 -3.5 2.5 3 23370.17077076896 0.7372889576545276
10 60 -4 -3.5 3 3.5 19510.87279918873 0.5880437953928777
10 60 -4 -3.5 3.5 4 16508.05332682799 0.4675238323761732
10 60 -4 -3.5 4 4.5 14131.34881466451 0.3748866519672447
10 60 -4 -3.5 4.5 5 12217.66641199296 0.3014576203222532
10 60 -4 -3.5 5 5.5 10652.58098103709 0.2423393331446277
10 60 -4 -3.5 5.5 6 9354.803913008091 0.1936647540678678
10 60 -4 -3.5 6 6.5 8265.801398560527 0.1562460118548188
10 60 -4 -3.5 6.5 7 7342.431782210949 0.1274754205960562
10 60 -4 -3.5 7 7.5 6552.507022472109 0.1056903214730482
10 60 -4 -3.5 7.5 8 5871.479347123144 0.08931053768446873
10 60 -4 -3.5 8 8.5 5280.33287229784 0.07614322996778355
10 60 -4 -3.5 8.5 9 4764.222114299337 0.06529765320919978
10 60 -4 -3.5 9 9.5 4311.226585896177 0.05593357223006024
10 60 -4 -3.5 9.5 10 3911.806289185123 0.04785881756515664
10 60 -4 -3.5 10 10.5 3558.197427729249 0.04113345514178945
10 60 -4 -3.5 10.5 11 3243.950623003805 0.0354893991238896
10 60 -4 -3.5 11 11.5 2963.752280008914 0.1461586175755656
10 60 -4 -3.5 11.5 12 2713.16700388873 0.1146279983727254
10 60 -4 -3.5 12 12.5 2488.41678461142 0.08864499356423039
10 60 -4 -3.5 12.5 13 2286.304365850656 0.06680808413966588
10 60 -4 -3.5 13 13.5 2104.121635861113 0.04966092915810805
10 60 -4 -3.5 13.5 14 1939.534599322295 0.03681004694340118
10 60 -4 -3.5 14 14.5 1790.516431134101 0.02600501402412192
10 60 -4 -3.5 14.5 15 1655.322011194738 0.01708994230762073
10 60 -4 -3.5 15 16 2952.996862420147 0.06008874417420884
10 60 -4 -3.5 16 17 2543.74949561216 0.01816326146263236
10 60 -4 -3.5 17 18 2201.651899946884 0.04869209148591835
10 60 -4 -3.5 18 19 1913.966357490634 0.07052169423559462
10 60 -4 -3.5 19 20 1670.675540808358 0.08243802872061678
10 60 -4 -3.5 20 21 1463.864547290173 0.008976419189593798
10 60 -4 -3.5 21 22 1287.214406716716 0.007609602646198255
10 60 -4 -3.5 22 23 1135.6437880353 0.006538258482123638
10 60 -4 -3.5 23 24 1005.043229258594 0.005643780059358505
10 60 -4 -3.5 24 25 892.06341784566 0.004912506435857722
10 60 -4 -3.5 25 26 793.9620925470267 0.006362421501421522
10 60 -4 -3.5 26 27 708.4803133277179 0.007466384897952594
10 60 -4 -3.5 27 28 633.7464119330832 0.007648682897752224
10 60 -4 -3.5 28 29 568.2036997451131 0.008233168108631617
10 60 -4 -3.5 29 30 510.550861750613 0.008824545844163367
10 60 -4 -3.5 30 31 459.6950089337078 0.009247312563275045
10 60 -4 -3.5 31 32 414.7150977572234 0.01000070320299074
10 60 -4 -3.5 32 33 374.8312152559938 0.01055890400544968
10 60 -4 -3.5 33 34 339.3806407068893 0.01056313033222978
10 60 -4 -3.5 34 35 307.7978789185826 0.01049498773954838
10 60 -4 -3.5 35 36 279.5992670243645 0.01049669473457016
10 60 -4 -3.5 36 37 254.3701676774502 0.01048200357146811
10 60 -4 -3.5 37 38 231.7531215820145 0.01051483428767597
10 60 -4 -3.5 38 39 211.4388206775942 0.0009876009142146813
10 60 -4 -3.5 39 40 193.1597619610186 0.0008969767982591748
10 60 -4 -3.5 40 42 338.4912503685826 0.001562712564634694
10 60 -4 -3.5 42 44 284.5276817307378 0.001303656745506032
10 60 -4 -3.5 44 46 240.2070033877463 0.001094232701888131
10 60 -4 -3.5 46 48 203.6006116670833 0.0009232730028543301
10 60 -4 -3.5 48 50 173.2088717463051 0.0007829480437635539
10 60 -4 -3.5 50 52 147.8552253914125 0.0006671616054347851
10 60 -4 -3.5 52 54 126.6105793189742 0.0005705348627031981
10 60 -4 -3.5 54 56 108.7353710383971 0.0004897431112738104
10 60 -4 -3.5 56 58 93.63745144597102 0.0004215098771709336
10 60 -4 -3.5 58 60 80.83962189525347 0.0003641044603597265
10 60 -4 -3.5 60 65 157.904999019769 0.0007130421460317393
10 60 -4 -3.5 65 70 111.395917862203 0.0005059520360504166
10 60 -4 -3.5 70 80 136.6926344406316 0.0006265381555579097
10 60 -4 -3.5 80 90 71.92081152063139 0.0003355333257104576
10 60 -4 -3.5 90 100 38.84742758641411 0.0003534485478695615
10 60 -3.5 -3.25 0 0.5 -177321.641480659 8.765187694632914
10 60 -3.5 -3.25 0.5 1 12411.98168837738 0.07508198270443245
10 60 -3.5 -3.25 1 1.5 20904.69321065149 0.7129300610395148
10 60 -3.5 -3.25 1.5 2 18003.1392030224 0.5418503466571565
10 60 -3.5 -3.25 2 2.5 14834.76442152289 0.427302978507214
10 60 -3.5 -3.25 2.5 3 12280.05482841161 0.3485393203227432
10 60 -3.5 -3.25 3 3.5 10289.47598452922 0.288981191941275
10 60 -3.5 -3.25 3.5 4 8728.887523044348 0.2380525083590328
10 60 -3.5 -3.25 4 4.5 7487.240482851991 0.1935268706538409
10 60 -3.5 -3.25 4.5 5 6483.676062464855 0.1563817241858487
10 60 -3.5 -3.25 5 5.5 5660.492103381972 0.1268784126250466
10 60 -3.5 -3.25 5.5 6 4976.336129710569 0.1129339494709711
10 60 -3.5 -3.25 6 6.5 4401.181367925765 0.1220907083397833
10 60 -3.5 -3.25 6.5 7 3912.780936047716 0.1223335457507346
10 60 -3.5 -3.25 7 7.5 3494.465155630718 0.1277368938685868
10 60 -3.5 -3.25 7.5 8 3133.454662666085 0.1323668258987709
10 60 -3.5 -3.25 8 8.5 2819.855345612509 0.1342226384026617
10 60 -3.5 -3.25 8.5 9 2545.870597440741 0.03458029097782855
10 60 -3.5 -3.25 9 9.5 2305.273228498131 0.02945116627961397
10 60 -3.5 -3.25 9.5 10 2093.040711819664 0.02511427720946813
10 60 -3.5 -3.25 10 10.5 1905.071603271618 0.0216975550092684
10 60 -3.5 -3.25 10.5 11 1737.985428269703 0.01881146863661343
10 60 -3.5 -3.25 11 11.5 1588.969091561025 0.07778166595107905
10 60 -3.5 -3.25 11.5 12 1455.663881998792 0.06016216389434703
10 60 -3.5 -3.25 12 12.5 1336.081094371563 0.04620342334669658
10 60 -3.5 -3.25 12.5 13 1228.530039436744 0.03507274058983967
10 60 -3.5 -3.25 13 13.5 1131.565711715836 0.0260925766924629
10 60 -3.5 -3.25 13.5 14 1043.948209713734 0.01892171584267999
10 60 -3.5 -3.25 14 14.5 964.6080717597364 0.01326065506191298
10 60 -3.5 -3.25 14.5 15 892.6178678323969 0.008764754858475499
10 60 -3.5 -3.25 15 16 1594.737714343785 0.0298408149953957
10 60 -3.5 -3.25 16 17 1376.677974820499 0.009703238703650641
10 60 -3.5 -3.25 17 18 1194.312603803386 0.02632312030664252
10 60 -3.5 -3.25 18 19 1040.859641718179 0.03778886352461086
10 60 -3.5 -3.25 19 20 910.9975506737173 0.04351215781821338
10 60 -3.5 -3.25 20 21 800.5166336860751 0.004768272554997566
10 60 -3.5 -3.25 21 22 706.0581481809838 0.004079445688944361
10 60 -3.5 -3.25 22 23 624.9231559679067 0.003509785131427634
10 60 -3.5 -3.25 23 24 554.9284788981038 0.00303270589222393
10 60 -3.5 -3.25 24 25 494.2962513961457 0.002640234853515722
10 60 -3.5 -3.25 25 26 441.5708872941799 0.002311678875287271
10 60 -3.5 -3.25 26 27 395.5534979503059 0.002028225285982899
10 60 -3.5 -3.25 27 28 355.2516904048126 0.001787907653181264
10 60 -3.5 -3.25 28 29 319.8398262088893 0.001587159650057401
10 60 -3.5 -3.25 29 30 288.6279678142085 0.001408984380987022
10 60 -3.5 -3.25 30 31 261.0368958098389 0.001260001157277202
10 60 -3.5 -3.25 31 32 236.5780259656751 0.001125100273668522
10 60 -3.5 -3.25 32 33 214.8379034586534 0.001013305048388702
10 60 -3.5 -3.25 33 34 195.4653699917311 0.0009107569675279592
10 60 -3.5 -3.25 34 35 178.1607379989219 0.000822568629757825
10 60 -3.5 -3.25 35 36 162.667584208739 0.0007454931162271805
10 60 -3.5 -3.25 36 37 148.7656530934372 0.0006756357856829709
10 60 -3.5 -3.25 37 38 136.2651605055694 0.000614896653331698
10 60 -3.5 -3.25 38 39 125.0021635752886 0.000560293881434859
10 60 -3.5 -3.25 39 40 114.8345681869094 0.0005119144621801297
10 60 -3.5 -3.25 40 42 202.9463703992126 0.0008973946046353376
10 60 -3.5 -3.25 42 44 172.6188166130399 0.0007567036639670732
10 60 -3.5 -3.25 44 46 147.5227648167303 0.000642372229663124
10 60 -3.5 -3.25 46 48 126.6296235026884 0.0005481646815610475
10 60 -3.5 -3.25 48 50 109.1379048976782 0.0004702072131834711
10 60 -3.5 -3.25 50 52 94.41744640465215 0.000405540021134243
10 60 -3.5 -3.25 52 54 81.96927787322637 0.0003511796702468928
10 60 -3.5 -3.25 54 56 71.39504174423432 0.0003053938821295787
10 60 -3.5 -3.25 56 58 62.37481746275451 0.0002665301374165097
10 60 -3.5 -3.25 58 60 54.64984569620311 0.0002334189816863841
10 60 -3.5 -3.25 60 65 109.5313114467631 0.0004682288483053298
10 60 -3.5 -3.25 65 70 80.38967477756869 0.0004056956501017339
10 60 -3.5 -3.25 70 80 104.7144866713335 0.0006190179624638859
10 60 -3.5 -3.25 80 90 60.26116308755561 0.0005031201384184669
10 60 -3.5 -3.25 90 100 35.83314031500839 0.0003714781980121984
10 60 -3.25 -3 0 0.5 -190694.4098669617 3.592643029260216
10 60 -3.25 -3 0.5 1 11158.05976736914 0.3880928837716056
10 60 -3.25 -3 1 1.5 21083.63354276616 0.9273774090033839
10 60 -3.25 -3 1.5 2 18402.48108381937 0.7142322126637737
10 60 -3.25 -3 2 2.5 15251.63724882432 0.5341671011192375
10 60 -3.25 -3 2.5 3 12667.41067319408 0.3947036163554003
10 60 -3.25 -3 3 3.5 10637.4779437691 0.2996619403857039
10 60 -3.25 -3 3.5 4 9038.205507543969 0.2350383175526076
10 60 -3.25 -3 4 4.5 7761.524853572683 0.189631925652975
10 60 -3.25 -3 4.5 5 6727.053774039475 0.1566027954786477
10 60 -3.25 -3 5 5.5 5876.91760931147 0.129821254473427
10 60 -3.25 -3 5.5 6 5169.320219571425 0.1079340040105308
10 60 -3.25 -3 6 6.5 4573.718721033409 0.08931815491177986
10 60 -3.25 -3 6.5 7 4067.495905016409 0.07409841600338041
10 60 -3.25 -3 7 7.5 3633.557650821188 0.06126150546106146
10 60 -3.25 -3 7.5 8 3258.846729203446 0.05134857295388429
10 60 -3.25 -3 8 8.5 2933.172208789292 0.04485181841891972
10 60 -3.25 -3 8.5 9 2648.528298760294 0.04748510798708594
10 60 -3.25 -3 9 9.5 2398.49337657487 0.0518539047707236
10 60 -3.25 -3 9.5 10 2177.88304962443 0.05498038098812685
10 60 -3.25 -3 10 10.5 1982.462218774418 0.05762825240958591
10 60 -3.25 -3 10.5 11 1808.726944873206 0.05994519164778467
10 60 -3.25 -3 11 11.5 1653.770059908563 0.08089547986151047
10 60 -3.25 -3 11.5 12 1515.145438150492 0.06470109000542834
10 60 -3.25 -3 12 12.5 1390.787652939488 0.0669636409929808
10 60 -3.25 -3 12.5 13 1278.943976277853 0.03615366405711029
10 60 -3.25 -3 13 13.5 1178.111843051507 0.02678813805414393
10 60 -3.25 -3 13.5 14 1087.003457040433 0.01932658570876811
10 60 -3.25 -3 14 14.5 1004.506874106073 0.01341702719946625
10 60 -3.25 -3 14.5 15 929.6578328450178 0.008766487466118633
10 60 -3.25 -3 15 16 1661.271899082763 0.02844134705105716
10 60 -3.25 -3 16 17 1434.602099713948 0.009981580003113777
10 60 -3.25 -3 17 18 1245.06451307562 0.02925588046605299
10 60 -3.25 -3 18 19 1085.598631827907 0.04087899488490621
10 60 -3.25 -3 19 20 950.6648643744965 0.04647130768819352
10 60 -3.25 -3 20 21 835.8805005025886 0.004940786220572591
10 60 -3.25 -3 21 22 737.7497448762432 0.004216514516201642
10 60 -3.25 -3 22 23 653.4634713663146 0.003633474145999571
10 60 -3.25 -3 23 24 580.7500716435839 0.00314052987175728
10 60 -3.25 -3 24 25 517.7603411237734 0.002736712892328796
10 60 -3.25 -3 25 26 462.9800011808071 0.002393236001125842
10 60 -3.25 -3 26 27 415.1625194909354 0.002102235361064686
10 60 -3.25 -3 27 28 373.2765406755594 0.001859105713037934
10 60 -3.25 -3 28 29 336.4642068893455 0.001645811922458051
10 60 -3.25 -3 29 30 304.0088040368427 0.00146562421963381
