#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -444217.1395705795 15.73747837904375
10 60 -5 -4 0.5 1 51228.79870713408 2.299568090267712
10 60 -5 -4 1 1.5 65712.98423102361 1.338357829896268
10 60 -5 -4 1.5 2 54551.99082593054 0.9042413545903401
10 60 -5 -4 2 2.5 44321.81769253284 2.191160351008875
10 60 -5 -4 2.5 3 36444.1795157152 0.7677648336029961
10 60 -5 -4 3 3.5 30434.57570728038 0.4536077830998693
10 60 -5 -4 3.5 4 25776.9940579136 0.6536239370470867
10 60 -5 -4 4 4.5 22095.51583380646 1.040265167201142
10 60 -5 -4 4.5 5 19130.562212827 0.2663441908807727
10 60 -5 -4 5 5.5 16702.52924809065 0.2286356278564199
10 60 -5 -4 5.5 6 14685.28272183323 0.196820503922936
10 60 -5 -4 6 6.5 12988.36553718918 0.1677030512746569
10 60 -5 -4 6.5 7 11545.66019199073 0.1429336797373253
10 60 -5 -4 7 7.5 10307.84968794388 0.1224500220614573
10 60 -5 -4 7.5 8 9237.50984050628 0.1054010476564144
10 60 -5 -4 8 8.5 8305.719049814812 0.09268979967600899
10 60 -5 -4 8.5 9 7489.816845385062 0.08187267158155009
10 60 -5 -4 9 9.5 6771.747453911086 0.07169920126216311
10 60 -5 -4 9.5 10 6136.972372445724 0.06334353903366718
10 60 -5 -4 10 10.5 5573.628129644601 0.05565427307283244
10 60 -5 -4 10.5 11 5071.926727918031 0.04894069915189903
10 60 -5 -4 11 11.5 4623.732665949634 0.04426202169543103
10 60 -5 -4 11.5 12 4222.211843784186 0.03973197257164429
10 60 -5 -4 12 12.5 3861.58100096931 0.1740518293627247
10 60 -5 -4 12.5 13 3536.91911541736 0.134158495200154
10 60 -5 -4 13 13.5 3244.01215360121 0.1019808308828942
10 60 -5 -4 13.5 14 2979.226962367197 0.07581832472715178
10 60 -5 -4 14 14.5 2739.418411178751 0.05464053102014077
10 60 -5 -4 14.5 15 2521.853832373517 0.03741708016968914
10 60 -5 -4 15 16 4468.366117049459 0.1440918304106162
10 60 -5 -4 16 17 3810.760061747507 0.03059885342599955
10 60 -5 -4 17 18 3262.333346707946 0.0846609577529307
10 60 -5 -4 18 19 2802.653558275951 0.1364903430071536
10 60 -5 -4 19 20 2415.584671873602 0.01924042049449781
10 60 -5 -4 20 21 2088.269762789164 0.01664871529419543
10 60 -5 -4 21 22 1810.400100065928 0.01396412563872218
10 60 -5 -4 22 23 1573.642273848514 0.01212271980307378
10 60 -5 -4 23 24 1371.225752745002 0.01210084594526961
10 60 -5 -4 24 25 1197.618052486983 0.01244274936880174
10 60 -5 -4 25 26 1048.274364238694 0.01289534070906484
10 60 -5 -4 26 27 919.4404549565103 0.01313261415214129
10 60 -5 -4 27 28 808.0067792296152 0.01290007225986756
10 60 -5 -4 28 29 711.3833216968719 0.01210524245095712
10 60 -5 -4 29 30 627.4031839742715 0.01158744938140899
10 60 -5 -4 30 31 554.2496473197488 0.01141312772097081
10 60 -5 -4 31 32 490.3925582516429 0.0109715653622402
10 60 -5 -4 32 33 434.538883785129 0.01051900977626019
10 60 -5 -4 33 34 385.5930786689606 0.01008427917236077
10 60 -5 -4 34 35 342.6227086146395 0.009477159536174895
10 60 -5 -4 35 36 304.833480777636 0.008968277954636505
10 60 -5 -4 36 37 271.5467352887989 0.008400193715829118
10 60 -5 -4 37 38 242.1799166095034 0.008020214145602722
10 60 -5 -4 38 39 216.232676952114 0.007508326289894285
10 60 -5 -4 39 40 193.2745340206644 0.00693752331108044
10 60 -5 -4 40 42 327.8194878033883 0.01181109445411721
10 60 -5 -4 42 44 263.4556819452471 0.0093782791045669
