#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -920490.1672633303 10.6301055974327
10 60 -5 -4 0.5 1 5874.170533680148 0.08940148646433954
10 60 -5 -4 1 1.5 63731.48134689385 3.050968484720215
10 60 -5 -4 1.5 2 59686.00684645752 2.331609133449092
10 60 -5 -4 2 2.5 50626.52967413995 1.796883515016816
10 60 -5 -4 2.5 3 42499.36061743179 1.421160241829057
10 60 -5 -4 3 3.5 35889.49387583388 1.429133124103828
10 60 -5 -4 3.5 4 30587.0099289084 0.946809891902376
10 60 -5 -4 4 4.5 26307.46934784895 0.7743735848380311
10 60 -5 -4 4.5 5 22814.11033672881 0.6719608328166942
10 60 -5 -4 5 5.5 19927.76589070567 0.5399068886254099
10 60 -5 -4 5.5 6 17515.19468969986 0.4531700680709037
10 60 -5 -4 6 6.5 15477.52864831315 0.3797039689143276
10 60 -5 -4 6.5 7 13740.56959736569 0.317188221244578
10 60 -5 -4 7 7.5 12247.94091059483 0.2657284249708027
10 60 -5 -4 7.5 8 10956.21891686983 0.2229508591426566
10 60 -5 -4 8 8.5 9831.490018272358 0.1896232912567939
10 60 -5 -4 8.5 9 8846.908830956832 0.1623930237728928
10 60 -5 -4 9 9.5 7980.956455369586 0.1392112577823355
10 60 -5 -4 9.5 10 7216.187375855932 0.1201285311135507
10 60 -5 -4 10 10.5 6538.293819767723 0.1033365790844982
10 60 -5 -4 10.5 11 5935.430510507923 0.08883610241537099
10 60 -5 -4 11 11.5 5397.715041095576 0.0774141299934854
10 60 -5 -4 11.5 12 4916.823239642109 0.06763549968763982
10 60 -5 -4 12 12.5 4485.698285119039 0.1904854902541047
10 60 -5 -4 12.5 13 4098.322484867567 0.142359783349093
10 60 -5 -4 13 13.5 3749.538851911384 0.1039074075051758
10 60 -5 -4 13.5 14 3434.897910217247 0.07323998535457577
10 60 -5 -4 14 14.5 3150.543209455677 0.0487263200743655
10 60 -5 -4 14.5 15 2893.123844846629 0.0324867235358397
10 60 -5 -4 15 16 5107.494781902433 0.05759385930650751
10 60 -5 -4 16 17 4334.55687433714 0.09408257470113313
10 60 -5 -4 17 18 3692.873372286332 0.1839226895954198
10 60 -5 -4 18 19 3157.496191283472 0.02975302346658282
10 60 -5 -4 19 20 2708.747918906875 0.02482916789085721
10 60 -5 -4 20 21 2331.003712572633 0.02087464739270217
10 60 -5 -4 21 22 2011.778117875509 0.01718204170401805
10 60 -5 -4 22 23 1740.998447045207 0.01501977804196031
10 60 -5 -4 23 24 1510.518550573293 0.0127455939095853
10 60 -5 -4 24 25 1313.708886468587 0.01381193475913278
10 60 -5 -4 25 26 1145.133333888336 0.01632592525561449
10 60 -5 -4 26 27 1000.323716001875 0.01514616821350501
10 60 -5 -4 27 28 875.5965313345968 0.01390884886109234
10 60 -5 -4 28 29 767.8913041131968 0.01368558489309635
