#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -199040.6277926913 8.931006698054262
10 60 -5 -4 0.5 1 79660.12160100821 1.901990335463779
10 60 -5 -4 1 1.5 68073.60139350359 0.9859226699190913
10 60 -5 -4 1.5 2 52078.6849200806 2.511984242497419
10 60 -5 -4 2 2.5 40743.05497589641 0.6334972240802017
10 60 -5 -4 2.5 3 32750.39336600518 0.3626023399483529
10 60 -5 -4 3 3.5 26928.77339642257 0.8836861986274016
10 60 -5 -4 3.5 4 22546.98318031361 0.2393712027333095
10 60 -5 -4 4 4.5 19153.93955878007 0.2001337779511232
10 60 -5 -4 4.5 5 16463.27509871113 0.1680242335642106
10 60 -5 -4 5 5.5 14286.70938074318 0.1437667294467246
10 60 -5 -4 5.5 6 12496.45435053199 0.1235232956023538
10 60 -5 -4 6 6.5 11003.16625019776 0.1049382172532205
10 60 -5 -4 6.5 7 9742.775056251963 0.08918985569653159
10 60 -5 -4 7 7.5 8668.221793128227 0.07625008031573088
10 60 -5 -4 7.5 8 7744.238047542281 0.0655739249468752
10 60 -5 -4 8 8.5 6943.862947646741 0.05782815156726429
10 60 -5 -4 8.5 9 6246.162630794454 0.05126936049509823
10 60 -5 -4 9 9.5 5634.599897555935 0.04502806888558553
10 60 -5 -4 9.5 10 5095.955357174186 0.03990663771764957
10 60 -5 -4 10 10.5 4619.516709341615 0.03508352940934856
10 60 -5 -4 10.5 11 4196.503345375153 0.0308384207655763
10 60 -5 -4 11 11.5 3819.658546684498 0.02796936085997004
10 60 -5 -4 11.5 12 3482.921149190792 0.1626494636766438
10 60 -5 -4 12 12.5 3181.189130518421 0.1252599510330583
10 60 -5 -4 12.5 13 2910.141907330518 0.09489638203604045
10 60 -5 -4 13 13.5 2666.096354889268 0.07053506800775722
10 60 -5 -4 13.5 14 2445.891297188453 0.05084635662205983
10 60 -5 -4 14 14.5 2246.801386303981 0.03501158412109362
10 60 -5 -4 14.5 15 2066.46751960657 0.0222255589183078
10 60 -5 -4 15 16 3656.964487558305 0.06369903507993513
10 60 -5 -4 16 17 3114.115641162258 0.0384185931770844
10 60 -5 -4 17 18 2662.455874802308 0.09977044944889712
10 60 -5 -4 18 19 2284.662805791982 0.01462965176642683
10 60 -5 -4 19 20 1967.121844702611 0.01254776227870025
10 60 -5 -4 20 21 1699.031834324197 0.01089572347541434
10 60 -5 -4 21 22 1471.764030405977 0.01077368039409521
10 60 -5 -4 22 23 1278.367022617959 0.01054990100396935
10 60 -5 -4 23 24 1113.209605081325 0.01044220932089956
10 60 -5 -4 24 25 971.7024854379208 0.01061761236076109
10 60 -5 -4 25 26 850.0844589709233 0.01088973817707029
10 60 -5 -4 26 27 743.7824129383825 0.0115744683473622
10 60 -5 -4 27 28 654.6527733686418 0.0107344701814327
10 60 -5 -4 28 29 576.1449882141949 0.01009364680146518
10 60 -5 -4 29 30 507.95227146225 0.009639281275781286
10 60 -5 -4 30 31 448.5843006643777 0.009417259482233931
10 60 -5 -4 31 32 396.7874785906875 0.009018212698549632
10 60 -5 -4 32 33 351.5037471024473 0.008622943620366641
10 60 -5 -4 33 34 311.8375686437816 0.008232819941667913
10 60 -5 -4 34 35 277.0276171035871 0.00771694366204656
