#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -842516.9107531067 11.54128474427853
10 60 -5 -4 0.5 1 35939.58090004516 1.297704526157759
10 60 -5 -4 1 1.5 76313.11253377578 3.351771620902582
10 60 -5 -4 1.5 2 66373.51715908822 2.583745757496217
10 60 -5 -4 2 2.5 54550.91232302747 1.973159645429405
10 60 -5 -4 2.5 3 44907.82616185524 1.535069144294539
10 60 -5 -4 3 3.5 37386.05872328882 1.436695585223788
10 60 -5 -4 3.5 4 31501.3342561655 0.9900045713984582
10 60 -5 -4 4 4.5 26834.97220631646 0.8009996254477301
10 60 -5 -4 4.5 5 23077.45493923115 0.6644246815158112
10 60 -5 -4 5 5.5 20007.65369597658 0.5534503941344155
10 60 -5 -4 5.5 6 17466.44315265123 0.4610150580083427
10 60 -5 -4 6 6.5 15338.44797184303 0.384480222755883
10 60 -5 -4 6.5 7 13538.47838925936 0.318688350613229
10 60 -5 -4 7 7.5 12002.65012020254 0.264329020108562
10 60 -5 -4 7.5 8 10682.25812926898 0.2191410204413842
10 60 -5 -4 8 8.5 9539.633575121081 0.1846588050066202
10 60 -5 -4 8.5 9 8545.141730341071 0.1569894449276035
10 60 -5 -4 9 9.5 7675.259206156427 0.1341601686244758
10 60 -5 -4 9.5 10 6910.992645198311 0.1153428750794774
10 60 -5 -4 10 10.5 6236.88148933581 0.09864021577868698
10 60 -5 -4 10.5 11 5640.210103513748 0.08421013281531486
10 60 -5 -4 11 11.5 5110.411683337489 0.07252617405447381
10 60 -5 -4 11.5 12 4638.645826740636 0.1903884338817079
10 60 -5 -4 12 12.5 4217.462861660494 0.1386604312001509
10 60 -5 -4 12.5 13 3840.530034692243 0.09687759867711065
10 60 -5 -4 13 13.5 3502.454154734215 0.06367513734585373
10 60 -5 -4 13.5 14 3198.609493091108 0.03829474211352135
10 60 -5 -4 14 14.5 2924.998466092998 0.03269115047760351
10 60 -5 -4 14.5 15 2678.163866840915 0.02930225940735909
10 60 -5 -4 15 16 4708.343438909434 0.1149616140173748
10 60 -5 -4 16 17 3974.314742107807 0.03879388882432977
10 60 -5 -4 17 18 3368.634901503271 0.03201398776081987
10 60 -5 -4 18 19 2866.21970809412 0.02584610370968221
10 60 -5 -4 19 20 2447.402092947506 0.021360250430007
10 60 -5 -4 20 21 2096.694956666593 0.01774444475040582
10 60 -5 -4 21 22 1801.802862421804 0.01455312489656535
10 60 -5 -4 22 23 1552.855040285335 0.01593050016481357
10 60 -5 -4 23 24 1341.930442359746 0.01088765353188137
10 60 -5 -4 24 25 1162.618909971701 0.01300236369684171
10 60 -5 -4 25 26 1009.681161474881 0.01727042047866689
10 60 -5 -4 26 27 878.842017199388 0.01389703589859437
10 60 -5 -4 27 28 766.5971927753889 0.01197709741404651
10 60 -5 -4 28 29 670.04269352046 0.01293318313298641
10 60 -5 -4 29 30 586.7687924435354 0.01198759777230407
10 60 -5 -4 30 31 514.7791892544927 0.01069156295329776
10 60 -5 -4 31 32 452.4045071663156 0.01102980637614337
10 60 -5 -4 32 33 398.2406855422071 0.01131461035379289
10 60 -5 -4 33 34 351.1100274605762 0.01001467692708502
10 60 -5 -4 34 35 310.0197715375892 0.008426502650138445
10 60 -5 -4 35 36 274.1294127136036 0.008026839520994145
10 60 -5 -4 36 37 242.7239827438589 0.00748172684200199
10 60 -5 -4 37 38 215.1963960951283 0.006811318856051685
10 60 -5 -4 38 39 191.0294980690918 0.006089562625078315
10 60 -5 -4 39 40 169.7856118290524 0.004637049384257352
10 60 -5 -4 40 42 285.6326828216005 0.009566440982666791
10 60 -5 -4 42 44 227.101268920805 0.006722240674520208
10 60 -5 -4 44 46 181.2887291425089 0.003509599042217815
10 60 -5 -4 46 48 145.2572778294948 0.00138443233373664
10 60 -5 -4 48 50 116.7894915881661 0.0006829418517497743
10 60 -5 -4 50 52 94.20317580257209 0.002082713870635189
10 60 -5 -4 52 54 76.21288892188859 0.003798324097573413
10 60 -5 -4 54 56 61.83084408545241 0.0003530720812250365
10 60 -5 -4 56 58 50.29372357773622 0.0002866836508346182
10 60 -5 -4 58 60 41.00882176737944 0.0002336141785121981
10 60 -5 -4 60 65 72.77508258327333 0.0004105778835992169
10 60 -5 -4 65 70 44.46610215831203 0.0002499871613750315
10 60 -5 -4 70 80 44.54052569435449 0.001018995874730422
10 60 -5 -4 80 90 17.44634612314041 0.0005071451598226417
10 60 -5 -4 90 100 6.947766077941372 0.0002176560225075619
10 60 -4 -3.5 0 0.5 -550572.689208387 7.022202102583833
10 60 -4 -3.5 0.5 1 3406.1508802495 0.134640455185945
10 60 -4 -3.5 1 1.5 38434.52837580079 1.333227117916977
10 60 -4 -3.5 1.5 2 35998.38204957986 1.310104248746939
10 60 -4 -3.5 2 2.5 30502.54049046206 1.177512872152874
10 60 -4 -3.5 2.5 3 25570.08526577031 0.9940277220521239
10 60 -4 -3.5 3 3.5 21561.99412644941 0.8087752170904423
10 60 -4 -3.5 3.5 4 18351.84956903032 0.6486133626422088
10 60 -4 -3.5 4 4.5 15766.29055684859 0.5229167377074191
10 60 -4 -3.5 4.5 5 13660.77083276355 0.420228651348225
10 60 -4 -3.5 5 5.5 11925.61549771742 0.3380590104679868
10 60 -4 -3.5 5.5 6 10479.08566235629 0.2690001734827092
10 60 -4 -3.5 6 6.5 9260.743972799706 0.2159458127825928
10 60 -4 -3.5 6.5 7 8224.878063011716 0.1760891759640799
10 60 -4 -3.5 7 7.5 7337.070956111457 0.1461357256976044
10 60 -4 -3.5 7.5 8 6570.631800457956 0.1238114131638213
10 60 -4 -3.5 8 8.5 5904.737536186622 0.1059653291767972
10 60 -4 -3.5 8.5 9 5323.109839256928 0.09101897935124725
10 60 -4 -3.5 9 9.5 4812.425917490165 0.0780348898470038
10 60 -4 -3.5 9.5 10 4362.138041332704 0.06655978179423983
10 60 -4 -3.5 10 10.5 3963.584092626878 0.0571430531022088
10 60 -4 -3.5 10.5 11 3609.464424835401 0.04907254879663014
10 60 -4 -3.5 11 11.5 3293.851863982621 0.1624633634301063
10 60 -4 -3.5 11.5 12 3011.774908793408 0.1285407243431109
10 60 -4 -3.5 12 12.5 2758.924110439863 0.09834336830317625
10 60 -4 -3.5 12.5 13 2531.686795385739 0.0715655840654108
10 60 -4 -3.5 13 13.5 2327.03076556417 0.05214831143121046
10 60 -4 -3.5 13.5 14 2142.305813163629 0.0388141581374839
10 60 -4 -3.5 14 14.5 1975.190144403752 0.02619239952650787
10 60 -4 -3.5 14.5 15 1823.71019512708 0.01745605664359573
10 60 -4 -3.5 15 16 3247.230384128401 0.04148818836256396
10 60 -4 -3.5 16 17 2790.061393922957 0.02970073439337284
10 60 -4 -3.5 17 18 2408.689780724403 0.07703784123032165
10 60 -4 -3.5 18 19 2088.683475311256 0.09614474991212774
10 60 -4 -3.5 19 20 1818.64079176616 0.01360144963973653
10 60 -4 -3.5 20 21 1589.600966694393 0.01151183370802755
10 60 -4 -3.5 21 22 1394.399420083266 0.009700426485778735
10 60 -4 -3.5 22 23 1227.279573133022 0.008281640913764932
10 60 -4 -3.5 23 24 1083.600536756445 0.007092762079537351
10 60 -4 -3.5 24 25 959.5791008686026 0.006131329915774586
10 60 -4 -3.5 25 26 852.1239986475568 0.008124982867229846
10 60 -4 -3.5 26 27 758.6938951907573 0.009415896149675973
10 60 -4 -3.5 27 28 677.1845506191993 0.008088698928304439
10 60 -4 -3.5 28 29 605.8495352053894 0.008594931147740681
10 60 -4 -3.5 29 30 543.2319255303345 0.009635778622282487
10 60 -4 -3.5 30 31 488.1096495045615 0.01029548441596262
10 60 -4 -3.5 31 32 439.4547012856828 0.01160080055569779
10 60 -4 -3.5 32 33 396.398175215716 0.0122777885798655
10 60 -4 -3.5 33 34 358.2026681971561 0.01176283479901485
10 60 -4 -3.5 34 35 324.2401030594198 0.01131741168069311
10 60 -4 -3.5 35 36 293.9746202289875 0.01129706056070745
10 60 -4 -3.5 36 37 266.9474745812444 0.01137256647848517
10 60 -4 -3.5 37 38 242.7636048037258 0.01152871051641569
10 60 -4 -3.5 38 39 221.0815646846726 0.001143036008159015
10 60 -4 -3.5 39 40 201.6071451997427 0.00103392088604437
10 60 -4 -3.5 40 42 352.3772161831956 0.001789982596392292
10 60 -4 -3.5 42 44 295.1831877023259 0.001481495475218253
10 60 -4 -3.5 44 46 248.3698396340465 0.001233947313664885
10 60 -4 -3.5 46 48 209.8336164719661 0.001033530881102251
10 60 -4 -3.5 48 50 177.9440387007489 0.0008702835819462962
10 60 -4 -3.5 50 52 151.4257291482628 0.0007366726692907832
10 60 -4 -3.5 52 54 129.2744724114225 0.0006258322685539497
10 60 -4 -3.5 54 56 110.6934657775412 0.0005338651610031775
10 60 -4 -3.5 56 58 95.04635609310634 0.0004568034307794733
10 60 -4 -3.5 58 60 81.82189298907311 0.0003923245188701685
10 60 -4 -3.5 60 65 159.076361015485 0.0007610004109039892
10 60 -4 -3.5 65 70 111.4717642811289 0.0005329368553219638
10 60 -4 -3.5 70 80 135.5572207763281 0.0006490053412449015
10 60 -4 -3.5 80 90 70.47288885375308 0.0003402036226844984
10 60 -4 -3.5 90 100 37.64137698757227 0.0007249017845509798
10 60 -3.5 -3.25 0 0.5 -307784.0240266675 2.994632199581247
10 60 -3.5 -3.25 0.5 1 -2115.31122556967 0.03859707329957018
10 60 -3.5 -3.25 1 1.5 19012.97482157266 0.6254005866576335
10 60 -3.5 -3.25 1.5 2 18462.7922873451 0.5916402667025977
10 60 -3.5 -3.25 2 2.5 15854.03549731839 0.5162180073348281
10 60 -3.5 -3.25 2.5 3 13387.40941709485 0.4444446966717805
10 60 -3.5 -3.25 3 3.5 11342.09458006439 0.3819853166060057
10 60 -3.5 -3.25 3.5 4 9685.657521738278 0.3230946063958982
10 60 -3.5 -3.25 4 4.5 8341.865947324553 0.2655929236370866
10 60 -3.5 -3.25 4.5 5 7242.087114354446 0.214870748633075
10 60 -3.5 -3.25 5 5.5 6332.288107275362 0.1741880256113291
10 60 -3.5 -3.25 5.5 6 5571.617775640656 0.1445318374635463
10 60 -3.5 -3.25 6 6.5 4929.467833344353 0.1202873463025753
10 60 -3.5 -3.25 6.5 7 4382.469190527033 0.09962535157137609
10 60 -3.5 -3.25 7 7.5 3912.962238101799 0.09886992740530332
10 60 -3.5 -3.25 7.5 8 3507.111293832735 0.1058647163149544
10 60 -3.5 -3.25 8 8.5 3154.180621570676 0.1086709411806623
10 60 -3.5 -3.25 8.5 9 2845.619002738049 0.1247445603298729
10 60 -3.5 -3.25 9 9.5 2574.512935172394 0.1253771742276513
10 60 -3.5 -3.25 9.5 10 2335.351348879858 0.03454606724153564
10 60 -3.5 -3.25 10 10.5 2123.523084916567 0.02987884322101308
10 60 -3.5 -3.25 10.5 11 1935.262589784704 0.02590199899191248
10 60 -3.5 -3.25 11 11.5 1767.414162526429 0.08814864264968492
10 60 -3.5 -3.25 11.5 12 1617.325181878395 0.06728528487860785
10 60 -3.5 -3.25 12 12.5 1482.758450565217 0.05115485404303399
10 60 -3.5 -3.25 12.5 13 1361.805959551504 0.03842940064123468
10 60 -3.5 -3.25 13 13.5 1252.833630534562 0.02801108964467858
10 60 -3.5 -3.25 13.5 14 1154.439416738508 0.01977809087679816
10 60 -3.5 -3.25 14 14.5 1065.413009862726 0.01331382577404838
10 60 -3.5 -3.25 14.5 15 984.7025108787135 0.009132901648285952
10 60 -3.5 -3.25 15 16 1756.079766793672 0.02101573853269656
10 60 -3.5 -3.25 16 17 1512.269240781555 0.01716002554394436
10 60 -3.5 -3.25 17 18 1308.767355597736 0.03991646490021594
10 60 -3.5 -3.25 18 19 1137.876921208582 0.05117727373021808
10 60 -3.5 -3.25 19 20 993.5553328829371 0.007218400418310011
10 60 -3.5 -3.25 20 21 871.0294242295341 0.006056388778574728
10 60 -3.5 -3.25 21 22 766.4918541752862 0.005147925397977815
10 60 -3.5 -3.25 22 23 676.8874010678137 0.004400343672955387
10 60 -3.5 -3.25 23 24 599.7469611453939 0.003771211930370555
10 60 -3.5 -3.25 24 25 533.0625681979228 0.003263197833575759
10 60 -3.5 -3.25 25 26 475.1926549879736 0.002839387328776866
10 60 -3.5 -3.25 26 27 424.7871383951941 0.002472605480477341
10 60 -3.5 -3.25 27 28 380.7300241201814 0.002167896234993805
10 60 -3.5 -3.25 28 29 342.0944913310711 0.001913037051451738
10 60 -3.5 -3.25 29 30 308.1072352444801 0.001689771648386795
10 60 -3.5 -3.25 30 31 278.1198834347448 0.001501659722066506
10 60 -3.5 -3.25 31 32 251.586486881436 0.001335345924019293
10 60 -3.5 -3.25 32 33 228.0458276924921 0.001195368889909787
10 60 -3.5 -3.25 33 34 207.1069322715858 0.001069944771671771
10 60 -3.5 -3.25 34 35 188.436560418258 0.0009614013942211841
10 60 -3.5 -3.25 35 36 171.7500228119206 0.000867413092919378
10 60 -3.5 -3.25 36 37 156.8030851477448 0.0007826536827622022
10 60 -3.5 -3.25 37 38 143.3857185107175 0.0007092416800844603
10 60 -3.5 -3.25 38 39 131.3168554779758 0.0006435296764379927
10 60 -3.5 -3.25 39 40 120.4396458246871 0.0005855163926895557
10 60 -3.5 -3.25 40 42 212.3518693373238 0.001020699993460994
10 60 -3.5 -3.25 42 44 180.0597521985353 0.00085408765104944
10 60 -3.5 -3.25 44 46 153.4199616496969 0.0007199033787230746
10 60 -3.5 -3.25 46 48 131.3076142908113 0.0006101330571368635
10 60 -3.5 -3.25 48 50 112.8486524591167 0.0005200376438523335
10 60 -3.5 -3.25 50 52 97.35793398086776 0.0004457469699588046
10 60 -3.5 -3.25 52 54 84.29436687064135 0.0003836894055808671
10 60 -3.5 -3.25 54 56 73.2270419877854 0.0003317483458289416
10 60 -3.5 -3.25 56 58 63.81087012884517 0.000303904204315586
10 60 -3.5 -3.25 58 60 55.76746305753144 0.0003147177183961958
10 60 -3.5 -3.25 60 65 111.3099595278927 0.0004989738709895164
10 60 -3.5 -3.25 65 70 81.21636523031218 0.0005102853537977126
10 60 -3.5 -3.25 70 80 104.9567534557547 0.0006193565197634143
10 60 -3.5 -3.25 80 90 59.77458348389052 0.000483002445271552
10 60 -3.5 -3.25 90 100 35.20040438182022 0.0003626432139398617
10 60 -3.25 -3 0 0.5 -330064.8834535053 6.504792878462467
10 60 -3.25 -3 0.5 1 -4720.396316496474 0.1148768342800395
10 60 -3.25 -3 1 1.5 18853.60646099185 0.3937010424306209
10 60 -3.25 -3 1.5 2 18759.41600210981 0.9028737820299284
10 60 -3.25 -3 2 2.5 16247.93455306441 0.6966289221454645
10 60 -3.25 -3 2.5 3 13783.13960975042 0.5139214074297342
10 60 -3.25 -3 3 3.5 11711.29168591849 0.3891199542740651
10 60 -3.25 -3 3.5 4 10020.99127110555 0.3078321208558918
10 60 -3.25 -3 4 4.5 8643.40112127604 0.2515267497510649
10 60 -3.25 -3 4.5 5 7512.122055725003 0.2104460659720644
10 60 -3.25 -3 5 5.5 6574.006619200756 0.1761822740809293
10 60 -3.25 -3 5.5 6 5788.234241287771 0.1480302218333236
10 60 -3.25 -3 6 6.5 5123.794677121507 0.1234512742939842
10 60 -3.25 -3 6.5 7 4557.235077340392 0.1026923332428851
10 60 -3.25 -3 7 7.5 4070.380305377645 0.08444543655241432
10 60 -3.25 -3 7.5 8 3649.269034857148 0.07140453126066859
10 60 -3.25 -3 8 8.5 3282.792161897951 0.05888385596745138
10 60 -3.25 -3 8.5 9 2962.229931650346 0.05035521394938769
10 60 -3.25 -3 9 9.5 2680.488136149821 0.04169115711692939
10 60 -3.25 -3 9.5 10 2431.829943298106 0.03884183714853862
10 60 -3.25 -3 10 10.5 2211.553014742997 0.04326389848756662
10 60 -3.25 -3 10.5 11 2015.731889807461 0.04737975806938266
10 60 -3.25 -3 11 11.5 1841.124493410011 0.09199450851133406
10 60 -3.25 -3 11.5 12 1684.976900994551 0.07046091405595689
10 60 -3.25 -3 12 12.5 1544.963106331357 0.06025599324857467
10 60 -3.25 -3 12.5 13 1419.111638019799 0.06306432626661262
10 60 -3.25 -3 13 13.5 1305.722319945453 0.06458543939538686
10 60 -3.25 -3 13.5 14 1203.339090302189 0.02025958936314964
10 60 -3.25 -3 14 14.5 1110.705120110864 0.01360755827272442
10 60 -3.25 -3 14.5 15 1026.726078012083 0.009552890924396706
10 60 -3.25 -3 15 16 1831.499860536806 0.01979627129867367
10 60 -3.25 -3 16 17 1577.842475492161 0.02010912121386355
10 60 -3.25 -3 17 18 1366.138765619857 0.04303357736876023
10 60 -3.25 -3 18 19 1188.37294917383 0.05479895288317493
10 60 -3.25 -3 19 20 1038.255708770203 0.007421493106903654
10 60 -3.25 -3 20 21 910.8141813488336 0.006236323999132765
10 60 -3.25 -3 21 22 802.0849896537748 0.005285548796564399
10 60 -3.25 -3 22 23 708.8857934346543 0.004523668974115935
10 60 -3.25 -3 23 24 628.6469808693421 0.003880309529222359
10 60 -3.25 -3 24 25 559.2785186622177 0.003359066615757911
10 60 -3.25 -3 25 26 499.0710930467743 0.00291762656922856
10 60 -3.25 -3 26 27 446.6199470348532 0.002547436512088552
10 60 -3.25 -3 27 28 400.7645770044794 0.002240171812786684
10 60 -3.25 -3 28 29 360.5410328241086 0.001970413845015173
10 60 -3.25 -3 29 30 325.145076972871 0.00174597948483779
10 60 -3.25 -3 30 31 293.9025883691368 0.001549878365722179
10 60 -3.25 -3 31 32 266.2467831731524 0.001383571609437695
10 60 -3.25 -3 32 33 241.6982752758535 0.0012355112818625
10 60 -3.25 -3 33 34 219.8510006941924 0.001109181342513921
10 60 -3.25 -3 34 35 200.3589463280081 0.0009990701915114641
10 60 -3.25 -3 35 36 182.9265460002574 0.0009002745468080775
10 60 -3.25 -3 36 37 167.3005833641196 0.0008151642913674095
10 60 -3.25 -3 37 38 153.2631876922653 0.0007389742000043498
10 60 -3.25 -3 38 39 140.6264057804222 0.0006717619943970021
10 60 -3.25 -3 39 40 129.2276325661867 0.0006124365629318618
10 60 -3.25 -3 40 42 228.5238436443651 0.001069998155145413
10 60 -3.25 -3 42 44 194.587752582312 0.0008985367211380435
10 60 -3.25 -3 44 46 166.5314849911724 0.0007597597376047815
10 60 -3.25 -3 46 48 143.1889953903986 0.000646794013903218
10 60 -3.25 -3 48 50 123.6540994374301 0.0005536458268409206
10 60 -3.25 -3 50 52 107.2163493980689 0.0004764079955776879
10 60 -3.25 -3 52 54 93.31418391937183 0.0004120365841799867
10 60 -3.25 -3 54 56 81.50038793920844 0.000358144509945646
10 60 -3.25 -3 56 58 71.41677823718247 0.0003123600911578706
10 60 -3.25 -3 58 60 62.77403166108102 0.0002735232062391901
10 60 -3.25 -3 60 65 126.573337744391 0.0005489398662064104
10 60 -3.25 -3 65 70 93.82219401189143 0.0004447844938937351
10 60 -3.25 -3 70 80 124.2341232343446 0.0005362588404835833
10 60 -3.25 -3 80 90 73.42236399590797 0.0003182460534532083
10 60 -3.25 -3 90 100 45.01970232894869 0.0002685524940204687
10 60 -3 -2.75 0 0.5 -352520.635600736 8.167948399786837
10 60 -3 -2.75 0.5 1 -7355.051834812523 0.2139363672677064
10 60 -3 -2.75 1 1.5 18681.62652160275 0.8340278126925114
10 60 -3 -2.75 1.5 2 19049.06709706907 0.7128873960027704
10 60 -3 -2.75 2 2.5 16637.67641361785 0.6227681256896176
10 60 -3 -2.75 2.5 3 14176.22920522724 0.5331110897659528
10 60 -3 -2.75 3 3.5 12078.74494693299 0.4421980421739136
