#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -651806.5640145574 9.149796048295684
10 60 -5 -4 0.5 1 50031.6458606203 0.6444493976887316
10 60 -5 -4 1 1.5 78437.75746602059 2.555813810744439
10 60 -5 -4 1.5 2 67167.35178606532 1.998911619724822
10 60 -5 -4 2 2.5 55240.90587662413 1.583683198034123
10 60 -5 -4 2.5 3 45657.94219998478 1.297412626838195
10 60 -5 -4 3 3.5 38186.02240778819 1.338191620197904
10 60 -5 -4 3.5 4 32317.86120124434 0.9034947096297401
10 60 -5 -4 4 4.5 27639.85030380523 0.7433361906078062
10 60 -5 -4 4.5 5 23851.6237986943 1.092067765745014
10 60 -5 -4 5 5.5 20739.57625500641 0.5120888715500769
10 60 -5 -4 5.5 6 18150.08255316653 0.4252221852875664
10 60 -5 -4 6 6.5 15971.49039182484 0.3531555786084937
10 60 -5 -4 6.5 7 14121.08309510346 0.2931346842251514
10 60 -5 -4 7 7.5 12536.46829884216 0.2441823499739257
10 60 -5 -4 7.5 8 11169.88004276566 0.2036814184484683
10 60 -5 -4 8 8.5 9984.071614209257 0.1724033635491651
10 60 -5 -4 8.5 9 8949.674590386256 0.146579262924206
10 60 -5 -4 9 9.5 8043.128109820917 0.1251059226460711
10 60 -5 -4 9.5 10 7245.375166441068 0.1071819796870841
10 60 -5 -4 10 10.5 6540.800326516955 0.09156053984861501
10 60 -5 -4 10.5 11 5916.468249853406 0.07817879334925237
10 60 -5 -4 11 11.5 5361.616883767633 0.06778344711165118
10 60 -5 -4 11.5 12 4867.189868370999 0.2108759013426607
10 60 -5 -4 12 12.5 4425.511826638806 0.1528220158324984
10 60 -5 -4 12.5 13 4030.060206990013 0.1067124288679224
10 60 -5 -4 13 13.5 3675.254569209399 0.07092356655266485
10 60 -5 -4 13.5 14 3356.28660116364 0.0426947375731288
10 60 -5 -4 14 14.5 3069.003334825722 0.0304899635525544
10 60 -5 -4 14.5 15 2809.805794871798 0.02748392409694134
10 60 -5 -4 15 16 4939.114821550831 0.1178546268374703
10 60 -5 -4 16 17 4168.249975001553 0.03625246149749728
10 60 -5 -4 17 18 3532.246010398191 0.03022096051654444
10 60 -5 -4 18 19 3004.762831729092 0.02436867839242041
10 60 -5 -4 19 20 2565.156360978889 0.02015213294816931
10 60 -5 -4 20 21 2197.136864136143 0.01680255942119402
10 60 -5 -4 21 22 1887.769340241427 0.01722634890620611
10 60 -5 -4 22 23 1626.679961485374 0.01511386615834454
10 60 -5 -4 23 24 1405.528309099084 0.009975141443646862
10 60 -5 -4 24 25 1217.56893640583 0.01006380564354004
10 60 -5 -4 25 26 1057.298654876313 0.01363660527067623
10 60 -5 -4 26 27 920.2197750298678 0.01326807287034626
10 60 -5 -4 27 28 802.6449930719003 0.01285644093434257
10 60 -5 -4 28 29 701.5254260236953 0.01349427357376953
10 60 -5 -4 29 30 614.331158681273 0.01314755727298689
10 60 -5 -4 30 31 538.9633827059041 0.01240334033661838
10 60 -5 -4 31 32 473.6691009524618 0.01205056759977197
10 60 -5 -4 32 33 416.9768124084026 0.01150116546148183
10 60 -5 -4 33 34 367.6509884447726 0.01035684639697365
10 60 -5 -4 34 35 324.6498217859719 0.009088718637201509
10 60 -5 -4 35 36 287.0920732431808 0.008751273965742712
10 60 -5 -4 36 37 254.2291704390442 0.008504325380357614
10 60 -5 -4 37 38 225.4244760665482 0.008238918376036963
10 60 -5 -4 38 39 200.1359370845949 0.007751886054791157
10 60 -5 -4 39 40 177.8998912397579 0.007196606468653499
10 60 -5 -4 40 42 299.3665024427128 0.01241799276584743
10 60 -5 -4 42 44 238.109732790908 0.009096805500632854
10 60 -5 -4 44 46 190.1553528450107 0.005576206063977907
10 60 -5 -4 46 48 152.4303740388109 0.00281895772869234
10 60 -5 -4 48 50 122.6164076730004 0.0009871198685544869
10 60 -5 -4 50 52 98.95465596097236 0.001161160399277605
10 60 -5 -4 52 54 80.10074503597208 0.00350865440239545
10 60 -5 -4 54 56 65.02223299700356 0.000345320614272282
10 60 -5 -4 56 58 52.92136416379629 0.0002809614005983008
10 60 -5 -4 58 60 43.17818598813678 0.0002292741343623561
10 60 -5 -4 60 65 76.70820332698912 0.0004042160183246324
10 60 -5 -4 65 70 46.95008022678319 0.0002468826276427194
10 60 -5 -4 70 80 47.14888051879461 0.001059886841957791
10 60 -5 -4 80 90 18.54175512673989 0.0005491399584371948
10 60 -5 -4 90 100 7.415994842950821 0.0002287733823127525
10 60 -4 -3.5 0 0.5 -389390.8049801203 5.392240200191736
10 60 -4 -3.5 0.5 1 23824.93441031887 0.1198902143223677
10 60 -4 -3.5 1 1.5 43670.06183145176 1.526305945444619
10 60 -4 -3.5 1.5 2 38081.04410353379 1.299266101930698
10 60 -4 -3.5 2 2.5 31568.06697363247 1.085323933100881
10 60 -4 -3.5 2.5 3 26224.88451987033 0.8884340425247501
10 60 -4 -3.5 3 3.5 22022.78508947661 0.7151700826434535
10 60 -4 -3.5 3.5 4 18707.92257585435 0.5725667673614225
10 60 -4 -3.5 4 4.5 16058.46593805474 0.461895150860073
10 60 -4 -3.5 4.5 5 13909.41427817883 0.3728661623918015
10 60 -4 -3.5 5 5.5 12141.80657742422 0.3011883467370353
10 60 -4 -3.5 5.5 6 10669.50077919994 0.2420826330780983
10 60 -4 -3.5 6 6.5 9429.696537161068 0.1967015588215872
10 60 -4 -3.5 6.5 7 8375.549979268315 0.1613008491513028
10 60 -4 -3.5 7 7.5 7471.841938555265 0.1340343697802382
10 60 -4 -3.5 7.5 8 6691.481274352313 0.1130158424039109
10 60 -4 -3.5 8 8.5 6013.336384855878 0.09607410753324075
10 60 -4 -3.5 8.5 9 5420.83674817151 0.08206691621853679
10 60 -4 -3.5 9 9.5 4900.562951616802 0.07001688526088401
10 60 -4 -3.5 9.5 10 4441.750503937906 0.05987697488671984
10 60 -4 -3.5 10 10.5 4035.603761686973 0.05126867586068329
10 60 -4 -3.5 10.5 11 3674.760730265267 0.04420581091972053
10 60 -4 -3.5 11 11.5 3353.155331362841 0.1666851002760268
10 60 -4 -3.5 11.5 12 3065.715418125485 0.1296334401422428
