#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -655283.0025199692 10.28082340641413
10 60 -5 -4 0.5 1 38766.14321315024 1.267077478121792
10 60 -5 -4 1 1.5 71696.6485672288 1.943233293379308
10 60 -5 -4 1.5 2 62735.74995185819 1.583386099271593
10 60 -5 -4 2 2.5 52119.02791690245 1.300703300934401
10 60 -5 -4 2.5 3 43352.09685135172 1.688055707876629
10 60 -5 -4 3 3.5 36424.46956101627 0.9630154516853509
10 60 -5 -4 3.5 4 30937.59696813401 0.8187802826869301
10 60 -5 -4 4 4.5 26537.0407083937 1.013158509704226
10 60 -5 -4 4.5 5 22956.94136908579 0.572129845739255
10 60 -5 -4 5 5.5 20004.49369788307 0.4784466363853426
10 60 -5 -4 5.5 6 17540.00826796516 0.3991955721430713
10 60 -5 -4 6 6.5 15460.81917548932 0.3326714400154742
10 60 -5 -4 6.5 7 13690.52519404614 0.2774828129677189
10 60 -5 -4 7 7.5 12171.17974537964 0.2321777489996748
10 60 -5 -4 7.5 8 10858.29144744241 0.1944523846304946
10 60 -5 -4 8 8.5 9716.998306903184 0.165202305848652
10 60 -5 -4 8.5 9 8719.786854934029 0.1407365920495067
10 60 -5 -4 9 9.5 7844.476458793173 0.1204808478623818
10 60 -5 -4 9.5 10 7073.110209515629 0.1033722991805917
10 60 -5 -4 10 10.5 6390.93976894299 0.08850009334037168
10 60 -5 -4 10.5 11 5785.705031331375 0.07565621321191429
10 60 -5 -4 11 11.5 5247.201421822901 0.065745374636208
10 60 -5 -4 11.5 12 4766.821918503798 0.2198476791927533
10 60 -5 -4 12 12.5 4337.250270240117 0.1611502565428964
10 60 -5 -4 12.5 13 3952.267586170417 0.1145279419092731
10 60 -5 -4 13 13.5 3606.542412465903 0.0784803131591616
10 60 -5 -4 13.5 14 3295.469526488117 0.04960300627999459
10 60 -5 -4 14 14.5 3015.069384051117 0.029760372293822
10 60 -5 -4 14.5 15 2761.888486435626 0.02686645043741009
10 60 -5 -4 15 16 4858.446918210577 0.07658270582578552
10 60 -5 -4 16 17 4103.934828079849 0.202478279898969
10 60 -5 -4 17 18 3480.659913481414 0.02964833029955116
10 60 -5 -4 18 19 2963.152667057107 0.02393805332576449
10 60 -5 -4 19 20 2531.420953059255 0.01981533371554178
10 60 -5 -4 20 21 2169.654608827696 0.01760787256716867
10 60 -5 -4 21 22 1865.280253637817 0.01812961500354504
10 60 -5 -4 22 23 1608.201530020449 0.01524932894380981
10 60 -5 -4 23 24 1390.286216910546 0.009838434320045053
10 60 -5 -4 24 25 1204.950133437362 0.009896448729250551
10 60 -5 -4 25 26 1046.81668804355 0.0129923122483433
10 60 -5 -4 26 27 911.4853949142895 0.0130976895660524
10 60 -5 -4 27 28 795.3448784871202 0.01305585964610145
10 60 -5 -4 28 29 695.4069521234719 0.01359200762021828
10 60 -5 -4 29 30 609.1898886297992 0.01324311787959687
10 60 -5 -4 30 31 534.6325644854085 0.01255859694401806
10 60 -5 -4 31 32 470.012352727182 0.01206787166438517
10 60 -5 -4 32 33 413.8824972131133 0.01129876014056208
10 60 -5 -4 33 34 365.0272849001061 0.01010742050243607
10 60 -5 -4 34 35 322.4208787144867 0.00885736489857436
10 60 -5 -4 35 36 285.1950147219582 0.008485364187436062
10 60 -5 -4 36 37 252.6118353811812 0.008253394462030883
10 60 -5 -4 37 38 224.0433808017059 0.008044137612927216
10 60 -5 -4 38 39 198.9547403615375 0.007619263483803707
10 60 -5 -4 39 40 176.8881874185873 0.007078460345667281
10 60 -5 -4 40 42 297.7537599616132 0.01211187049261753
10 60 -5 -4 42 44 236.9178757191123 0.008729140269878144
10 60 -5 -4 44 46 189.2705747334932 0.005249750949360532
10 60 -5 -4 46 48 151.7709453790172 0.002529652312148301
10 60 -5 -4 48 50 122.1232551790297 0.0007851866976409383
10 60 -5 -4 50 52 98.58482284501811 0.001274517050944723
10 60 -5 -4 52 54 79.82269267622382 0.003579570923875508
10 60 -5 -4 54 56 64.81278785265346 0.0003436538421794921
10 60 -5 -4 56 58 52.76342942940818 0.0002797041116906485
10 60 -5 -4 58 60 43.05901646059002 0.0002282913046514068
10 60 -5 -4 60 65 76.52326767186409 0.0004026799636989153
10 60 -5 -4 65 70 46.85965420069073 0.0002460580220216002
10 60 -5 -4 70 80 47.08665469627033 0.001046405764014935
10 60 -5 -4 80 90 18.53218811517248 0.0005470056254885947
