#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -653982.0235421256 24.44804142601788
10 60 -5 -4 0.5 1 10117.9541450324 0.2389085868799157
10 60 -5 -4 1 1.5 56309.13335874299 1.050560256888275
10 60 -5 -4 1.5 2 53467.99310602566 0.489608877862338
10 60 -5 -4 2 2.5 46146.79577030491 1.806729214928055
10 60 -5 -4 2.5 3 39347.90480048102 0.5893757554222248
10 60 -5 -4 3 3.5 33678.33184712863 0.5856565311332815
10 60 -5 -4 3.5 4 29034.98386630417 0.937373777047469
10 60 -5 -4 4 4.5 25219.70499628728 0.4861784956628981
10 60 -5 -4 4.5 5 22056.01631730268 0.4258630432486825
10 60 -5 -4 5 5.5 19405.44714731787 0.3701481578173116
10 60 -5 -4 5.5 6 17162.75011048 0.3197155989109888
10 60 -5 -4 6 6.5 15247.93337370275 0.2732781917475222
10 60 -5 -4 6.5 7 13600.09389075778 0.2342689094148227
10 60 -5 -4 7 7.5 12172.06459725239 0.2012897847434942
10 60 -5 -4 7.5 8 10927.10676066511 0.173642015823134
10 60 -5 -4 8 8.5 9835.956554584205 0.1521408593362139
10 60 -5 -4 8.5 9 8875.30082473921 0.1331142959443241
10 60 -5 -4 9 9.5 8026.070045569997 0.1160649143666888
10 60 -5 -4 9.5 10 7272.690774864585 0.101346709567224
10 60 -5 -4 10 10.5 6602.24925987478 0.08842554826333071
10 60 -5 -4 10.5 11 6003.890641274901 0.07722924348672677
10 60 -5 -4 11 11.5 5468.513711586444 0.06916404767707718
10 60 -5 -4 11.5 12 4988.376566011914 0.06138078849744488
10 60 -5 -4 12 12.5 4556.837377211481 0.2214691560093343
10 60 -5 -4 12.5 13 4168.215156683902 0.1678011964568213
10 60 -5 -4 13 13.5 3817.602388645758 0.1256066706441743
10 60 -5 -4 13.5 14 3500.726850671634 0.09094847905407732
10 60 -5 -4 14 14.5 3213.875345901124 0.06323102109809042
10 60 -5 -4 14.5 15 2953.806382822106 0.04095712072330571
10 60 -5 -4 15 16 5220.654997634758 0.1315616479978416
10 60 -5 -4 16 17 4436.839619471644 0.0453606062083054
10 60 -5 -4 17 18 3784.791900571902 0.1492140635837131
10 60 -5 -4 18 19 3239.791258020599 0.03095589687882239
10 60 -5 -4 19 20 2782.274229728143 0.02605062443626593
10 60 -5 -4 20 21 2396.623044732369 0.02282776476249637
10 60 -5 -4 21 22 2070.314121643913 0.02300300219212659
10 60 -5 -4 22 23 1793.226010812539 0.01666332094396239
10 60 -5 -4 23 24 1557.138105344694 0.01377825664053489
10 60 -5 -4 24 25 1355.347918435975 0.01136754325261791
10 60 -5 -4 25 26 1182.358124014783 0.01004111821248443
10 60 -5 -4 26 27 1033.635776367535 0.01209053445563768
10 60 -5 -4 27 28 905.4367706112208 0.014082589186728
10 60 -5 -4 28 29 794.6501815556537 0.01452714221068163
10 60 -5 -4 29 30 698.6796695033719 0.01494328734327155
10 60 -5 -4 30 31 615.35473151439 0.01526392196683446
10 60 -5 -4 31 32 542.8527350498057 0.01418972868282253
10 60 -5 -4 32 33 479.6380960396054 0.01227155271146785
10 60 -5 -4 33 34 424.4139112108812 0.01086120744747632
10 60 -5 -4 34 35 376.0803453713398 0.009814084498714237
10 60 -5 -4 35 36 333.7027188339242 0.00939641647909184
10 60 -5 -4 36 37 296.4840880642947 0.009271209147698301
10 60 -5 -4 37 38 263.7424947470067 0.009448804511862363
10 60 -5 -4 38 39 234.8949304414167 0.009465890864447601
10 60 -5 -4 39 40 209.4413807652228 0.00923994427611774
10 60 -5 -4 40 42 354.0006583847782 0.01588122063088804
10 60 -5 -4 42 44 283.1995196910672 0.01190060187701647
10 60 -5 -4 44 46 227.4248428281927 0.008167402705794302
10 60 -5 -4 46 48 183.2831079261557 0.004723288996871133
10 60 -5 -4 48 50 148.1964259203818 0.002772201640567573
10 60 -5 -4 50 52 120.1957850512143 0.000866890187609215
10 60 -5 -4 52 54 97.76476923258956 0.002248428459324714
10 60 -5 -4 54 56 79.7325837714862 0.0005674884670412439
10 60 -5 -4 56 58 65.18913668614927 0.0004636073943515839
10 60 -5 -4 58 60 53.42258646145332 0.0003795811486924094
10 60 -5 -4 60 65 95.58243722259616 0.0006740064752221997
