#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -1174953.967685616 13.61517190374434
10 60 -5 -4 0.5 1 -40171.55833192112 1.864284961644444
10 60 -5 -4 1 1.5 53082.26835011176 1.788027975366276
10 60 -5 -4 1.5 2 58053.1250006077 1.759332516419818
10 60 -5 -4 2 2.5 52098.26020788086 1.558198675535095
10 60 -5 -4 2.5 3 45116.65163399847 1.388312626069819
10 60 -5 -4 3 3.5 38874.12022131382 1.838071176811354
10 60 -5 -4 3.5 4 33600.70499617686 1.073209063026297
10 60 -5 -4 4 4.5 29198.44322846056 0.9108849420736078
10 60 -5 -4 4.5 5 25516.73050780829 0.9746118011389626
10 60 -5 -4 5 5.5 22418.51281971623 0.6526494625722989
10 60 -5 -4 5.5 6 19791.39395258668 0.5500600542000029
10 60 -5 -4 6 6.5 17546.95951324305 0.4625824986069347
10 60 -5 -4 6.5 7 15616.05317897504 0.3890096990962775
10 60 -5 -4 7 7.5 13944.27904398826 0.3279411030598567
10 60 -5 -4 7.5 8 12488.76498081328 0.2765224406866764
10 60 -5 -4 8 8.5 11215.1404466647 0.2362107714143349
10 60 -5 -4 8.5 9 10095.84138361545 0.202135336048741
10 60 -5 -4 9 9.5 9108.275621744988 0.1736555317038437
10 60 -5 -4 9.5 10 8233.939629009645 0.1495231435001187
10 60 -5 -4 10 10.5 7457.462625690655 0.1285652986789501
10 60 -5 -4 10.5 11 6765.926440599038 0.1104299321214057
10 60 -5 -4 11 11.5 6148.496398969572 0.09632819570470019
10 60 -5 -4 11.5 12 5595.955436892916 0.08402427079454355
10 60 -5 -4 12 12.5 5100.405017623198 0.2277873436896698
10 60 -5 -4 12.5 13 4655.092010147563 0.1676085961371427
10 60 -5 -4 13 13.5 4254.190800205561 0.120745731097486
10 60 -5 -4 13.5 14 3892.636782277862 0.08278964087821805
10 60 -5 -4 14 14.5 3566.031776525982 0.05285609578140793
10 60 -5 -4 14.5 15 3270.540791692757 0.03987454559728576
10 60 -5 -4 15 16 5762.693382565843 0.06934760905187431
10 60 -5 -4 16 17 4877.554137982529 0.1534404638914566
10 60 -5 -4 17 18 4144.188508615704 0.04430888778279041
10 60 -5 -4 18 19 3533.664917165617 0.0358568857454884
10 60 -5 -4 19 20 3023.138255167416 0.02971281593636377
10 60 -5 -4 20 21 2594.448064220109 0.02480727455349552
10 60 -5 -4 21 22 2233.088806030133 0.02163155685457241
10 60 -5 -4 22 23 1927.361407642545 0.01761110862526039
10 60 -5 -4 23 24 1667.809899582436 0.01478891953047423
10 60 -5 -4 24 25 1446.754924592738 0.01212616707198322
10 60 -5 -4 25 26 1257.905274403068 0.01482220460684402
10 60 -5 -4 26 27 1096.098369053227 0.01515848880353587
10 60 -5 -4 27 28 957.088832891459 0.01524918690427057
10 60 -5 -4 28 29 837.3553773733443 0.01612768365612283
10 60 -5 -4 29 30 733.9669586221115 0.01583739209661417
10 60 -5 -4 30 31 644.4857882850608 0.01509947796955657
10 60 -5 -4 31 32 566.8710436256522 0.01456692257124814
10 60 -5 -4 32 33 499.4056719610944 0.01361186652962942
10 60 -5 -4 33 34 440.6450078321751 0.01210292462468487
10 60 -5 -4 34 35 389.3684111825391 0.01052358947629273
10 60 -5 -4 35 36 344.5415468237063 0.01015169852939835
10 60 -5 -4 36 37 305.2842689253505 0.009971003810562706
10 60 -5 -4 37 38 270.8467083065472 0.009834607359380243
10 60 -5 -4 38 39 240.5896576018102 0.009405058137161859
10 60 -5 -4 39 40 213.9656732019838 0.008811301569778607
10 60 -5 -4 40 42 360.3025029444464 0.01521767569528265
10 60 -5 -4 42 44 286.8192663806209 0.01104936803812961
10 60 -5 -4 44 46 229.2282372012707 0.006768682753374833
10 60 -5 -4 46 48 183.8762800349338 0.003470233813686718
10 60 -5 -4 48 50 148.0019664222181 0.001458098250623152
10 60 -5 -4 50 52 119.5071275316468 0.001052538261973268
10 60 -5 -4 52 54 96.78517271792896 0.003959953253499293
10 60 -5 -4 54 56 78.60092495932898 0.0005231037615658352
10 60 -5 -4 56 58 63.99881381035455 0.0004255881601054057
10 60 -5 -4 58 60 52.2351858540754 0.0003472828180335341
10 60 -5 -4 60 65 92.8471270364591 0.000612858528896254
10 60 -5 -4 65 70 56.86499113632994 0.0003744794099063142
10 60 -5 -4 70 80 57.14265630929597 0.001257324527529136
10 60 -5 -4 80 90 22.4847256684577 0.0006706438320804864
10 60 -5 -4 90 100 8.994672858992761 0.000275419600502147
10 60 -4 -3.5 0 0.5 -695803.9236458304 20.25094629684463
10 60 -4 -3.5 0.5 1 -27454.49441166334 0.1659579376246256
10 60 -4 -3.5 1 1.5 29890.12339409263 1.293964679221972
