#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -355211.7026482151 13.53593131451635
10 60 -5 -4 0.5 1 50436.29825692966 1.492223665918573
10 60 -5 -4 1 1.5 62134.443840388 3.083467564858438
10 60 -5 -4 1.5 2 52118.57804810881 1.101561314746505
10 60 -5 -4 2 2.5 42801.15969442783 0.2757673765299842
10 60 -5 -4 2.5 3 35503.47892959425 0.7440590028927545
10 60 -5 -4 3 3.5 29851.78760489839 1.284320155536989
10 60 -5 -4 3.5 4 25414.27126269284 0.3453340704072616
10 60 -5 -4 4 4.5 21867.07393514321 0.3145178793347441
10 60 -5 -4 4.5 5 18982.92526088463 0.276535320423136
10 60 -5 -4 5 5.5 16601.99829408191 0.2405881873601174
10 60 -5 -4 5.5 6 14610.64988460115 0.2077991083351662
10 60 -5 -4 6 6.5 12926.30696484943 0.177459566592006
10 60 -5 -4 6.5 7 11488.01714054925 0.1521285793478455
10 60 -5 -4 7 7.5 10249.73943889889 0.1307746729762584
10 60 -5 -4 7.5 8 9176.253580894976 0.1129010892345832
10 60 -5 -4 8 8.5 8239.976466307917 0.09915566374729679
10 60 -5 -4 8.5 9 7419.183135421445 0.08694732480034872
10 60 -5 -4 9 9.5 6696.331614934543 0.07598233774842811
10 60 -5 -4 9.5 10 6057.219711276359 0.06645605468656868
10 60 -5 -4 10 10.5 5490.172623151495 0.05798824382418388
10 60 -5 -4 10.5 11 4985.462096366161 0.05060878685890202
10 60 -5 -4 11 11.5 4534.978992613534 0.04539780553386663
10 60 -5 -4 11.5 12 4131.870625348805 0.04033410846932384
10 60 -5 -4 12 12.5 3770.295907589318 0.1645266554969567
10 60 -5 -4 12.5 13 3445.280376115176 0.122872232723239
10 60 -5 -4 13 13.5 3152.547458080524 0.09020238225411958
10 60 -5 -4 13.5 14 2888.392732571297 0.06353094626911115
10 60 -5 -4 14 14.5 2649.608292865581 0.04230425476453092
10 60 -5 -4 14.5 15 2433.403500526979 0.0253471972537227
10 60 -5 -4 15 16 4296.610178056911 0.05462710095525836
10 60 -5 -4 16 17 3647.162015978908 0.07695288081458784
10 60 -5 -4 17 18 3107.91385973245 0.1522785828865381
10 60 -5 -4 18 19 2657.936331214743 0.02067589288753879
10 60 -5 -4 19 20 2280.733047023386 0.01742530991714375
10 60 -5 -4 20 21 1963.183606227172 0.01860516189572081
10 60 -5 -4 21 22 1694.798330185154 0.01863122612257939
10 60 -5 -4 22 23 1467.123658378591 0.01403917870220539
10 60 -5 -4 23 24 1273.310456590341 0.009287002939572631
10 60 -5 -4 24 25 1107.785720748756 0.007705287306407627
10 60 -5 -4 25 26 965.9870867985243 0.00864007685481738
10 60 -5 -4 26 27 844.1594953446794 0.01050550429624764
10 60 -5 -4 27 28 739.205433838262 0.01184777332196063
10 60 -5 -4 28 29 648.5547720356105 0.01208646357315502
10 60 -5 -4 29 30 570.0654439327991 0.01228327716512467
10 60 -5 -4 30 31 501.9484802386448 0.01239488301956726
10 60 -5 -4 31 32 442.7031379904647 0.01153111832127252
10 60 -5 -4 32 33 391.0661971222738 0.0100904732246363
10 60 -5 -4 33 34 345.9715838271554 0.009006206933008798
10 60 -5 -4 34 35 306.5159823386247 0.008174127906727335
10 60 -5 -4 35 36 271.9322253609325 0.007798487288255274
10 60 -5 -4 36 37 241.5666432592226 0.007635752326763168
10 60 -5 -4 37 38 214.8603186057734 0.007682433442255387
10 60 -5 -4 38 39 191.3355831497877 0.00760704706513593
10 60 -5 -4 39 40 170.5828809395962 0.007351922160324875
10 60 -5 -4 40 42 288.2792363759448 0.01257445929468304
10 60 -5 -4 42 44 230.5835111379095 0.009396687074115562
10 60 -5 -4 44 46 185.1461849464038 0.006386214843900007
10 60 -5 -4 46 48 149.1946233320517 0.003614166213054659
10 60 -5 -4 48 50 120.6239803047318 0.001941132183063132
10 60 -5 -4 50 52 97.8272676947069 0.0005786663209619292
10 60 -5 -4 52 54 79.56773407559038 0.002105245464804284
10 60 -5 -4 54 56 64.89072170030597 0.0003781380006984136
10 60 -5 -4 56 58 53.054386386825 0.0003088299410478612
10 60 -5 -4 58 60 43.47877414061872 0.000252746049213215
10 60 -5 -4 60 65 77.79560310464805 0.0004481506465197072
10 60 -5 -4 65 70 48.11041816890194 0.0002753468998548669
