#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -1042484.976705267 11.94354045472573
10 60 -5 -4 0.5 1 5839.374586880999 0.2886067660820117
10 60 -5 -4 1 1.5 71421.87921066975 2.320010202442063
10 60 -5 -4 1.5 2 67306.88033788789 2.109676775842672
10 60 -5 -4 2 2.5 57229.34120110611 1.768453305332514
10 60 -5 -4 2.5 3 48062.80141279914 1.496060539859172
10 60 -5 -4 3 3.5 40552.42165005807 1.261386063742975
10 60 -5 -4 3.5 4 34499.17227778156 1.079108419398835
10 60 -5 -4 4 4.5 29599.28003155899 0.8977328615692386
10 60 -5 -4 4.5 5 25592.38685791026 0.8685504129680339
10 60 -5 -4 5 5.5 22279.36106893679 0.6313162220176309
10 60 -5 -4 5.5 6 19510.30517460257 0.526446822732396
10 60 -5 -4 6 6.5 17173.36853408809 0.4396964286606817
10 60 -5 -4 6.5 7 15184.08954304226 0.3661144356428849
10 60 -5 -4 7 7.5 13477.86850724879 0.3052473358657153
10 60 -5 -4 7.5 8 12004.78526513382 0.2539617692546017
10 60 -5 -4 8 8.5 10725.60277599177 0.2148505840214057
10 60 -5 -4 8.5 9 9609.199383524252 0.1824443866335059
10 60 -5 -4 9 9.5 8630.516915849959 0.156097013510589
10 60 -5 -4 9.5 10 7769.184937332734 0.1339531402909415
10 60 -5 -4 10 10.5 7008.482846608721 0.1144918279305784
10 60 -5 -4 10.5 11 6334.517544342829 0.09765430282641319
10 60 -5 -4 11 11.5 5735.703463764576 0.08424817667037132
10 60 -5 -4 11.5 12 5202.282311483433 0.2249466552048034
10 60 -5 -4 12 12.5 4725.969442676002 0.1615167166946776
10 60 -5 -4 12.5 13 4299.709838965672 0.1108858576508283
10 60 -5 -4 13 13.5 3917.467861202628 0.07155374634839973
10 60 -5 -4 13.5 14 3574.039684081745 0.04292498878930928
10 60 -5 -4 14 14.5 3264.922190274843 0.03772618014545515
10 60 -5 -4 14.5 15 2986.211092722166 0.03376799049874535
10 60 -5 -4 15 16 5241.390351354065 0.1656340914023531
10 60 -5 -4 16 17 4414.318101634303 0.04450849914246646
10 60 -5 -4 17 18 3733.034968267815 0.03661618034357161
10 60 -5 -4 18 19 3168.965493460808 0.02949302038268797
10 60 -5 -4 19 20 2699.688500458186 0.02427820880302534
10 60 -5 -4 20 21 2307.539698805745 0.02009559913403791
10 60 -5 -4 21 22 1978.502496634574 0.01839250595412523
10 60 -5 -4 22 23 1701.327030912837 0.01748308374180851
10 60 -5 -4 23 24 1466.993786979614 0.01174718926768037
10 60 -5 -4 24 25 1268.216359740484 0.0114574035469559
10 60 -5 -4 25 26 1099.042528832492 0.01772978245526247
10 60 -5 -4 26 27 954.6235674232285 0.01451441503832029
10 60 -5 -4 27 28 830.9938516144065 0.01301014361263242
10 60 -5 -4 28 29 724.8707793376874 0.01491379682613569
10 60 -5 -4 29 30 633.5341493705614 0.01399173507252272
10 60 -5 -4 30 31 554.7363396276147 0.01229361948253427
10 60 -5 -4 31 32 486.6013193847331 0.01262435946154028
10 60 -5 -4 32 33 427.5529807019427 0.01274433417097498
10 60 -5 -4 33 34 376.2723281823227 0.01098923874633329
10 60 -5 -4 34 35 331.6502558949007 0.009089429766731882
10 60 -5 -4 35 36 292.7490713349644 0.008865105107986437
10 60 -5 -4 36 37 258.7720965738418 0.008582414468037314
10 60 -5 -4 37 38 229.0444994906997 0.008063086630158978
10 60 -5 -4 38 39 202.9929504712009 0.007398442081381518
10 60 -5 -4 39 40 180.1267996004164 0.006850357569362586
10 60 -5 -4 40 42 302.352899210006 0.01197138867638614
10 60 -5 -4 42 44 239.6802513286985 0.008148262005221341
10 60 -5 -4 44 46 190.7837618682958 0.004116998870586031
10 60 -5 -4 46 48 152.4457979526147 0.001640822090706706
10 60 -5 -4 48 50 122.2458149392525 0.00072089549530574
10 60 -5 -4 50 52 98.35391722766897 0.002395527797474983
10 60 -5 -4 52 54 79.37604457422603 0.0004598513280171801
10 60 -5 -4 54 56 64.24502864485143 0.0003683347787557523
10 60 -5 -4 56 58 52.13836503834651 0.0002981287280547917
10 60 -5 -4 58 60 42.41921572742625 0.0002420840972661154
10 60 -5 -4 60 65 75.01509622307863 0.0004235666314258424
10 60 -5 -4 65 70 45.60743603784417 0.000255908418580475
10 60 -5 -4 70 80 45.39573163198056 0.001184598871901699
10 60 -5 -4 80 90 17.63358845385904 0.0005662622417403895
10 60 -5 -4 90 100 6.969817046387119 0.0002288709241415887
10 60 -4 -3.5 0 0.5 -629111.232222488 7.568121446995065
10 60 -4 -3.5 0.5 1 -3803.615358398699 0.1431526087012571
10 60 -4 -3.5 1 1.5 39354.87646458461 1.26833288812486
10 60 -4 -3.5 1.5 2 38248.83319119733 1.376578048766532
10 60 -4 -3.5 2 2.5 32889.98496828078 1.267728611921484
10 60 -4 -3.5 2.5 3 27803.07948250477 1.084752869348449
