#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -474596.4866400898 18.72591288428521
10 60 -5 -4 0.5 1 68776.58330658196 0.3038355570606655
10 60 -5 -4 1 1.5 77215.5963418896 2.815813426946988
10 60 -5 -4 1.5 2 62307.83440284446 1.975125233017025
10 60 -5 -4 2 2.5 49798.13241731452 1.456069286854472
10 60 -5 -4 2.5 3 40442.2933876496 1.43223428913916
10 60 -5 -4 3 3.5 33422.81028306354 0.8957811689688242
10 60 -5 -4 3.5 4 28047.20961403801 0.715414157431951
10 60 -5 -4 4 4.5 23839.49325104676 0.7836731680035882
10 60 -5 -4 4.5 5 20479.53025123856 0.4729361658937705
10 60 -5 -4 5 5.5 17749.45846211936 0.3912891369291174
10 60 -5 -4 5.5 6 15497.81016798035 0.3248994725399825
10 60 -5 -4 6 6.5 13616.86904046884 0.2695127949245943
10 60 -5 -4 6.5 7 12028.36299148351 0.2230250280736072
10 60 -5 -4 7 7.5 10674.2347376258 0.1851809525269346
10 60 -5 -4 7.5 8 9510.609864249785 0.1541219687969715
10 60 -5 -4 8 8.5 8503.747631902577 0.1302307113965071
10 60 -5 -4 8.5 9 7627.289414628583 0.1109353485808242
10 60 -5 -4 9 9.5 6860.340974204443 0.09469532007642556
10 60 -5 -4 9.5 10 6186.131274351782 0.08138337333912204
10 60 -5 -4 10 10.5 5591.029667804616 0.06965848408162856
10 60 -5 -4 10.5 11 5063.842519262725 0.05954924851357646
10 60 -5 -4 11 11.5 4595.300157871689 0.05164048811275279
10 60 -5 -4 11.5 12 4177.650065126678 0.1780704312714079
10 60 -5 -4 12 12.5 3804.362143771744 0.1321973871699811
10 60 -5 -4 12.5 13 3469.902007745837 0.09531409302144311
10 60 -5 -4 13 13.5 3169.553064497098 0.06614209573172047
10 60 -5 -4 13.5 14 2899.267942208257 0.04309860061857762
10 60 -5 -4 14 14.5 2655.557059806853 0.0248946567726307
10 60 -5 -4 14.5 15 2435.402296082473 0.02133773064542765
10 60 -5 -4 15 16 4291.805557201139 0.04196901092745975
10 60 -5 -4 16 17 3634.397420901394 0.1472458160255883
10 60 -5 -4 17 18 3090.380918414889 0.02387505160731962
10 60 -5 -4 18 19 2637.785130373753 0.01933783537060663
10 60 -5 -4 19 20 2259.389198064318 0.01612657633449999
10 60 -5 -4 20 21 1941.592173337272 0.01355592066283862
