#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -477743.4250224553 17.14630401646718
10 60 -5 -4 0.5 1 72575.10878268417 0.4516346675081877
10 60 -5 -4 1 1.5 79785.64280562253 2.989354639765224
10 60 -5 -4 1.5 2 64092.99099994927 2.094507479945605
10 60 -5 -4 2 2.5 51103.59878907169 1.539809712630813
10 60 -5 -4 2.5 3 41435.2415142879 1.768462086489308
10 60 -5 -4 3 3.5 34200.56838874402 0.9390000388812041
10 60 -5 -4 3.5 4 28670.20742001152 0.7468876554266899
10 60 -5 -4 4 4.5 24347.33456604348 0.6239378893587855
10 60 -5 -4 4.5 5 20899.26238099224 1.029913727365056
10 60 -5 -4 5 5.5 18100.37604532383 0.4055997806390224
10 60 -5 -4 5.5 6 15793.90853830622 0.3361873281464796
10 60 -5 -4 6 6.5 13868.66495815497 0.2785246335806733
10 60 -5 -4 6.5 7 12243.90074511256 0.2301495370938937
10 60 -5 -4 7 7.5 10859.78554790804 0.1908475868185633
10 60 -5 -4 7.5 8 9671.133552352956 0.1586231510282232
10 60 -5 -4 8 8.5 8643.226105646707 0.1338529685890535
10 60 -5 -4 8.5 9 7748.948816023143 0.1138804700776745
10 60 -5 -4 9 9.5 6966.827805761637 0.09707366709153575
10 60 -5 -4 9.5 10 6279.631703577991 0.08332391603653377
10 60 -5 -4 10 10.5 5673.363210139497 0.07123386675084475
10 60 -5 -4 10.5 11 5136.535697020959 0.06083922637117212
10 60 -5 -4 11 11.5 4659.639351710905 0.05269837475316308
10 60 -5 -4 11.5 12 4234.725200709871 0.1761524842495419
10 60 -5 -4 12 12.5 3855.102075896078 0.1300969119047295
10 60 -5 -4 12.5 13 3515.100498724072 0.09309698238894271
10 60 -5 -4 13 13.5 3209.891433422171 0.0638453452675094
10 60 -5 -4 13.5 14 2935.33355598624 0.04084305229889651
10 60 -5 -4 14 14.5 2687.857285371666 0.02386370581461961
10 60 -5 -4 14.5 15 2464.376729857533 0.02161181167775794
10 60 -5 -4 15 16 4341.2578873308 0.05768958296266646
10 60 -5 -4 16 17 3674.53873534825 0.1610212975001559
10 60 -5 -4 17 18 3123.135381631887 0.02406375815462525
10 60 -5 -4 18 19 2664.64211930699 0.01945644157922288
10 60 -5 -4 19 20 2281.508513111862 0.0162029365133094
10 60 -5 -4 20 21 1959.884759634156 0.01360239659652507
10 60 -5 -4 21 22 1688.763102842943 0.01302764184561056
10 60 -5 -4 22 23 1459.308978929733 0.01344740158810964
10 60 -5 -4 23 24 1264.408884499205 0.01147244537105507
10 60 -5 -4 24 25 1098.296890023999 0.01217106269791657
10 60 -5 -4 25 26 956.2630955104535 0.01405116933631234
10 60 -5 -4 26 27 834.4495422113362 0.01296554051771182
10 60 -5 -4 27 28 729.684873728814 0.01189288534192201
10 60 -5 -4 28 29 639.3419401305787 0.01166866172991377
10 60 -5 -4 29 30 561.2364361097292 0.01103247338403435
10 60 -5 -4 30 31 493.5508197019496 0.01040420830474886
10 60 -5 -4 31 32 434.7632783016682 0.01018770417420001
10 60 -5 -4 32 33 383.5938606875443 0.009997204965713991
10 60 -5 -4 33 34 338.9649714818302 0.009266125962028582
10 60 -5 -4 34 35 299.965290232663 0.008255295566584664
10 60 -5 -4 35 36 265.8223899870183 0.007762464578831896
10 60 -5 -4 36 37 235.8789526756444 0.007230502126532201
10 60 -5 -4 37 38 209.5744316407321 0.006746201027908683
10 60 -5 -4 38 39 186.4300006319642 0.006141904730100123
10 60 -5 -4 39 40 166.0352112782138 0.005524839050082164
10 60 -5 -4 40 42 280.1675502125242 0.009387584715511821
10 60 -5 -4 42 44 223.6402783470079 0.007031892092982162
10 60 -5 -4 44 46 179.2146285244914 0.004367269971112364
10 60 -5 -4 46 48 144.1338108123213 0.002154545079321224
10 60 -5 -4 48 50 116.3091842696159 0.0006064268313821231
10 60 -5 -4 50 52 94.14939819726391 0.001212174126990817
10 60 -5 -4 52 54 76.43354947248848 0.002829636082381626
10 60 -5 -4 54 56 62.21977224617491 0.0003204892224459854
10 60 -5 -4 56 58 50.77753771667125 0.0002620514445084154
10 60 -5 -4 58 60 41.53736338331124 0.0002150079099862978
10 60 -5 -4 60 65 74.09894631416012 0.0003817302242197229
10 60 -5 -4 65 70 45.61952007156295 0.0002358041573629066
10 60 -5 -4 70 80 46.15470578077608 0.0008833722424768098
10 60 -5 -4 80 90 18.32886594783014 0.0004779629811082486
10 60 -5 -4 90 100 7.395066401971867 0.0002133363942427025
10 60 -4 -3.5 0 0.5 -318478.4028996154 4.907437851827126
10 60 -4 -3.5 0.5 1 29621.95938293316 0.5360424842547218
10 60 -4 -3.5 1 1.5 42127.62093445542 1.462703613389749
10 60 -4 -3.5 1.5 2 35442.30902439161 1.152773493522545
10 60 -4 -3.5 2 2.5 28899.65673626428 0.9391169509290194
10 60 -4 -3.5 2.5 3 23772.13851033328 0.7569728154558106
10 60 -4 -3.5 3 3.5 19832.2279428608 0.6029263537529914
10 60 -4 -3.5 3.5 4 16769.89662460817 0.4787589678489894
10 60 -4 -3.5 4 4.5 14347.98414983635 0.3834807644579996
10 60 -4 -3.5 4.5 5 12399.13860336491 0.308005280821817
10 60 -4 -3.5 5 5.5 10806.1625192369 0.2474345016635198
10 60 -4 -3.5 5.5 6 9485.8952606399 0.1975896637068217
10 60 -4 -3.5 6 6.5 8378.513320729169 0.159250486509336
10 60 -4 -3.5 6.5 7 7439.944091745129 0.1298124210306923
10 60 -4 -3.5 7 7.5 6637.330334137049 0.107511248857918
10 60 -4 -3.5 7.5 8 5945.618546733984 0.09074759898248885
10 60 -4 -3.5 8 8.5 5345.409185272344 0.07728492640217155
10 60 -4 -3.5 8.5 9 4821.566710309848 0.0661975624761908
10 60 -4 -3.5 9 9.5 4361.932823327106 0.05664717704530631
10 60 -4 -3.5 9.5 10 3956.787550522864 0.04841788944349901
10 60 -4 -3.5 10 10.5 3598.220735229183 0.04157700192945413
10 60 -4 -3.5 10.5 11 3279.659422876604 0.03582974274013395
10 60 -4 -3.5 11 11.5 2995.694301183032 0.146069853523386
10 60 -4 -3.5 11.5 12 2741.810815441441 0.1144314446410135
10 60 -4 -3.5 12 12.5 2514.161607449498 0.08828626500508108
10 60 -4 -3.5 12.5 13 2309.493247977419 0.06625164455954291
10 60 -4 -3.5 13 13.5 2125.052287101421 0.04903529199555123
10 60 -4 -3.5 13.5 14 1958.464896040023 0.03621344140742622
10 60 -4 -3.5 14 14.5 1807.669334444529 0.02537864949999857
10 60 -4 -3.5 14.5 15 1670.892000030834 0.01643225576958685
10 60 -4 -3.5 15 16 2980.050071742825 0.05507610020458742
10 60 -4 -3.5 16 17 2566.261667936559 0.01842528571251023
10 60 -4 -3.5 17 18 2220.496931833465 0.05284554291483801
10 60 -4 -3.5 18 19 1929.829873356743 0.07405097078594736
10 60 -4 -3.5 19 20 1684.097497515258 0.01046927103129747
10 60 -4 -3.5 20 21 1475.274992117784 0.008937442734122669
10 60 -4 -3.5 21 22 1296.957963639307 0.007570145453200894
10 60 -4 -3.5 22 23 1143.998209987774 0.006500100601215308
10 60 -4 -3.5 23 24 1012.234146182835 0.005607547643307953
10 60 -4 -3.5 24 25 898.2750694269837 0.00487878746662318
10 60 -4 -3.5 25 26 799.3458011722154 0.006374888241907684
10 60 -4 -3.5 26 27 713.1610528970915 0.007548301805741175
10 60 -4 -3.5 27 28 637.8278509503822 0.007718364927541188
10 60 -4 -3.5 28 29 571.7722957962383 0.008321489166746687
10 60 -4 -3.5 29 30 513.6790538050283 0.00895236075871253
10 60 -4 -3.5 30 31 462.4437207424183 0.009396464093583745
10 60 -4 -3.5 31 32 417.1357866666668 0.0101832540121336
10 60 -4 -3.5 32 33 376.9675303211918 0.01076271741271739
10 60 -4 -3.5 33 34 341.2697225640571 0.01075475690561234
10 60 -4 -3.5 34 35 309.4714322968265 0.01067360145782459
10 60 -4 -3.5 35 36 281.0844615496497 0.01067958959799853
10 60 -4 -3.5 36 37 255.6903722839334 0.01066998126910335
10 60 -4 -3.5 37 38 232.9284845925968 0.01070346342009998
10 60 -4 -3.5 38 39 212.4867450297837 0.0009788395094005864
10 60 -4 -3.5 39 40 194.0953420783765 0.0008890476499345823
