#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -475020.2228019665 16.98434722522506
10 60 -5 -4 0.5 1 70307.67979079025 0.366271740567754
10 60 -5 -4 1 1.5 78190.46948020629 2.88728631696722
10 60 -5 -4 1.5 2 62967.3692673203 2.02259238827537
10 60 -5 -4 2 2.5 50272.0421069587 1.488204335371847
10 60 -5 -4 2.5 3 40797.87768696149 1.499181501763815
10 60 -5 -4 3 3.5 33698.18503357631 0.9107512982809567
10 60 -5 -4 3.5 4 28265.61654883988 0.7257111190810974
10 60 -5 -4 4 4.5 24015.95908621905 0.756830295544205
10 60 -5 -4 4.5 5 20624.21811604692 0.4784054196315992
10 60 -5 -4 5 5.5 17869.51433896298 0.3953967824236315
10 60 -5 -4 5.5 6 15598.40682783727 0.3279988341946591
10 60 -5 -4 6 6.5 13701.85434804185 0.2718663499745162
10 60 -5 -4 6.5 7 12100.65890106146 0.2247538159663236
10 60 -5 -4 7 7.5 10736.10458353091 0.1864272514594632
10 60 -5 -4 7.5 8 9563.831755342839 0.1549957568404352
10 60 -5 -4 8 8.5 8549.741156524078 0.1308464271332923
10 60 -5 -4 8.5 9 7667.197290374824 0.1113733505135315
10 60 -5 -4 9 9.5 6895.095833851811 0.09498242263998691
10 60 -5 -4 9.5 10 6216.499134253421 0.08156572014922858
10 60 -5 -4 10 10.5 5617.644490331239 0.06975163974129828
10 60 -5 -4 10.5 11 5087.233715278947 0.05957976883655647
10 60 -5 -4 11 11.5 4615.911442146515 0.05162477067551663
10 60 -5 -4 11.5 12 4195.855456686459 0.177086835661612
10 60 -5 -4 12 12.5 3820.479021453786 0.1312142768465492
10 60 -5 -4 12.5 13 3484.200226932924 0.09433970193504138
10 60 -5 -4 13 13.5 3182.263144478581 0.06517249865373742
10 60 -5 -4 13.5 14 2910.587797735658 0.04217847947029441
10 60 -5 -4 14 14.5 2665.656870394159 0.0240251138311578
10 60 -5 -4 14.5 15 2444.428841195156 0.02122788530550679
10 60 -5 -4 15 16 4307.130847562589 0.04792328870280471
10 60 -5 -4 16 17 3646.752036493604 0.1523092451529919
10 60 -5 -4 17 18 3100.395913896822 0.0236897010931898
10 60 -5 -4 18 19 2645.945350174903 0.01916822715293165
10 60 -5 -4 19 20 2266.069301943504 0.01597556388924204
10 60 -5 -4 20 21 1947.084396069625 0.0134235377463483
10 60 -5 -4 21 22 1678.110743425777 0.01285370583741496
10 60 -5 -4 22 23 1450.413555295077 0.01323654637553773
10 60 -5 -4 23 24 1256.956558545783 0.01138326654563571
10 60 -5 -4 24 25 1092.034454968152 0.01206650064023052
10 60 -5 -4 25 26 950.9856857589043 0.01384770984213901
10 60 -5 -4 26 27 829.9904441379333 0.0128398350622092
10 60 -5 -4 27 28 725.9076994102315 0.0118271117154336
10 60 -5 -4 28 29 636.1348286815619 0.01158317638783046
10 60 -5 -4 29 30 558.5073714365673 0.01096031566191868
10 60 -5 -4 30 31 491.2236922240897 0.01036591501662087
10 60 -5 -4 31 32 432.7749379092214 0.01015067795981395
10 60 -5 -4 32 33 381.8918297876384 0.009952148924526227
10 60 -5 -4 33 34 337.5054801807163 0.009242308831517221
10 60 -5 -4 34 35 298.7116966188825 0.008258047598246776
10 60 -5 -4 35 36 264.7439403579116 0.007768061358376599
10 60 -5 -4 36 37 234.9498081416236 0.007238529052500553
10 60 -5 -4 37 38 208.7728091902301 0.006761957386061113
10 60 -5 -4 38 39 185.7374784950582 0.00616684697544656
10 60 -5 -4 39 40 165.4361866960179 0.00555144716201994
10 60 -5 -4 40 42 279.1990493211395 0.00943372776526985
10 60 -5 -4 42 44 222.9108674382603 0.007078484670614671
10 60 -5 -4 44 46 178.6631657217866 0.004415663423799288
10 60 -5 -4 46 48 143.7154511287922 0.002185051691498074
10 60 -5 -4 48 50 115.9908429798856 0.0006046929400724821
10 60 -5 -4 50 52 93.90651956246809 0.001226983234019485
10 60 -5 -4 52 54 76.24781392951475 0.002859151332458509
10 60 -5 -4 54 56 62.07744795543388 0.0003198540388282822
10 60 -5 -4 56 58 50.66829245905509 0.0002615978049860246
10 60 -5 -4 58 60 41.45339042116185 0.000214687176686823
10 60 -5 -4 60 65 73.9641452476192 0.0003813013704387913
10 60 -5 -4 65 70 45.54931980212351 0.0002356540306749366
10 60 -5 -4 70 80 46.09969981391949 0.0008747750724822367
10 60 -5 -4 80 90 18.31541104511842 0.000475053754392718
10 60 -5 -4 90 100 7.392911823266775 0.0002124521860853434
10 60 -4 -3.5 0 0.5 -316423.638677804 4.807165757985786
10 60 -4 -3.5 0.5 1 28810.12755653774 0.5489723290302209
10 60 -4 -3.5 1 1.5 41483.279465577 1.423840943978576
10 60 -4 -3.5 1.5 2 34969.14622443483 1.124234944712953
10 60 -4 -3.5 2 2.5 28542.04897458939 0.917338683957496
10 60 -4 -3.5 2.5 3 23493.64930332251 0.7403814539902669
10 60 -4 -3.5 3 3.5 19609.99155515712 0.5903419725909771
10 60 -4 -3.5 3.5 4 16589.07192525632 0.469200733492471
10 60 -4 -3.5 4 4.5 14198.55046991161 0.3761122965916002
10 60 -4 -3.5 4.5 5 12274.07995346129 0.3023072558607964
10 60 -4 -3.5 5 5.5 10700.41142642591 0.242916896013412
10 60 -4 -3.5 5.5 6 9395.696176122989 0.1940109049482999
10 60 -4 -3.5 6 6.5 8301.012077745185 0.1564087083243066
10 60 -4 -3.5 6.5 7 7372.936184144095 0.1275077397694986
10 60 -4 -3.5 7 7.5 6579.077066822714 0.105629176846378
10 60 -4 -3.5 7.5 8 5894.732929550838 0.08919101597075496
10 60 -4 -3.5 8 8.5 5300.77063320815 0.07598537206285982
10 60 -4 -3.5 8.5 9 4782.255578368857 0.06511538033282704
10 60 -4 -3.5 9 9.5 4327.19441564541 0.0557377512959647
10 60 -4 -3.5 9.5 10 3925.991543981244 0.04765432528756719
10 60 -4 -3.5 10 10.5 3570.837962281631 0.04092652611052472
10 60 -4 -3.5 10.5 11 3255.246235586319 0.03528229217272383
10 60 -4 -3.5 11 11.5 2973.873041374077 0.146138370405879
10 60 -4 -3.5 11.5 12 2722.258405203599 0.1145692025793323
10 60 -4 -3.5 12 12.5 2496.6028988734 0.08853652137804602
10 60 -4 -3.5 12.5 13 2293.691829120578 0.06664235185144207
10 60 -4 -3.5 13 13.5 2110.802938444511 0.04947427153138051
10 60 -4 -3.5 13.5 14 1945.589865285204 0.03663059859468376
10 60 -4 -3.5 14 14.5 1796.014981915978 0.02581783225059553
10 60 -4 -3.5 14.5 15 1660.324305782821 0.01689471907639017
10 60 -4 -3.5 15 16 2961.718379690128 0.05860440720152837
10 60 -4 -3.5 16 17 2551.042504695805 0.01794266237584452
10 60 -4 -3.5 17 18 2207.788178214945 0.04990761965609636
10 60 -4 -3.5 18 19 1919.15918548855 0.07155159309263581
