#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 23490.77613309171 1.476583388062863
-5 -4 1 2 79333.83727007535 6.01531062804861
-5 -4 2 3 56972.84045556773 0.2884027966792928
-5 -4 3 4 41278.44610612818 3.635361033280788
-5 -4 4 5 31268.67684788667 1.920216174330562
-5 -4 5 6 24531.74988088983 1.524971992414066
-5 -4 6 7 19762.80556299046 0.3632122588351194
-5 -4 7 8 16248.26438051337 0.2268944422721688
-5 -4 8 9 13574.98076253425 0.2099414801741659
-5 -4 9 10 11489.43005852219 0.1960716322228109
-5 -4 10 11 9828.472681225763 0.1811524391523562
-5 -4 11 12 8482.885000402928 0.1673784012782562
-5 -4 12 13 7377.029019342433 0.1538337893853168
-5 -4 13 14 6457.017535823485 0.1404540073599492
-5 -4 14 15 5683.56058377044 0.4240081014941097
-5 -4 15 16 5027.284979189312 0.2580913387027977
-5 -4 16 17 4465.983112093872 0.3939499859334319
-5 -4 17 18 3982.501995506251 0.3030967150107244
-5 -4 18 19 3563.427292628228 0.2335726097694533
-5 -4 19 20 3198.130779214312 0.1803807485098332
-5 -4 20 21 2878.094833551798 0.1385542974394411
-5 -4 21 22 2596.43375712763 0.1057616879738816
-5 -4 22 23 2347.524001349843 0.08016830168207889
-5 -4 23 24 2126.728140250995 0.05984729152760337
-5 -4 24 25 1930.198013884351 0.04344727035345386
-5 -4 25 26 1754.722638283469 0.0303885300750153
-5 -4 26 27 1597.60108660896 0.02085964843513466
-5 -4 27 28 1456.54424426161 0.01805687701812531
-5 -4 28 29 1329.601905295464 0.01539957600243724
-5 -4 29 30 1215.109356566394 0.01297319810487352
-5 -4 30 31 1111.637511300087 0.01079720158645614
-5 -4 31 32 1017.952058653333 0.008898072484953445
-5 -4 32 33 932.9795529084589 0.01017365849236285
-5 -4 33 34 855.7849595270131 0.01219072741162108
-5 -4 34 35 785.5528801950742 0.0137815550126561
-5 -4 35 36 721.5695047087914 0.01499406718141927
-5 -4 36 37 663.2067998796942 0.01578939728881323
