#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 25.98836695404049 0.0008056031481125103
-5 -4.75 1 2 45.16620713503961 0.0009810924852544645
-5 -4.75 2 3 26.38818668773237 0.00108045474356544
-5 -4.75 3 4 17.35896211436231 0.0005830074570845056
-5 -4.75 4 5 12.27005567349735 0.0003563274880882261
-5 -4.75 5 6 9.083023131680767 0.000230630003079213
-5 -4.75 6 7 6.941948839119865 0.0001522574587839998
-5 -4.75 7 8 5.430501893091151 9.876864945201902e-05
-5 -4.75 8 9 4.323684270739956 6.257279587362774e-05
-5 -4.75 9 10 3.490062509724741 3.859170813313995e-05
-5 -4.75 10 11 2.848118351561316 2.790438582378485e-05
-5 -4.75 11 12 2.344860486504424 2.337705567834192e-05
-5 -4.75 12 13 1.944492619818347 2.053087761644257e-05
-5 -4.75 13 14 1.622071385822639 1.875980192012072e-05
-5 -4.75 14 15 1.359741046091088 1.750978991954533e-05
-5 -4.75 15 16 1.144445743771742 3.471963596890504e-05
-5 -4.75 16 17 0.9664391099481613 1.383515294284265e-05
-5 -4.75 17 18 0.8183329482889476 1.937047753364229e-05
-5 -4.75 18 19 0.6944410036060998 3.325132429576882e-05
-5 -4.75 19 20 0.5903251112174325 7.072509121464066e-06
-5 -4.75 20 21 0.5024875994776583 6.700556598571161e-06
-5 -4.75 21 22 0.4281397589037625 6.523747247855205e-06
-5 -4.75 22 23 0.3650346694723678 6.315870151096803e-06
-5 -4.75 23 24 0.3113498100771699 5.960772942847914e-06
-5 -4.75 24 25 0.2655953010052607 5.250941474299609e-06
-5 -4.75 25 26 0.2265427255689514 4.515159600065877e-06
-5 -4.75 26 27 0.1931733292565649 4.193824716308692e-06
-5 -4.75 27 28 0.1646378438034289 3.949959848981166e-06
-5 -4.75 28 29 0.1402240549782755 3.498886105984811e-06
-5 -4.75 29 30 0.1193316545721464 3.027182633522085e-06
-5 -4.75 30 31 0.1014532808555818 2.670281283104203e-06
-5 -4.75 31 32 0.08615769788744666 2.373979828773631e-06
-5 -4.75 32 33 0.0730778126662853 2.141597021748654e-06
-5 -4.75 33 34 0.06189972909144547 1.865343348755877e-06
-5 -4.75 34 35 0.05235471582352326 1.610701991255903e-06
-5 -4.75 35 36 0.04421206309997749 1.414492748139096e-06
-5 -4.75 36 37 0.03727374632329294 1.268625274816748e-06
-5 -4.75 37 38 0.03136900577681795 1.066875438104908e-06
-5 -4.75 38 39 0.02635084305757414 9.038070830184874e-07
-5 -4.75 39 40 0.02209266682638562 8.319507585237418e-07
-5 -4.75 40 41 0.01848532279862527 7.027948565260789e-07
-5 -4.75 41 42 0.01543444549675615 5.744019251369831e-07
-5 -4.75 42 43 0.01285901352529909 5.32790093939195e-07
-5 -4.75 43 44 0.01068918826496633 4.638568862711662e-07
-5 -4.75 44 45 0.008864627763513015 3.895122761971015e-07
-5 -4.75 45 46 0.007333604971541598 1.501561059137624e-07
-5 -4.75 46 47 0.006051767025478507 1.353224594428937e-07
-5 -4.75 47 48 0.004980894386774071 1.051227276832947e-07
-5 -4.75 48 49 0.004088360388359203 9.598428228618783e-08
-5 -4.75 49 50 0.003346254687388328 8.397897550060582e-08
-5 -4.75 50 51 0.002730751235436364 6.482368494938051e-08
-5 -4.75 51 52 0.002221549056785892 5.537758784998278e-08
-5 -4.75 52 53 0.00180142079593469 5.027097337234956e-08
-5 -4.75 53 54 0.001455744722836388 3.967984571256675e-08
-5 -4.75 54 55 0.001172132586040796 3.34864478214545e-08
-5 -4.75 55 56 0.000940159493494744 2.976945564267097e-08
-5 -4.75 56 57 0.0007510170112195365 2.14010616182746e-08
-5 -4.75 57 58 0.0005973198071047417 1.959328961597707e-08
-5 -4.75 58 59 0.0004728763992995179 1.754632217900723e-08
-5 -4.75 59 60 0.0003725012991755554 1.340128731038915e-08
-5 -4.75 60 61 0.0002918765043069478 1.119881433496017e-08
-5 -4.75 61 62 0.0002274028373293528 8.483925286985805e-09
-5 -4.75 62 63 0.0001760927194034945 7.231490852882766e-09
-5 -4.75 63 64 0.0001354714566370163 5.357721181856526e-10
-5 -4.75 64 65 0.0001034926887496246 4.984508496938219e-09
-5 -4.75 65 66 7.847094085509977e-05 3.809135067182065e-09
-5 -4.75 66 67 5.90208113714046e-05 1.985480890212988e-10
-5 -4.75 67 68 4.400861897809009e-05 2.397813735353959e-11
-5 -4.75 68 69 3.250998867785652e-05 2.706487851623354e-11
-5 -4.75 69 70 2.377487035415604e-05 2.149387724823936e-11
-5 -4.75 70 71 1.71979967293605e-05 1.251978247907449e-11
-5 -4.75 71 72 1.229391628430053e-05 1.04430371177021e-11
-5 -4.75 72 73 8.675548405202129e-06 1.006442611271429e-11
-5 -4.75 73 74 6.036407698095724e-06 9.392971073487186e-12
-5 -4.75 74 75 4.135632748890505e-06 6.925237246755789e-12
-5 -4.75 75 76 2.785512522380716e-06 6.23079270207759e-12
-5 -4.75 76 77 1.841107364052114e-06 4.562909098259157e-12
-5 -4.75 77 78 1.191638334172546e-06 4.115283700766611e-12
-5 -4.75 78 79 7.533899043384668e-07 3.210215924365916e-12
-5 -4.75 79 80 4.638983542416159e-07 2.227413536815998e-12
-5 -4.75 80 81 2.772155385160497e-07 2.104857079402234e-12
-5 -4.75 81 82 1.600812325793122e-07 1.565498706700877e-12
-5 -4.75 82 83 8.885951930294949e-08 1.194143425140997e-12
-5 -4.75 83 84 4.710358157625538e-08 9.043733392513025e-13
-5 -4.75 84 85 2.364661533484705e-08 6.431036728951933e-13
-5 -4.75 85 86 1.112149657680066e-08 4.627157548230024e-13
-5 -4.75 86 87 4.830705404485551e-09 3.552338963749627e-14
-5 -4.75 87 88 1.900291369222754e-09 1.921871098543195e-14
-5 -4.75 88 89 6.585402333993754e-10 2.284114065828481e-15
-5 -4.75 89 90 1.929961415732551e-10 4.826249403879798e-16
-5 -4.75 90 91 4.491213931543801e-11 5.807592591568668e-16
-5 -4.75 91 92 7.490176630256601e-12 2.41407087317827e-16
-5 -4.75 92 93 7.438717432326996e-13 9.027290977134951e-18
-5 -4.75 93 94 2.943147006199053e-14 1.130597952986386e-18
-5 -4.75 94 95 3.24773405521316e-16 4.892455371384195e-21
-5 -4.75 95 96 1.960657401731194e-21 1.103541416259302e-26
-5 -4.75 96 97 0 0
-5 -4.75 97 98 0 0
-5 -4.75 98 99 0 0
-5 -4.75 99 100 0 0
-4.75 -4.5 0 1 198.3358272315327 0.00573625566724445
-4.75 -4.5 1 2 498.5017075715178 0.001961688839344333
-4.75 -4.5 2 3 313.2869333886389 0.001335104478641824
-4.75 -4.5 3 4 214.6434866058198 0.0008285279707820337
-4.75 -4.5 4 5 156.6394208594172 0.0006100738679322149
-4.75 -4.5 5 6 119.2810387177522 0.000454806597488755
-4.75 -4.5 6 7 93.614989399972 0.0003287462130572294
-4.75 -4.5 7 8 75.13476771810618 0.0002541479014297465
-4.75 -4.5 8 9 61.34956240461634 0.0002049607066823
-4.75 -4.5 9 10 50.77979461232997 0.0001604041467189177
-4.75 -4.5 10 11 42.49591689812068 0.0001191150739288105
-4.75 -4.5 11 12 35.88641139216958 8.274704745048211e-05
-4.75 -4.5 12 13 30.53426810953304 5.40648618958528e-05
-4.75 -4.5 13 14 26.14603234067177 3.288307278737079e-05
-4.75 -4.5 14 15 22.50972598722208 1.897402776407375e-05
-4.75 -4.5 15 16 19.46907075907149 1.121827037664502e-05
-4.75 -4.5 16 17 16.90630130454186 8.035093667757565e-06
-4.75 -4.5 17 18 14.73138098965646 6.826666588466423e-06
-4.75 -4.5 18 19 12.87449836890413 0.0005137917952051652
-4.75 -4.5 19 20 11.28064691605707 0.0002958885668125077
-4.75 -4.5 20 21 9.906096392570277 0.0001316756786859941
-4.75 -4.5 21 22 8.715753003495788 1.456131911048431e-05
-4.75 -4.5 22 23 7.681098931700554 7.278206115035601e-05
