#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 25.5220559874621 0.0008186922840209832
-5 -4.75 1 2 44.21482970586636 0.001002963058887474
-5 -4.75 2 3 25.88271975288801 0.001010198859429323
-5 -4.75 3 4 17.0415659699355 0.0005166782856953489
-5 -4.75 4 5 12.05154631031692 0.0002985216250444012
-5 -4.75 5 6 8.923559637104997 0.0001809746445644578
-5 -4.75 6 7 6.82078758834808 0.0001096590618852034
-5 -4.75 7 8 5.335686965635756 6.394798007569591e-05
-5 -4.75 8 9 4.247802056307963 4.799251972187335e-05
-5 -4.75 9 10 3.428256354192549 3.642547410809271e-05
-5 -4.75 10 11 2.797065198568078 2.862576058682009e-05
-5 -4.75 11 12 2.302206299308196 2.396490831957365e-05
-5 -4.75 12 13 1.908520616170221 2.105913588290598e-05
-5 -4.75 13 14 1.591499000594626 1.926137988506049e-05
-5 -4.75 14 15 1.3335900521086 1.798622205018141e-05
-5 -4.75 15 16 1.12195663727926 3.339267705260163e-05
-5 -4.75 16 17 0.9470128641358537 1.446949001582265e-05
-5 -4.75 17 18 0.8014906235965134 2.003722189736212e-05
-5 -4.75 18 19 0.6797949153513174 3.369669410246967e-05
-5 -4.75 19 20 0.5775579058117096 1.19069399276972e-05
-5 -4.75 20 21 0.4913369477508676 1.076617370859845e-05
-5 -4.75 21 22 0.4183868052938826 9.947565713319673e-06
-5 -4.75 22 23 0.3564952485181747 9.201634554756311e-06
-5 -4.75 23 24 0.3038677854592793 8.376982713109715e-06
-5 -4.75 24 25 0.2590374073134405 7.267867169369335e-06
-5 -4.75 25 26 0.2207944813877899 6.203109648966754e-06
-5 -4.75 26 27 0.188135820438065 5.60639511634764e-06
-5 -4.75 27 28 0.1602251725872764 5.124944919526753e-06
-5 -4.75 28 29 0.1363613029101217 4.47030879488497e-06
-5 -4.75 29 30 0.1159532199503831 3.8267627953531e-06
-5 -4.75 30 31 0.09850152498505232 3.327997535593208e-06
-5 -4.75 31 32 0.08358183418728689 2.914471246173722e-06
-5 -4.75 32 33 0.07083300680780551 2.582331557129947e-06
-5 -4.75 33 34 0.05994632441117294 2.222109251236171e-06
-5 -4.75 34 35 0.05065758801093338 1.900851533315207e-06
-5 -4.75 35 36 0.04274008320464017 1.650502698499756e-06
-5 -4.75 36 37 0.035999322479317 1.460951184660553e-06
-5 -4.75 37 38 0.03026767510646216 1.222539432344655e-06
-5 -4.75 38 39 0.02540092660959541 1.031011338123444e-06
-5 -4.75 39 40 0.02127497258838331 9.378005936359901e-07
-5 -4.75 40 41 0.01778287715251244 7.899731919516761e-07
-5 -4.75 41 42 0.01483225435678594 6.477252704421149e-07
-5 -4.75 42 43 0.01234385610931876 5.956474354723573e-07
