#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 7435.571557571075 1.103998057010358
-5 -4 1 2 24955.8633116468 9.089308552029252
-5 -4 2 3 17689.90588692862 7.10261030800757
-5 -4 3 4 12743.76496034652 5.447459635388441
-5 -4 4 5 9613.636428753698 9.33313097039354
-5 -4 5 6 7515.932504129398 5.357621194122657
-5 -4 6 7 6034.973928707231 3.222388531824436
-5 -4 7 8 4946.325402536807 4.785168362210243
-5 -4 8 9 4119.906804894936 3.318483550787278
-5 -4 9 10 3476.487122249428 2.284113639879706
-5 -4 10 11 2964.972136995506 1.733917943017332
-5 -4 11 12 2551.28109316961 1.556149702883886
-5 -4 12 13 2211.970822544154 1.395769713068603
-5 -4 13 14 1930.18363158321 1.265504708801927
-5 -4 14 15 1693.705830674844 1.147064234863137
-5 -4 15 16 1493.465665457962 1.039173457161496
-5 -4 16 17 1322.544385686703 0.9484053456212678
-5 -4 17 18 1175.612454798193 0.8659350207019543
-5 -4 18 19 1048.514861364944 0.7879779775248608
-5 -4 19 20 937.9575537319545 0.7184332982811839
-5 -4 20 21 841.31574442293 0.6606279105521935
-5 -4 21 22 756.4559747840309 0.6017662309548086
-5 -4 22 23 681.6313670516513 0.5492277952721452
-5 -4 23 24 615.407425942765 0.5005176830845812
-5 -4 24 25 556.6041601161847 0.4618355931648921
-5 -4 25 26 504.2361756676926 0.4205359420615764
-5 -4 26 27 457.4673038613327 0.3831088659100601
-5 -4 27 28 415.5844146824889 0.3484212347883044
-5 -4 28 29 377.9946852287171 0.3707458219750492
-5 -4 29 30 344.1756548149789 0.3027884377864893
-5 -4 30 31 313.7008727673396 0.2650302395425115
-5 -4 31 32 286.1900288288224 0.2390455705120189
-5 -4 32 33 261.3087579599922 0.2158126698034835
-5 -4 33 34 238.7690230531805 0.1952840969235581
-5 -4 34 35 218.3231897628979 0.1763027199353644
-5 -4 35 36 199.7549300643579 0.1577827904300761
-5 -4 36 37 182.8729403868571 0.1402223881908355
-5 -4 37 38 167.5068225278148 0.1237415636713877
-5 -4 38 39 153.5046900599479 0.1097115550556111
-5 -4 39 40 140.7327423000174 0.09674292586029765
-5 -4 40 41 129.0736196007072 0.08520726075886387
-5 -4 41 42 118.4226160097703 0.0743852230789912
-5 -4 42 43 108.6859531341839 0.06441041338112541
-5 -4 43 44 99.77932927122255 0.05603111367967983
-5 -4 44 45 91.62670452650329 0.04828244806199677
-5 -4 45 46 84.15933879816926 0.04122482280698136
-5 -4 46 47 77.31599874838729 0.03518262894894519
-5 -4 47 48 71.0418545520975 0.02958791695306218
-5 -4 48 49 65.28752730433628 0.02459367255612221
-5 -4 49 50 60.00787982053689 0.02037883631176385
-5 -4 50 51 55.16222645988936 0.01655513363267858
-5 -4 51 52 50.71342057923098 0.01309095358842427
-5 -4 52 53 46.6274240166877 0.01010237526769941
-5 -4 53 54 42.87325342086125 0.007607509074254892
-5 -4 54 55 39.42334596494222 0.005471654493476308
-5 -4 55 56 36.2524678947339 0.003734256902674815
-5 -4 56 57 33.33763239199957 0.003111766422442486
-5 -4 57 58 30.65685517483445 0.01619819059644101
-5 -4 58 59 28.19365844727287 0.02454461757973192
-5 -4 59 60 25.92712312542182 0.002619594887001142
-5 -4 60 61 23.84253538592534 0.002468756152836704
-5 -4 61 62 21.92490528092656 0.002328194540634598
-5 -4 62 63 20.16076591208187 0.002645613359266719
-5 -4 63 64 18.53772003055799 0.00290205653107023
-5 -4 64 65 17.04434748494848 0.003047929842963981
-5 -4 65 66 15.67018183866344 0.003140011675593968
-5 -4 66 67 14.40568996397255 0.003173068394049849
-5 -4 67 68 13.24219553730451 0.003152594345058546
