#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 21762.37187305218 1.250490374855872
-5 -4 1 2 76129.51798326343 7.068825076377834
-5 -4 2 3 55048.7815401191 5.125207458564546
-5 -4 3 4 39985.88187460906 2.864630023330392
-5 -4 4 5 30336.31193194592 1.507412641556584
-5 -4 5 6 23827.85261746341 1.296285669657664
-5 -4 6 7 19212.79801650407 1.6467778085389
-5 -4 7 8 15808.66541784837 0.058887613717161
-5 -4 8 9 13216.55072816413 0.03527764657701482
-5 -4 9 10 11193.0581080736 0.06687803062050079
-5 -4 10 11 9580.384337122992 0.06937046564053162
-5 -4 11 12 8272.938497635689 0.06028925441751198
-5 -4 12 13 7197.984127174953 0.04815081530159659
-5 -4 13 14 6303.191404353502 0.6017976662633373
-5 -4 14 15 5550.420198971267 0.3817247371644044
-5 -4 15 16 4911.470333233657 0.2322480863194869
-5 -4 16 17 4364.758281970367 0.3907667348757968
-5 -4 17 18 3893.619194890092 0.3003467197354439
-5 -4 18 19 3485.06343551055 0.233647439071774
-5 -4 19 20 3128.784323888793 0.1782501788561603
-5 -4 20 21 2816.54908030212 0.1372112443791593
-5 -4 21 22 2541.662943614011 0.1056998940784979
-5 -4 22 23 2298.644487755386 0.08143969014190588
-5 -4 23 24 2082.983312107348 0.06046510295209373
-5 -4 24 25 1890.962055988143 0.04389774790206502
-5 -4 25 26 1719.474432626652 0.03029864253721826
-5 -4 26 27 1565.890277395188 0.02160918361300901
-5 -4 27 28 1427.956577824968 0.01730348591854636
-5 -4 28 29 1303.774475462127 0.0147881253376454
-5 -4 29 30 1191.737888892738 0.01246446298978299
-5 -4 30 31 1090.471324403345 0.01039264094220016
-5 -4 31 32 998.7714709997141 0.008568754921498112
-5 -4 32 33 915.5756752943354 0.008781502057786383
-5 -4 33 34 839.9672164632697 0.01103899195868507
-5 -4 34 35 771.1566309563191 0.01314755440432691
-5 -4 35 36 708.4562933736772 0.01448252938973837
-5 -4 36 37 651.2573032882076 0.01523162149248947
-5 -4 37 38 599.0150855274992 0.01562904185232128
-5 -4 38 39 551.2442380212664 0.01570131275013864
-5 -4 39 40 507.5148633963963 0.01614082622921842
-5 -4 40 41 467.4515527651916 0.01619034925215601
-5 -4 41 42 430.718044735992 0.0162481048743075
-5 -4 42 43 397.013295476345 0.0160400599767172
-5 -4 43 44 366.0656068915546 0.01573630146060623
-5 -4 44 45 337.6297241525075 0.03098532052933933
-5 -4 45 46 311.4832323017532 0.02559390045297505
-5 -4 46 47 287.4280428706339 0.02115224187673448
-5 -4 47 48 265.2861330548499 0.01749175364477651
-5 -4 48 49 244.8971673623859 0.01448640826293968
-5 -4 49 50 226.1143075450483 0.01318826861472644
-5 -4 50 51 208.8044727689655 0.01270302180282101
-5 -4 51 52 192.8464652503853 0.01215933920542511
-5 -4 52 53 178.128615497467 0.01155687485851331
-5 -4 53 54 164.548838177783 0.01112346659684249
-5 -4 54 55 152.0162792071554 0.01063937362391698
-5 -4 55 56 140.4476622674209 0.01018554444024744
-5 -4 56 57 129.7668220022097 0.009709536664644247
-5 -4 57 58 119.9036793952899 0.009244170512076266
-5 -4 58 59 110.7938139918299 0.0087914543797325
-5 -4 59 60 102.3781980775639 0.008337438628160498
-5 -4 60 61 94.60244624318698 0.007914782926292219
-5 -4 61 62 87.41687388746746 0.007520343580353028
-5 -4 62 63 80.77614307560788 0.007126458975520222
-5 -4 63 64 74.6383171411921 0.006739451760836346
-5 -4 64 65 68.96460364134981 0.006365816285111237
-5 -4 65 66 63.71929265208326 0.0060216049295434
-5 -4 66 67 58.86976182704595 0.005707852838142458
-5 -4 67 68 54.3863369400001 0.00540869350541584
-5 -4 68 69 50.24146793352833 0.0006816924884063269
-5 -4 69 70 46.40912533471639 0.0006180756808262799
-5 -4 70 71 42.86562241169562 0.0005624657867215888
-5 -4 71 72 39.58905843608031 0.0005140008326947054
-5 -4 72 73 36.55931222322801 0.0004712249161613613
-5 -4 73 74 33.75785081798052 0.000433654413185991
-5 -4 74 75 31.16767037172801 0.000401982028915171
-5 -4 75 76 28.77307845735276 0.0004709653094856492
-5 -4 76 77 26.55942273826031 0.0005169361741650391
-5 -4 77 78 24.51291849006136 0.0005478827154270505
-5 -4 78 79 22.62092666934975 0.0005566355574941895
-5 -4 79 80 20.87190036919261 0.0005412994484075284
-5 -4 80 81 19.25512414182826 0.0005196315583297917
-5 -4 81 82 17.7607245751199 0.0004888173122630235
-5 -4 82 83 16.37965230915358 0.0004612376281478703
-5 -4 83 84 15.10347696936017 0.0004316204895626896
-5 -4 84 85 13.92438690983396 0.0003884810053804699
-5 -4 85 86 12.83511264043306 0.0003416876191071339
-5 -4 86 87 11.8288307192071 0.0002905916802369291
-5 -4 87 88 10.89927365447252 0.0002387401803414235
-5 -4 88 89 10.04070732041547 0.0001895464306826966
-5 -4 89 90 9.24784277967672 0.0001458752985303846
-5 -4 90 91 8.515645015084296 0.0007971470519976265
-5 -4 91 92 7.839803480630462 0.0005608634682596758
-5 -4 92 93 7.2159528949138 0.0003512602353552552
-5 -4 93 94 6.64019326101912 0.0001525287543042708
-5 -4 94 95 6.108910461495215 0.0001006998171613205
-5 -4 95 96 5.618727782265938 0.0001688296404767087
-5 -4 96 97 5.166546382476957 0.0002863226709299838
-5 -4 97 98 4.749497469938683 0.0003742528322643324
-5 -4 98 99 4.364895925818863 7.47261110287667e-05
-5 -4 99 100 4.010338085866607 6.896915576160012e-05
-4 -3.75 0 1 5687.402390559593 0.243812828697628
-4 -3.75 1 2 48878.12126021922 2.614709205648978
-4 -3.75 2 3 40623.30897798716 1.387186282496259
-4 -3.75 3 4 30961.57791029114 0.7750926553671889
-4 -3.75 4 5 24190.05144246223 0.40402270517734
-4 -3.75 5 6 19423.76216265738 0.3405003495390702
-4 -3.75 6 7 15953.82093359358 0.2746132189895434
-4 -3.75 7 8 13343.29940845981 0.2250773540636146
-4 -3.75 8 9 11325.34214520446 0.2017916554141266
-4 -3.75 9 10 9729.105938269227 0.8154200569388195
-4 -3.75 10 11 8442.216290185897 0.5593564060291101
-4 -3.75 11 12 7388.089001104188 0.3772080025137257
-4 -3.75 12 13 6512.675468785256 0.2486425464394415
-4 -3.75 13 14 5777.097593445955 0.1591545058454358
-4 -3.75 14 15 5152.72714487932 0.09767145106252428
-4 -3.75 15 16 4618.049590078162 0.4601161764076096
-4 -3.75 16 17 4156.485219505947 0.3677544983929693
-4 -3.75 17 18 3755.206908577954 0.2882118228931176
-4 -3.75 18 19 3404.244024154189 0.2325470915152437
-4 -3.75 19 20 3095.55924011528 0.1952591011131517
