#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 28.4328483513373 0.0003078568530305859
-5 -4.75 1 2 48.21534382234316 0.0004351669725366492
-5 -4.75 2 3 27.912089341283 0.0002806072829812933
-5 -4.75 3 4 18.27667369124763 0.0001883631615697823
-5 -4.75 4 5 12.8770548453299 0.0001344662216276049
-5 -4.75 5 6 9.508170185016182 9.915958565720473e-05
-5 -4.75 6 7 7.251345221421627 7.666557980545718e-05
-5 -4.75 7 8 5.662053979654746 6.103186048811438e-05
-5 -4.75 8 9 4.500658639305171 4.848214932096084e-05
-5 -4.75 9 10 3.62754215078095 3.941657147077393e-05
-5 -4.75 10 11 2.956362115391023 3.220398673331459e-05
-5 -4.75 11 12 2.430983681003469 2.684235002892166e-05
-5 -4.75 12 13 2.013628179282995 2.265513665999919e-05
-5 -4.75 13 14 1.678084461341298 5.39363009672833e-05
-5 -4.75 14 15 1.405263592746994 4.179140227011935e-05
-5 -4.75 15 16 1.181689902664796 2.684379476480814e-05
-5 -4.75 16 17 0.9970649495523572 1.179543110430004e-05
-5 -4.75 17 18 0.8436109291162088 2.499674757616699e-05
-5 -4.75 18 19 0.7153716711804168 1.995877586080663e-05
-5 -4.75 19 20 0.6077061803399153 2.088263366928356e-05
-5 -4.75 20 21 0.5169606680375103 1.935543561071285e-05
-5 -4.75 21 22 0.440213681542718 1.634644079218095e-05
-5 -4.75 22 23 0.3751215994445839 1.273582121086303e-05
-5 -4.75 23 24 0.3197908627263266 9.641083164202424e-06
-5 -4.75 24 25 0.2726669091100966 7.021517878680328e-06
-5 -4.75 25 26 0.2324709392203445 5.132797788409693e-06
-5 -4.75 26 27 0.1981451131350441 4.039841772413011e-06
-5 -4.75 27 28 0.1688083936913998 3.340718268018961e-06
-5 -4.75 28 29 0.1437222248568283 2.793983784610266e-06
-5 -4.75 29 30 0.1222639048961922 2.220096843169594e-06
-5 -4.75 30 31 0.103908434449361 1.646717442266299e-06
-5 -4.75 31 32 0.08821089204082011 1.347821894426282e-06
-5 -4.75 32 33 0.07479169279895163 1.180773257197787e-06
-5 -4.75 33 34 0.06332666371589156 1.041578544386246e-06
-5 -4.75 34 35 0.05353882466962924 8.60021448452486e-07
-5 -4.75 35 36 0.04519103187228837 6.996657529387273e-07
-5 -4.75 36 37 0.03807978635948325 7.819939147335475e-07
-5 -4.75 37 38 0.03202960931795022 7.024035992078681e-07
-5 -4.75 38 39 0.02688943837738046 5.498085806285302e-07
-5 -4.75 39 40 0.02252938647140784 4.211938960108075e-07
-5 -4.75 40 41 0.01883754247770319 3.85135938647807e-07
-5 -4.75 41 42 0.01571752401625792 3.162247260088402e-07
-5 -4.75 42 43 0.01308603654785737 2.460962321947091e-07
-5 -4.75 43 44 0.0108710638630264 1.924979929589232e-07
-5 -4.75 44 45 0.009010640004443356 1.608268758949288e-07
-5 -4.75 45 46 0.007451436771950236 2.259758870399795e-07
-5 -4.75 46 47 0.006147397312778271 1.403869316343384e-07
-5 -4.75 47 48 0.005059138133267614 1.165396226352963e-07
-5 -4.75 48 49 0.004152844639185684 9.91610075015345e-08
-5 -4.75 49 50 0.003399671000080752 7.554398605323989e-08
-5 -4.75 50 51 0.002775163300538859 4.982808603747058e-08
-5 -4.75 51 52 0.00225848158247483 1.086922042821403e-07
-5 -4.75 52 53 0.00183209057915411 2.543178716858836e-08
-5 -4.75 53 54 0.001481163427381793 1.751199615331565e-08
-5 -4.75 54 55 0.001193157793606306 1.852531205412226e-08
-5 -4.75 55 56 0.0009575044547981642 1.868426854716426e-08
-5 -4.75 56 57 0.0007653294394721749 2.569287885895687e-08
-5 -4.75 57 58 0.0006091297768237844 1.95948572297459e-08
-5 -4.75 58 59 0.0004826259331457708 1.488400515933363e-08
-5 -4.75 59 60 0.000380557711927434 1.366171019248717e-08
-5 -4.75 60 61 0.0002985389759855431 1.202625488213802e-08
-5 -4.75 61 62 0.0002329128045106722 4.34437990139494e-11
-5 -4.75 62 63 0.0001806458712975011 6.963332078047807e-09
-5 -4.75 63 64 0.0001392255573395139 6.078002390529904e-09
-5 -4.75 64 65 0.0001065781134266191 3.131020678728662e-11
-5 -4.75 65 66 8.099528696035404e-05 1.01733085635671e-09
-5 -4.75 66 67 6.107422598395635e-05 2.787630355607744e-09
-5 -4.75 67 68 4.566640329652898e-05 1.384198796029875e-11
-5 -4.75 68 69 3.383566035927057e-05 2.53676071373444e-11
-5 -4.75 69 70 2.482251768078722e-05 1.583626071192923e-11
-5 -4.75 70 71 1.801406102913322e-05 1.143069988570602e-11
-5 -4.75 71 72 1.291832020701001e-05 9.331057062141263e-12
-5 -4.75 72 73 9.142854707545038e-06 2.548164435007524e-10
-5 -4.75 73 74 6.376676837353674e-06 1.969879945197973e-10
-5 -4.75 74 75 4.374966876922548e-06 7.632306330045352e-12
-5 -4.75 75 76 2.946658706799926e-06 6.833633443965555e-12
-5 -4.75 76 77 1.943815052280359e-06 4.618304285597738e-12
-5 -4.75 77 78 1.252821227517621e-06 3.540972051334454e-12
-5 -4.75 78 79 7.871286466993309e-07 3.786568201878286e-11
-5 -4.75 79 80 4.813269594642604e-07 2.291584058491785e-12
-5 -4.75 80 81 2.86307085353593e-07 1.918073977338965e-12
-5 -4.75 81 82 1.656515482536391e-07 6.190016206845058e-12
-5 -4.75 82 83 9.31161871903525e-08 1.450113761030293e-12
-5 -4.75 83 84 5.06148268167506e-08 1.09634424898502e-12
-5 -4.75 84 85 2.63171785835673e-08 7.383557423039743e-13
-5 -4.75 85 86 1.285565408089251e-08 4.639574571422386e-13
-5 -4.75 86 87 5.76632830795486e-09 2.49759525954413e-13
-5 -4.75 87 88 2.317523662939561e-09 6.158866352878002e-14
