#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 5704.430683952903 2.767413264291463
-5 -4 1 2 22534.87060482633 4.572293750836252
-5 -4 2 3 16172.07150284844 1.38923787013664
-5 -4 3 4 11722.57379318334 0.9173384130826889
-5 -4 4 5 8880.04449197599 8.66816642206868
-5 -4 5 6 6962.855791371077 6.897245139687584
-5 -4 6 7 5603.599003509452 5.072182291429272
-5 -4 7 8 4600.616142835271 3.69243921476027
-5 -4 8 9 3836.760912897198 2.652032806057832
-5 -4 9 10 3240.375231919782 1.877378252905146
-5 -4 10 11 2765.238244527114 1.309158977052903
-5 -4 11 12 2380.17581054684 0.8982678926108747
-5 -4 12 13 2063.770158815172 0.6054065609173449
-5 -4 13 14 1800.665108107675 0.3994879227350339
-5 -4 14 15 1579.584424244045 0.2567037003436781
-5 -4 15 16 1392.156629496012 0.1591984119311292
-5 -4 16 17 1232.03884614809 0.1149784066517441
-5 -4 17 18 1094.311150559569 0.08762424525070855
-5 -4 18 19 975.109790061976 0.06752471258414516
-5 -4 19 20 871.3720856517327 0.04993079385269539
-5 -4 20 21 780.6684162215646 0.03695384044272032
-5 -4 21 22 701.0185545242456 0.02743399761209275
-5 -4 22 23 630.7914423776965 0.02038595261228693
-5 -4 23 24 568.6428827177166 0.01422751898132901
-5 -4 24 25 513.4696742472092 0.01287328253829401
-5 -4 25 26 464.3551789541692 0.01192522161841225
-5 -4 26 27 420.5160770292167 0.01068386559381906
-5 -4 27 28 381.2818195785446 0.009354867203910544
-5 -4 28 29 346.0867277394202 0.008042094511495179
-5 -4 29 30 314.4603045317122 0.2976221399408132
-5 -4 30 31 285.9806283788351 0.2430104677002873
-5 -4 31 32 260.2990814709186 0.1983488351070832
-5 -4 32 33 237.100937091695 0.1618104277310124
-5 -4 33 34 216.1132313152696 0.1319442404737572
-5 -4 34 35 197.0997745137959 0.1075325297752556
-5 -4 35 36 179.8534348356737 0.1731014377922406
-5 -4 36 37 164.1985588331946 0.1356656890766601
