#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 20036.62187962585 1.028264053387829
-5 -4 1 2 81519.05947587025 7.028587170396349
-5 -4 2 3 59927.38299735029 4.326504422933795
-5 -4 3 4 43622.32111683724 2.075974199928169
-5 -4 4 5 33082.13176987274 1.116050435077341
-5 -4 5 6 25953.54334277421 0.5642056777651305
-5 -4 6 7 20896.58924069333 0.2402493756562762
-5 -4 7 8 17167.61197298173 0.1600762725865934
-5 -4 8 9 14330.73285016617 0.1319501100078924
-5 -4 9 10 12118.16496522731 0.1079605154063756
-5 -4 10 11 10357.15771773779 0.08605413706027321
-5 -4 11 12 8931.14366795316 0.07148554472951218
-5 -4 12 13 7760.065288322357 0.05606374355011212
-5 -4 13 14 6786.625583700225 0.0456336739616745
-5 -4 14 15 5968.800015522042 0.491340541293539
-5 -4 15 16 5275.38170548063 0.3215383579681657
-5 -4 16 17 4682.806318090731 0.4055398849914127
-5 -4 17 18 4172.814093614265 0.3111695124598555
-5 -4 18 19 3731.092216243141 0.2421857110261953
-5 -4 19 20 3346.302862557778 0.1824414745819922
-5 -4 20 21 3009.451807188943 0.1371662029459912
-5 -4 21 22 2713.238706651608 0.104537596123464
-5 -4 22 23 2451.65362995195 0.08020538990967907
-5 -4 23 24 2219.747247450099 0.05911092939049922
-5 -4 24 25 2013.454537098628 0.04081912560877754
-5 -4 25 26 1829.406082306989 0.02697504401476181
-5 -4 26 27 1664.735734982683 0.01834949691442489
-5 -4 27 28 1516.984678700771 0.01084112384523905
-5 -4 28 29 1384.078515369631 0.008029708262256463
-5 -4 29 30 1264.266057050561 0.006613925961573841
-5 -4 30 31 1156.056516752263 0.007312174077924283
-5 -4 31 32 1058.152753055962 0.009878559107846741
-5 -4 32 33 969.406579313076 0.01183657367403157
-5 -4 33 34 888.8190829289658 0.01352681463345107
-5 -4 34 35 815.5273390990898 0.01528976140104987
-5 -4 35 36 748.7824197682743 0.01678644068806534
-5 -4 36 37 687.9319772614997 0.01781827732213515
-5 -4 37 38 632.3967484274403 0.01808752675640335
-5 -4 38 39 581.6528395323468 0.01786265361670303
-5 -4 39 40 535.2331297672839 0.01803693149929586
-5 -4 40 41 492.7296205236082 0.01789519132563555
-5 -4 41 42 453.7785737582241 0.01784629117497616
-5 -4 42 43 418.0566353932165 0.01768597242903525
-5 -4 43 44 385.2748741639143 0.01736967324910665
-5 -4 44 45 355.1721462801027 0.01685831138263438
-5 -4 45 46 327.5105488518109 0.01631015191566121
-5 -4 46 47 302.0760572334369 0.01581463999531252
-5 -4 47 48 278.6760798017492 0.02785756730645517
-5 -4 48 49 257.1386311133517 0.02359982441419106
-5 -4 49 50 237.3054538589144 0.0200527105128856
-5 -4 50 51 219.0357062775419 0.0170932932312553
-5 -4 51 52 202.2015616098581 0.01461606480410182
