#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 6862.671516409913 0.9542931754303936
-5 -4 1 2 22666.34229482866 20.19170045115607
-5 -4 2 3 16415.37445619758 3.655459420493571
-5 -4 3 4 11820.94575187847 1.974674941713602
-5 -4 4 5 8566.143021352735 8.243062798390383
-5 -4 5 6 6970.053917249717 4.9847991971601
-5 -4 6 7 5595.715833836275 3.01914276176376
-5 -4 7 8 4585.085475147769 4.067116927534698
-5 -4 8 9 3817.717241852412 2.83757136870463
-5 -4 9 10 3220.010858340214 1.96373331909399
-5 -4 10 11 2744.787827052433 1.345118485680814
-5 -4 11 12 2360.345945427373 0.9098197659577636
-5 -4 12 13 2044.941877973914 0.6061524147933142
-5 -4 13 14 1783.026740400412 0.3962024452587229
-5 -4 14 15 1563.215570157581 0.2526019236881893
-5 -4 15 16 1377.067268306436 0.1556301059347334
-5 -4 16 17 1218.193867834942 0.1098435010492267
-5 -4 17 18 1081.652261448113 0.08344251473226905
-5 -4 18 19 963.5679819146523 0.06413983454672234
-5 -4 19 20 860.8726327622825 0.04735264251621629
-5 -4 20 21 771.1331932247339 0.03493976794106857
-5 -4 21 22 692.3708302361448 0.02581777449938727
-5 -4 22 23 622.9585285725143 0.01908549364247847
-5 -4 23 24 561.5563830979343 0.01322624544002338
-5 -4 24 25 507.0649387522373 0.01214625703403271
-5 -4 25 26 458.5711949952935 0.01121895112260063
-5 -4 26 27 415.2966214801538 0.01001867476730922
-5 -4 27 28 376.5758294038247 0.008743188538005597
-5 -4 28 29 341.8476054783287 0.007489091301408735
-5 -4 29 30 310.6446266267064 0.2906298883645491
-5 -4 30 31 282.5480624711707 0.2491621373083035
-5 -4 31 32 257.2139183233607 0.1942708595154272
-5 -4 32 33 234.3303959054834 0.1587985309027715
-5 -4 33 34 213.6276194376424 0.1297791036988087
-5 -4 34 35 194.8722078605631 0.106035107867001
-5 -4 35 36 177.8611894482999 0.08659640624165377
-5 -4 36 37 162.4170691329185 0.07066910467895582
-5 -4 37 38 148.3825148857826 0.05765664973392859
-5 -4 38 39 135.6156124027707 0.04702682622689736
-5 -4 39 40 123.9908325254227 0.05204009395858122
-5 -4 40 41 113.3976753388566 0.06232520546284093
-5 -4 41 42 103.7377326701773 0.07052226144749341
-5 -4 42 43 94.9235544361423 0.07663690494979392
-5 -4 43 44 86.9575072209429 0.01680171178698231
-5 -4 44 45 79.52866814403737 0.01359676463455628
-5 -4 45 46 72.81234957081477 0.0110159452396914
-5 -4 46 47 66.67171669532922 0.00891187346535105
-5 -4 47 48 61.05522695044839 0.007181631895029739
-5 -4 48 49 55.91626418138379 0.005769413792570788
-5 -4 49 50 51.21277982131053 0.004627773197810825
-5 -4 50 51 46.90708594617828 0.004200602492751671
-5 -4 51 52 42.96491767347851 0.003986914588580248
-5 -4 52 53 39.35472303844745 0.003759415389446019
-5 -4 53 54 36.04763593276332 0.003567359010858695
-5 -4 54 55 33.01777492762973 0.00337016462185602
-5 -4 55 56 30.24147218151591 0.003178949354360583
-5 -4 56 57 27.69715133285134 0.003006235119535461
-5 -4 57 58 25.36533882064656 0.002841622978486669
-5 -4 58 59 23.22833316884289 0.002684819130713834
-5 -4 59 60 21.26993088277466 0.002519965705111815
-5 -4 60 61 19.47506910180977 0.002362855549382203
-5 -4 61 62 17.82996108135558 0.002218171439078986
-5 -4 62 63 16.32209295314133 0.002077878807874356
-5 -4 63 64 14.93996788958231 0.001944601237052979
-5 -4 64 65 13.67307650703275 0.001824518633593897
-5 -4 65 66 12.51191212413423 0.001712948030426986
-5 -4 66 67 11.44781745290508 0.001606665043084377
-5 -4 67 68 10.47285228121921 0.001503130758178983
-5 -4 68 69 9.579631348246568 0.001396765093330643
-5 -4 69 70 8.761263027186809 0.001304251726789829
-5 -4 70 71 8.011534323247686 0.001215234314296154
-5 -4 71 72 7.324730496276911 0.001131664159563783
-5 -4 72 73 6.69561581314221 0.001054955423924753
-5 -4 73 74 6.119426772099612 0.0009841754882637943
-5 -4 74 75 5.591819594770957 0.0009184417365055708
-5 -4 75 76 5.108817902342707 0.0008555966766632395
-5 -4 76 77 4.666743873887334 0.0007926246535694403
-5 -4 77 78 4.262149812977709 0.0007352188842659757
-5 -4 78 79 3.891881170342147 0.0006825509805095109
-5 -4 79 80 3.553074392141756 0.0006328828474391202
-5 -4 80 81 3.243098594474757 0.0005873865045313842
-5 -4 81 82 2.959551957222551 0.0005454639704867148
-5 -4 82 83 2.70024342522739 0.0005061168567541685
-5 -4 83 84 2.46316167041592 0.0004694762053931711
-5 -4 84 85 2.246456652350461 0.0004350042975880264
