#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 17545.95536944928 1.457869563921122
-5 -4 1 2 69227.50856745701 5.934305639806553
-5 -4 2 3 51178.38879338052 4.175662121204368
-5 -4 3 4 37474.99907228875 2.300449282702175
-5 -4 4 5 28570.82796172383 2.125711984466761
-5 -4 5 6 22520.9458072606 0.5818496293541102
-5 -4 6 7 18210.51069796742 0.3275007966149133
-5 -4 7 8 15019.4651251084 0.2576631425617961
-5 -4 8 9 12582.89300927012 0.2016692748729838
-5 -4 9 10 10675.92726030469 0.1601249892100896
-5 -4 10 11 9153.149839209276 0.1295486004637496
-5 -4 11 12 7916.191370546861 0.102237994888128
-5 -4 12 13 6897.324147935773 0.08316552045562275
-5 -4 13 14 6048.007297555285 0.5567717140102104
-5 -4 14 15 5332.444502141481 0.3558664030379077
-5 -4 15 16 4724.150600945351 0.2183965401200112
-5 -4 16 17 4202.990871242499 0.3855170249162256
-5 -4 17 18 3753.355051497405 0.2995262607164477
-5 -4 18 19 3362.983997899216 0.23589952514385
-5 -4 19 20 3022.147266651692 0.1810464042991953
-5 -4 20 21 2723.10754239138 0.1389011842989021
-5 -4 21 22 2459.574969009088 0.1079965311027991
-5 -4 22 23 2226.363546912181 0.08455519214339802
-5 -4 23 24 2019.194956702456 0.06435698213249452
-5 -4 24 25 1834.546549687434 0.04689057016094011
-5 -4 25 26 1669.49221959013 0.03336297625605766
-5 -4 26 27 1521.540871730714 0.02448772241427832
-5 -4 27 28 1388.552861987774 0.01679777666049631
-5 -4 28 29 1268.719065473562 0.01418666679933267
-5 -4 29 30 1160.508348934836 0.01310212217731532
-5 -4 30 31 1062.614556026067 0.01178990130574675
-5 -4 31 32 973.9001695643645 0.01052796099418174
-5 -4 32 33 893.3576999125327 0.009314881443742706
-5 -4 33 34 820.1089688630959 0.008758727093663765
-5 -4 34 35 753.393588033156 0.01073448859392556
-5 -4 35 36 692.5502127883012 0.01241126757258826
-5 -4 36 37 637.0015742914671 0.0136532667628444
-5 -4 37 38 586.2346016762352 0.01420463412159734
-5 -4 38 39 539.7850927812633 0.01428589066460972
-5 -4 39 40 497.2384903578641 0.01466968193892626
-5 -4 40 41 458.2318129443455 0.01475015492746934
-5 -4 41 42 422.4409619254725 0.01488310227324519
-5 -4 42 43 389.5772815747747 0.01488813984008175
-5 -4 43 44 359.3823514247266 0.01474979976796931
-5 -4 44 45 331.6224986372327 0.03069387580683269
-5 -4 45 46 306.0844625291663 0.02541712654442563
-5 -4 46 47 282.5763753256028 0.02107127603710524
-5 -4 47 48 260.9259035925979 0.01746116352165927
-5 -4 48 49 240.9766468564443 0.01447725932416688
-5 -4 49 50 222.5867642067729 0.01250680271618876
-5 -4 50 51 205.6290132019913 0.01213627622726676
-5 -4 51 52 189.9877549131893 0.01167325633210226
-5 -4 52 53 175.5557147714148 0.01111164551210209
-5 -4 53 54 162.2340021569163 0.01068689615277663
-5 -4 54 55 149.9340179352484 0.0102157800322118
-5 -4 55 56 138.5743157341157 0.009742750987470572
-5 -4 56 57 128.0802499403219 0.009323313385209531
-5 -4 57 58 118.384243272283 0.008922074305175443
-5 -4 58 59 109.4247044379355 0.00853743557459552
-5 -4 59 60 101.1450924516083 0.008107769688749045
-5 -4 60 61 93.4924878083868 0.00768005173127051
-5 -4 61 62 86.41802767318759 0.007291933110693094
-5 -4 62 63 79.87722536472059 0.006901898497503112
-5 -4 63 64 73.82889660118113 0.006524369644651529
-5 -4 64 65 68.23515824143249 0.00619059679387135
-5 -4 65 66 63.06167890137982 0.005881740969435612
-5 -4 66 67 58.27709036680928 0.005584648234865597
-5 -4 67 68 53.85249970464376 0.005289600683070717
-5 -4 68 69 49.7608149811292 0.004960451199991667
-5 -4 69 70 45.97639120925584 0.0006417991775578002
-5 -4 70 71 42.47602454844624 0.0005825257080473989
-5 -4 71 72 39.23822140968981 0.0005314774323252891
-5 -4 72 73 36.24320791348912 0.0004868422936468164
-5 -4 73 74 33.4729154960478 0.0004488048990012317
-5 -4 74 75 30.91075860183529 0.0004166884162373208
-5 -4 75 76 28.5414343873319 0.0003874120751170551
-5 -4 76 77 26.35063059442026 0.0003599821976045803
-5 -4 77 78 24.32479225485243 0.0003330409603385931
-5 -4 78 79 22.45145391941136 0.0003090532595280138
-5 -4 79 80 20.71923865925557 0.0002895432855645197
-5 -4 80 81 19.11756994071968 0.0002712213487932047
-5 -4 81 82 17.63674066501585 0.0002524426484491471
