#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 22.10899075668706 0.0008611562922098415
-5 -4.75 1 2 39.38594557836144 0.001500848189003534
-5 -4.75 2 3 23.29817760828482 0.0005375155880713578
-5 -4.75 3 4 15.42305912029019 0.0001906694607072268
-5 -4.75 4 5 10.9507780653394 9.081702984659046e-05
-5 -4.75 5 6 8.136063822160706 5.984324064023383e-05
-5 -4.75 6 7 6.23789698834246 4.185816465529513e-05
-5 -4.75 7 8 4.893574186638263 3.007649182595884e-05
-5 -4.75 8 9 3.906402552546473 2.76102110836618e-05
-5 -4.75 9 10 3.160871306929468 2.862162721495309e-05
-5 -4.75 10 11 2.585427363970648 2.861002038878624e-05
-5 -4.75 11 12 2.133240064213701 2.760155809644615e-05
-5 -4.75 12 13 1.772702645572017 2.571066250367515e-05
-5 -4.75 13 14 1.481769131605943 2.260414387356136e-05
-5 -4.75 14 15 1.244573475568572 1.863008148483836e-05
-5 -4.75 15 16 1.049512305119051 4.089715885102763e-05
-5 -4.75 16 17 0.8879422825799286 1.248479211957143e-05
-5 -4.75 17 18 0.7532606045967963 1.044013484663431e-05
-5 -4.75 18 19 0.6403941910067252 2.397101590745354e-05
-5 -4.75 19 20 0.5453734801805952 6.315624691888289e-06
-5 -4.75 20 21 0.465072553666203 1.558103074383865e-05
-5 -4.75 21 22 0.3969817019466836 6.667966559847915e-06
-5 -4.75 22 23 0.3390856483825632 6.365414553954896e-06
-5 -4.75 23 24 0.2897493004397174 6.64184481036223e-06
-5 -4.75 24 25 0.2476270660095866 1.183416432878892e-05
-5 -4.75 25 26 0.2116102922097626 2.984954409729346e-06
-5 -4.75 26 27 0.1807827929478948 2.628543235710934e-06
-5 -4.75 27 28 0.1543743004234765 2.2227631849836e-06
-5 -4.75 28 29 0.1317397413161606 1.893285076881579e-06
-5 -4.75 29 30 0.1123339480666983 1.669318092964445e-06
-5 -4.75 30 31 0.09569684411496683 1.44346140600049e-06
-5 -4.75 31 32 0.08143686065232542 1.132645592261117e-06
-5 -4.75 32 33 0.069218871900934 9.924114646731041e-07
-5 -4.75 33 34 0.05875652620412583 9.628704328232263e-07
-5 -4.75 34 35 0.04980426895348394 1.889916292727167e-06
-5 -4.75 35 36 0.04215206663174011 8.879713402770717e-08
-5 -4.75 36 37 0.03561778717325992 1.314914160721603e-06
-5 -4.75 37 38 0.03004502548728195 4.641780773501081e-07
-5 -4.75 38 39 0.02529862575969472 3.948730792381616e-07
-5 -4.75 39 40 0.02126191030507259 3.685919577611774e-07
-5 -4.75 40 41 0.01783403105362499 3.383609234915153e-07
-5 -4.75 41 42 0.014928161037949 2.992121203772985e-07
-5 -4.75 42 43 0.01246934632717229 2.39494346953098e-07
-5 -4.75 43 44 0.01039244276291496 1.982063349489915e-07
-5 -4.75 44 45 0.008641498247586546 1.588239795236035e-07
-5 -4.75 45 46 0.007168430981777866 2.923902498114597e-07
-5 -4.75 46 47 0.00593166229857095 1.233626903841128e-07
-5 -4.75 47 48 0.004895562231636673 1.037299258831864e-07
-5 -4.75 48 49 0.004029609897483232 1.907627352644437e-07
-5 -4.75 49 50 0.003307559334008577 7.024709301577114e-08
-5 -4.75 50 51 0.002706953862778199 6.161364206943437e-08
-5 -4.75 51 52 0.002208673119307064 6.09334097198197e-08
-5 -4.75 52 53 0.001796371149124654 4.499719527474751e-08
-5 -4.75 53 54 0.001456164340208977 3.522333299446796e-08
-5 -4.75 54 55 0.001176252617542435 3.273365743326935e-08
-5 -4.75 55 56 0.0009466412608911998 2.641334224788312e-08
-5 -4.75 56 57 0.0007588871671208839 2.398240154719272e-08
-5 -4.75 57 58 0.0006058750818309047 1.991440523704986e-08
-5 -4.75 58 59 0.000481628449787014 1.355017521158328e-08
-5 -4.75 59 60 0.0003811279283759738 1.153068166718629e-08
-5 -4.75 60 61 0.0003001732081257462 1.188751866702201e-08
-5 -4.75 61 62 0.0002352454850061216 9.844608260344391e-09
-5 -4.75 62 63 0.0001834090482226332 6.659147705885505e-09
-5 -4.75 63 64 0.0001422151948740044 5.258266930761087e-09
-5 -4.75 64 65 0.0001096347107644778 4.684304757209294e-09
-5 -4.75 65 66 8.399242409391791e-05 1.334768979588744e-09
-5 -4.75 66 67 6.391572406170447e-05 3.162570878965866e-09
-5 -4.75 67 68 4.828572332373538e-05 3.887645578181352e-10
-5 -4.75 68 69 3.619350419659609e-05 1.470354310447461e-11
-5 -4.75 69 70 2.690242117673848e-05 2.093592912999021e-10
-5 -4.75 70 71 1.981697805764018e-05 2.197158504363883e-10
-5 -4.75 71 72 1.445718035529276e-05 6.588812891771255e-10
-5 -4.75 72 73 1.043790663512052e-05 2.008117889011743e-10
-5 -4.75 73 74 7.45300627404353e-06 2.739212075776769e-10
-5 -4.75 74 75 5.258429259069515e-06 8.343915512219188e-11
-5 -4.75 75 76 3.662900605254831e-06 7.823677666827082e-11
-5 -4.75 76 77 2.516770807936503e-06 5.462872325809727e-11
-5 -4.75 77 78 1.704117601686838e-06 2.092630618811036e-11
-5 -4.75 78 79 1.135965915013543e-06 2.27709415840711e-11
-5 -4.75 79 80 7.447457487444432e-07 1.725699660183479e-11
-5 -4.75 80 81 4.797045131355901e-07 1.559001957854448e-11
-5 -4.75 81 82 3.032163033755872e-07 6.421475632292021e-12
-5 -4.75 82 83 1.878619873648788e-07 6.906365974333737e-12
-5 -4.75 83 84 1.139557090386965e-07 1.733506487043219e-12
-5 -4.75 84 85 6.758345788792084e-08 1.0404583138583e-12
-5 -4.75 85 86 3.909859660044016e-08 1.498370283703121e-12
-5 -4.75 86 87 2.196622724336129e-08 3.773063859132423e-13
-5 -4.75 87 88 1.187632209612137e-08 2.870568887366665e-13
-5 -4.75 88 89 6.072779571223236e-09 1.701080839191231e-13
-5 -4.75 89 90 2.847861154752915e-09 8.618276064011299e-14
-5 -4.75 90 91 1.165731018265718e-09 3.833598675849571e-14
-5 -4.75 91 92 3.86228018623311e-10 1.217328010131029e-14
-5 -4.75 92 93 9.08470486456776e-11 3.735338828253222e-15
-5 -4.75 93 94 1.139963332974943e-11 3.663539800617514e-16
-5 -4.75 94 95 3.330818279912274e-13 5.982943895974582e-18
-5 -4.75 95 96 2.019262630174881e-18 6.360390344306906e-23
-5 -4.75 96 97 0 0
-5 -4.75 97 98 0 0
-5 -4.75 98 99 0 0
-5 -4.75 99 100 0 0
-4.75 -4.5 0 1 168.241811312198 0.007980252582086678
-4.75 -4.5 1 2 429.4804806471508 0.002065470802449454
-4.75 -4.5 2 3 272.2979277264903 0.0015234132595765
-4.75 -4.5 3 4 187.2762733200522 0.001663928010742666
-4.75 -4.5 4 5 137.0052412719083 0.001544110930012721
-4.75 -4.5 5 6 104.5223782024564 0.001315547318398558
-4.75 -4.5 6 7 82.15448544292173 0.001069788891484791
-4.75 -4.5 7 8 66.02080179862456 0.0008570514255268336
-4.75 -4.5 8 9 53.96719137911171 0.0006856298817226048
-4.75 -4.5 9 10 44.71334935907208 0.00054649977224841
-4.75 -4.5 10 11 37.45273115476639 0.0004292387942683717
-4.75 -4.5 11 12 31.65298864569451 0.0003253387718835654
-4.75 -4.5 12 13 26.95234453689834 0.0002313058417406921
-4.75 -4.5 13 14 23.09487901665602 0.0001462059999219889
-4.75 -4.5 14 15 19.89564350956761 7.077480246309165e-05
