#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 6770.717491177723 0.1068626562018835
-5 -4 1 2 24238.27501730583 8.673992626390827
-5 -4 2 3 17375.34247952787 4.428864278801484
-5 -4 3 4 12570.23208789961 2.410070571753749
-5 -4 4 5 9507.044143990042 9.295984780246727
-5 -4 5 6 7445.914574565357 5.286957537568924
-5 -4 6 7 5987.180405000388 3.246897918643299
-5 -4 7 8 4912.450764118915 4.428554377406726
-5 -4 8 9 4095.462608730661 3.085774320747987
-5 -4 9 10 3458.367169784645 2.13410566006587
-5 -4 10 11 2951.300043049797 1.461995546694652
-5 -4 11 12 2540.807827911449 0.9901509142605391
-5 -4 12 13 2203.729579183695 0.6613804434032318
-5 -4 13 14 1923.588432949544 0.4342991572027586
-5 -4 14 15 1688.320724930191 0.2789927686262672
-5 -4 15 16 1488.941742453743 0.1739833548087972
-5 -4 16 17 1318.649553942489 0.1191669536738118
-5 -4 17 18 1172.183384003521 0.09104294106441557
-5 -4 18 19 1045.421560749711 0.06926589000067906
-5 -4 19 20 935.1068810458124 0.05221543862694489
-5 -4 20 21 838.6351296920867 0.03929854836735558
-5 -4 21 22 753.8935693821164 0.02935606901598931
-5 -4 22 23 679.1533428403096 0.02150669551974715
-5 -4 23 24 612.9919069952529 0.01522195381130587
-5 -4 24 25 554.2314593011764 0.01121930256897485
-5 -4 25 26 501.8888472799475 0.01050074061589612
-5 -4 26 27 455.1350826069311 0.009453305072440799
-5 -4 27 28 413.2673258576922 0.008281419687136804
-5 -4 28 29 375.6881575076416 0.007109187758487678
-5 -4 29 30 341.8931706760098 0.3113920894294893
-5 -4 30 31 311.4312286367972 0.2549764472891525
-5 -4 31 32 283.9315340740209 0.2087772633955183
-5 -4 32 33 259.0658344479105 0.1709442392790379
-5 -4 33 34 236.5483319769964 0.2206729937365424
-5 -4 34 35 216.1289072594302 0.1845724690664952
-5 -4 35 36 197.5888291637879 0.1527783471908606
-5 -4 36 37 180.7356584852449 0.1250877109491455
-5 -4 37 38 165.399882493952 0.101106363257685
-5 -4 38 39 151.4315600311303 0.08048127116461501
-5 -4 39 40 138.6975699320477 0.06254244592824421
-5 -4 40 41 127.0793199076725 0.0470573856933072
-5 -4 41 42 116.4711188614775 0.03379740901317518
-5 -4 42 43 106.7785467202065 0.02299940691065672
-5 -4 43 44 97.91702440159553 0.01879204252443856
-5 -4 44 45 89.81069760559745 0.01534770100678884
-5 -4 45 46 82.39135615365967 0.01252800223872441
-5 -4 46 47 75.59761637283749 0.01022062548601355
-5 -4 47 48 69.37411785920797 0.01235653453532848
-5 -4 48 49 63.67084856460765 0.01613020306504609
-5 -4 49 50 58.44250200666892 0.01914879806201952
-5 -4 50 51 53.66952876591372 0.03648224748660311
-5 -4 51 52 49.2501368779219 0.02330497246329344
-5 -4 52 53 45.21504092240221 0.02458236377789547
-5 -4 53 54 41.51195956362837 0.02542713604343305
-5 -4 54 55 38.1129204948485 0.02592910424667139
-5 -4 55 56 34.99243134768914 0.02612298984269046
-5 -4 56 57 32.12721556312054 0.02605812426374143
-5 -4 57 58 29.49605219020637 0.02578020620375554
-5 -4 58 59 27.07958842830907 0.02532887914330217
-5 -4 59 60 24.86011982245787 0.02473064183526219
-5 -4 60 61 22.82144101551455 0.002519616435023408
-5 -4 61 62 20.94871220971165 0.002371030546761688
-5 -4 62 63 19.22835195507572 0.002229510316727357
-5 -4 63 64 17.64791501962861 0.002094681303809409
-5 -4 64 65 16.19599581392697 0.001967320040929366
-5 -4 65 66 14.86215133835418 0.001846607150621793
-5 -4 66 67 13.63680557886714 0.001731140881236826
-5 -4 67 68 12.51115438140832 0.001621581805562045
-5 -4 68 69 11.47711088037663 0.001518588269920684
-5 -4 69 70 10.52726282865481 0.001421440997271262
-5 -4 70 71 9.654807273682808 0.001329499662221068
-5 -4 71 72 8.853490356360755 0.00124301265785931
-5 -4 72 73 8.117569153201199 0.001161240281518872
-5 -4 73 74 7.441761404307361 0.001084331082778611
-5 -4 74 75 6.821211614997805 0.001011651819306181
-5 -4 75 76 6.25145248890157 0.0009435273225060214
-5 -4 76 77 5.728377752445398 0.0008795722429137953
-5 -4 77 78 5.248213715355487 0.000819605117630573
-5 -4 78 79 4.807493125949108 0.0007636386239688875
-5 -4 79 80 4.403029525983979 0.0007107472225111877
-5 -4 80 81 4.031886023935888 0.0006612350976578085
-5 -4 81 82 3.691361240530326 0.0006149301985396427
-5 -4 82 83 3.378972069437144 0.0005718112395984853
-5 -4 83 84 3.092437249277854 0.0005313568244402767
-5 -4 84 85 2.829656823693872 0.0004935675584682997
-5 -4 85 86 2.588698970168834 0.0004582311879981482
-5 -4 86 87 2.367787004326647 0.0004253422551658836
-5 -4 87 88 2.165287457237743 0.0003945693165570141
-5 -4 88 89 1.979697189511105 0.0003658985557732919
-5 -4 89 90 1.809633965621256 0.0003391425865857389
-5 -4 90 91 1.653826065966917 0.0003142276244685327
-5 -4 91 92 1.511104348543357 0.000291096828265669
-5 -4 92 93 1.380395066387899 0.0002695594148363067
-5 -4 93 94 1.260710824649396 0.0002494671159678497
-5 -4 94 95 1.151143045439655 0.0002307893299999808
-5 -4 95 96 1.050856247028636 0.0002133966392179332
-5 -4 96 97 0.9590821226088279 0.0001972891022781198
-5 -4 97 98 0.8751155543298407 0.0001823570721891654
-5 -4 98 99 0.7983090277345338 0.0001684471522597208
-5 -4 99 100 0.7280669271080797 0.0001555746578105754
-4 -3.75 0.1 1 3075.42125904967 0.2207376977758031
-4 -3.75 1 2 21391.76242932952 13.36356284930298
-4 -3.75 2 3 17321.41351311952 8.63081450124082
-4 -3.75 3 4 13089.50596835141 11.75971398349066
-4 -3.75 4 5 10172.31550457508 9.039427250274457
-4 -3.75 5 6 8133.811399747314 5.268196917330897
-4 -3.75 6 7 6655.775453283118 3.269338075826454
-4 -3.75 7 8 5547.411707841106 2.156100338333999
-4 -3.75 8 9 4692.48766582557 1.733183481697779
-4 -3.75 9 10 4017.66508233984 2.1554515725079
-4 -3.75 10 11 3474.615852358517 2.42813470658848
-4 -3.75 11 12 3030.528162562296 2.602038524242289
-4 -3.75 12 13 2662.36299945773 0.4223542600002475
-4 -3.75 13 14 2353.542840905662 0.3223467937787063
-4 -3.75 14 15 2091.768559755315 2.086956735317472
-4 -3.75 15 16 1868.082828570035 1.722423420525956
-4 -3.75 16 17 1675.330912814972 1.422573011325767
-4 -3.75 17 18 1508.073378774138 1.175498806250062
-4 -3.75 18 19 1362.045936587291 0.9716566852180222
-4 -3.75 19 20 1233.845775539894 0.8033317919334877
-4 -3.75 20 21 1120.726478750836 0.6642925490482412
-4 -3.75 21 22 1020.456365065908 0.5494295207676032
-4 -3.75 22 23 931.2089549675538 0.4545202836450244
-4 -3.75 23 24 851.4764292827942 0.3760946593087056
-4 -3.75 24 25 779.9993829941195 0.3112896012555666
-4 -3.75 25 26 715.7179499378832 0.2577415417448492
-4 -3.75 26 27 657.7384971681688 0.2135081802946388
-4 -3.75 27 28 605.3029937288923 0.1769675338863408
-4 -3.75 28 29 557.7648564819012 0.1467797809249305
-4 -3.75 29 30 514.5694609591503 0.1218401265679177
-4 -3.75 30 31 475.2371103117885 0.1012342410239171
-4 -3.75 31 32 439.3519125043111 0.08420506324563348
-4 -3.75 32 33 406.5519988091721 0.07013336468469333
-4 -3.75 33 34 376.5214777898993 0.05850212641394137
-4 -3.75 34 35 348.9835923012926 0.04888408545434686
-4 -3.75 35 36 323.6949859914638 0.04092763129301602
-4 -3.75 36 37 300.4410832426047 0.03434224457288337
-4 -3.75 37 38 279.0314453393891 0.02888900008730388
-4 -3.75 38 39 259.2967115017367 0.02436963586546881
-4 -3.75 39 40 241.0860113526986 0.02062078940579681
-4 -3.75 40 41 224.2645333562336 0.01750863086516574
-4 -3.75 41 42 208.711763139602 0.01492207795047307
-4 -3.75 42 43 194.3193050858526 0.01276921416507548
-4 -3.75 43 44 180.9897922410954 0.01097510362174603
-4 -3.75 44 45 168.6353614715264 0.009477437360828844
-4 -3.75 45 46 157.1766630420095 0.008224890359429082
-4 -3.75 46 47 146.5418241594404 0.007174591934841601
-4 -3.75 47 48 136.6655539731855 0.006291788079863636
-4 -3.75 48 49 127.488392108654 0.005548099354243163
-4 -3.75 49 50 118.9563390333473 0.004919096419740754
-4 -3.75 50 51 111.0200382700561 0.004385271977724869
-4 -3.75 51 52 103.6344688512137 0.003930702878122361
-4 -3.75 52 53 96.7584591896305 0.003541965373827338
-4 -3.75 53 54 90.35427194126216 0.003208135593638417
-4 -3.75 54 55 84.38730949714386 0.00304209411417844
-4 -3.75 55 56 78.82580543210345 0.002971702478575367
-4 -3.75 56 57 73.63810332527935 0.07304972790024067
-4 -3.75 57 58 68.80238771624782 0.06526599113180964
-4 -3.75 58 59 64.29118809289108 0.05830306937635044
-4 -3.75 59 60 60.08165974076777 0.05207343948671195
-4 -3.75 60 61 56.15263977010769 0.04649954810519574
-4 -3.75 61 62 52.48463405616123 0.04151201021795003
-4 -3.75 62 63 49.05959690213215 0.03704953238759856
-4 -3.75 63 64 45.86080060869143 0.03305729658512746
-4 -3.75 64 65 42.87277029206073 0.02948521157604489
-4 -3.75 65 66 40.08117374864914 0.02628895531064046
-4 -3.75 66 67 37.47269831187669 0.02343012610368334
-4 -3.75 67 68 35.03500089435661 0.02087241030005771
-4 -3.75 68 69 32.75661615882817 0.01858467911386441
-4 -3.75 69 70 30.62689436946088 0.01653910877748999
-4 -3.75 70 71 28.63593253031999 0.01470987710943916
-4 -3.75 71 72 26.7745071600136 0.01307441746213911
-4 -3.75 72 73 25.03404389344846 0.01161271305819866
-4 -3.75 73 74 23.40655816032496 0.01030629541427786
-4 -3.75 74 75 21.88460676789605 0.009139117357729987
-4 -3.75 75 76 20.4612587324876 0.00809685393818782
-4 -3.75 76 77 19.13006005693613 0.007166242760270336
-4 -3.75 77 78 17.88499112224498 0.00633564268396114
-4 -3.75 78 79 16.72042817833668 0.005594694847715687
-4 -3.75 79 80 15.63112895614208 0.004934126690876894
-4 -3.75 80 81 14.61220782019121 0.004344966717381382
-4 -3.75 81 82 13.65910329483784 0.003820125404930153
-4 -3.75 82 83 12.7675509925108 0.003353398157921461
-4 -3.75 83 84 11.933572709214 0.002937824244430232
-4 -3.75 84 85 11.15344692231101 0.002568160003427522
-4 -3.75 85 86 10.42370106795395 0.002240048793320071
-4 -3.75 86 87 9.74108750449702 0.001948951115231523
-4 -3.75 87 88 9.102572851945473 0.001690391454888029
-4 -3.75 88 89 8.505318823383291 0.001513236936437679
-4 -3.75 89 90 7.946670818347958 0.001473345043856433
-4 -3.75 90 91 7.424150566298526 0.001434059634249252
-4 -3.75 91 92 6.935440856777723 0.001394703760783322
-4 -3.75 92 93 6.47837009957103 0.001354669663836461
-4 -3.75 93 94 6.050908052299305 0.001314489968792465
-4 -3.75 94 95 5.651155357435671 0.001274319152801517
-4 -3.75 95 96 5.277331272394437 0.001233058206534743
-4 -3.75 96 97 4.927769320928526 0.001191762802245755
-4 -3.75 97 98 4.600915157559902 0.001150481688390492
-4 -3.75 98 99 4.295315627345872 0.001108832907482871
-4 -3.75 99 100 4.00960582425992 0.001067644591120853
-3.75 -3.5 0.1 1 845.3773282435932 0.3078187242259673
-3.75 -3.5 1 2 26478.63249685715 23.64733978666482
-3.75 -3.5 2 3 23234.77140362828 9.102083741705428
-3.75 -3.5 3 4 17990.36466950244 6.129219328671752
-3.75 -3.5 4 5 14177.68238683723 12.1311945973157
-3.75 -3.5 5 6 11451.31835499829 7.08733606685928
-3.75 -3.5 6 7 9447.411014301899 4.462324438854921
-3.75 -3.5 7 8 7930.202186708469 2.932484564935294
-3.75 -3.5 8 9 6751.475462414457 2.025145244867417
-3.75 -3.5 9 10 5815.414569276226 1.431860428527216
-3.75 -3.5 10 11 5057.861565984854 5.029167196138587
-3.75 -3.5 11 12 4436.114577248929 4.126023932555654
-3.75 -3.5 12 13 3918.487729315876 3.395444039892027
-3.75 -3.5 13 14 3482.617658219875 2.800215444324749
-3.75 -3.5 14 15 3111.90713929393 2.312747566779308
-3.75 -3.5 15 16 2793.848611759245 2.697951808898779
-3.75 -3.5 16 17 2518.811060170595 2.269515266189501
-3.75 -3.5 17 18 2279.366042883881 1.908576086178073
-3.75 -3.5 18 19 2069.611039791686 1.600142397573109
-3.75 -3.5 19 20 1884.833109204247 1.331670834214492
-3.75 -3.5 20 21 1721.240812658378 1.0957326310197
-3.75 -3.5 21 22 1575.750781061186 0.8927158996773414
-3.75 -3.5 22 23 1445.820557768644 0.7161721037180087
-3.75 -3.5 23 24 1329.338016501381 0.5608391871373897
-3.75 -3.5 24 25 1224.545295215183 0.4240773843655461
-3.75 -3.5 25 26 1129.966105320122 0.3027338255133145
-3.75 -3.5 26 27 1044.353131778764 0.2429632397058867
-3.75 -3.5 27 28 966.6442386635952 0.2020779573603022
-3.75 -3.5 28 29 895.9310994892575 0.1682569778961351
-3.75 -3.5 29 30 831.4313443751051 0.1402815246295859
-3.75 -3.5 30 31 772.4687244628561 0.1207857545806519
-3.75 -3.5 31 32 718.4582409092166 0.1791417808206006
-3.75 -3.5 32 33 668.8911707909014 0.2308924307263851
-3.75 -3.5 33 34 623.3224926613763 0.276354831112144
-3.75 -3.5 34 35 581.3609949418375 0.31618745414778
