#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 18320.94426806859 1.042351741583843
-5 -4 1 2 71331.35824314792 5.78528588473273
-5 -4 2 3 52641.30605983805 4.874852145330806
-5 -4 3 4 38523.27178352782 2.715714119840413
-5 -4 4 5 29358.77092533128 1.435357801230566
-5 -4 5 6 23134.84077307833 0.6833034911942377
-5 -4 6 7 18702.62571024634 0.2712716218702553
-5 -4 7 8 15421.83384961759 1.262981899484657
-5 -4 8 9 12917.45813291458 0.5194759575933858
-5 -4 9 10 10957.66773909711 0.05839487135926902
-5 -4 10 11 9392.751120449924 0.4082557335514139
-5 -4 11 12 8121.929191224734 0.7017755513406883
-5 -4 12 13 7075.196600116584 0.0437389254620939
-5 -4 13 14 6202.69143720282 0.5870431471430493
-5 -4 14 15 5467.721737717437 0.3752631047336763
-5 -4 15 16 4843.002247877587 0.2306889447854701
-5 -4 16 17 4307.81331159087 0.3957228821727767
-5 -4 17 18 3846.109240727353 0.307885214430371
-5 -4 18 19 3445.294721042885 0.2394417110008362
-5 -4 19 20 3095.400346462068 0.1853220011407757
-5 -4 20 21 2788.446769023649 0.1437955200208307
-5 -4 21 22 2517.953415888357 0.1116201124164036
-5 -4 22 23 2278.607821249507 0.08591397935924761
-5 -4 23 24 2066.033150589752 0.06512482584321333
-5 -4 24 25 1876.600605226217 0.04825219433405437
-5 -4 25 26 1707.278027327636 0.03490490891999798
-5 -4 26 27 1555.505786454748 0.02442897032324254
-5 -4 27 28 1419.110379945848 0.01600423219429103
-5 -4 28 29 1296.241665526505 0.01367245571964304
-5 -4 29 30 1185.317099644404 0.01151275591291778
-5 -4 30 31 1084.976469004181 0.009571918190886208
-5 -4 31 32 994.0451161198209 0.007867526695576998
-5 -4 32 33 911.5014108952755 0.007646752362120424
-5 -4 33 34 836.4542397406437 0.009825121686731109
-5 -4 34 35 768.123532079878 0.01155938061106099
-5 -4 35 36 705.8251549330303 0.01290334365910439
-5 -4 36 37 648.9568868324933 0.01391657742226471
-5 -4 37 38 596.9871119116276 0.01467562420850754
-5 -4 38 39 549.4451560880076 0.01516655765340147
-5 -4 39 40 505.9122512716995 0.01545057052379661
-5 -4 40 41 466.0148927266899 0.01556369715899564
-5 -4 41 42 429.4194398819183 0.01556358916292311
-5 -4 42 43 395.8273013925261 0.01544542248785774
-5 -4 43 44 364.9705362164748 0.01524395313089144
-5 -4 44 45 336.6082708783077 0.03133565533914862
-5 -4 45 46 310.5235099660846 0.02591466721969482
-5 -4 46 47 286.5206012652291 0.02144678465322158
-5 -4 47 48 264.4226156435394 0.01776414067808219
-5 -4 48 49 244.0693103056181 0.01472770606295626
-5 -4 49 50 225.3151984379683 0.01299057565822181
-5 -4 50 51 208.0280477427807 0.01251791171580408
-5 -4 51 52 192.0875348879401 0.0120444606454555
-5 -4 52 53 177.3841370451556 0.0115595020743342
-5 -4 53 54 163.8179090234441 0.01108352514495436
-5 -4 54 55 151.2977036593063 0.01061065263706951
-5 -4 55 56 139.7402330716527 0.01013633594402563
-5 -4 56 57 129.0691711048759 0.009672406973834313
-5 -4 57 58 119.2146581533667 0.009226085052503663
-5 -4 58 59 110.1128036953643 0.00878627706838131
-5 -4 59 60 101.7049482992563 0.008355315245310635
-5 -4 60 61 93.93717455093058 0.007939470922551095
