#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 21.12218471671405 0.0004079760077004835
-5 -4.75 1 2 36.51072779274988 0.0009303442103245629
-5 -4.75 2 3 21.5504887582997 0.0005185131107943164
-5 -4.75 3 4 14.24365013171869 0.0003320388453040835
-5 -4.75 4 5 10.09875082352226 0.0002280809295633901
-5 -4.75 5 6 7.492363832042946 0.0001643789673195784
-5 -4.75 6 7 5.736135829038111 0.0001217076648165616
-5 -4.75 7 8 4.493409173108743 9.319739891022749e-05
-5 -4.75 8 9 3.581548309780192 7.206711237728314e-05
-5 -4.75 9 10 2.893594560364423 5.686793755810271e-05
-5 -4.75 10 11 2.363024866349051 4.520082507752932e-05
-5 -4.75 11 12 1.946538643414176 3.707570241684444e-05
-5 -4.75 12 13 1.614817744875267 2.978632029737582e-05
-5 -4.75 13 14 1.347403006248346 2.481511445884266e-05
-5 -4.75 14 15 1.12964162892569 2.05406241984285e-05
-5 -4.75 15 16 0.9507845971098615 3.328277899228294e-05
-5 -4.75 16 17 0.8028097375912614 1.409195152179965e-05
-5 -4.75 17 18 0.679628221673116 1.382777442349159e-05
-5 -4.75 18 19 0.5765421623176005 2.620156000232576e-05
-5 -4.75 19 20 0.4898844919069928 8.050855000885093e-06
-5 -4.75 20 21 0.4167613243349421 6.796479658732757e-06
-5 -4.75 21 22 0.3548625936670329 5.648872510199965e-06
-5 -4.75 22 23 0.3023257805529042 4.667802851243685e-06
-5 -4.75 23 24 0.2576376406179224 4.049549706397482e-06
-5 -4.75 24 25 0.219559612864468 3.494932078990098e-06
-5 -4.75 25 26 0.1870706060191057 3.023156456505305e-06
-5 -4.75 26 27 0.1593225311256265 2.625644793613491e-06
-5 -4.75 27 28 0.1356074298797168 2.25748318369301e-06
-5 -4.75 28 29 0.1153312936425797 1.946783161746457e-06
-5 -4.75 29 30 0.09799345800169425 1.691245001614328e-06
-5 -4.75 30 31 0.08317014251371142 1.46400244152578e-06
-5 -4.75 31 32 0.07050128209301965 1.265320777557588e-06
-5 -4.75 32 33 0.05967983194606009 1.088688507802638e-06
-5 -4.75 33 34 0.05044342285944827 9.48488415468407e-07
-5 -4.75 34 35 0.04256732217236454 8.314235913978174e-07
-5 -4.75 35 36 0.0358586345916993 7.609509604794562e-07
-5 -4.75 36 37 0.03015158714390056 6.969647204646545e-07
-5 -4.75 37 38 0.02530352666860567 6.461669375609769e-07
-5 -4.75 38 39 0.02119155107530397 5.991098920021809e-07
-5 -4.75 39 40 0.01770977980344471 5.62622533624435e-07
-5 -4.75 40 41 0.01476694844959915 5.265721583040672e-07
-5 -4.75 41 42 0.01228443866533557 4.947807131245457e-07
-5 -4.75 42 43 0.01019450787498051 4.660031814717608e-07
-5 -4.75 43 44 0.008438862794591046 2.018081523159215e-07
-5 -4.75 44 45 0.00696735332514558 1.710703793423099e-07
-5 -4.75 45 46 0.005736891305319425 1.464200476914215e-07
-5 -4.75 46 47 0.00471051310250385 1.237279556734819e-07
-5 -4.75 47 48 0.003856539620897337 1.036358274388721e-07
-5 -4.75 48 49 0.003147890374499024 8.8097960060287e-08
-5 -4.75 49 50 0.00256143335259677 7.492532503282356e-08
-5 -4.75 50 51 0.002077474323796633 6.179104274431357e-08
-5 -4.75 51 52 0.001679262985531129 5.285224615489241e-08
-5 -4.75 52 53 0.001352597138863364 4.307091541473455e-08
-5 -4.75 53 54 0.001085462053622296 3.681536638413564e-08
-5 -4.75 54 55 0.0008677167061329895 3.047721818774836e-08
-5 -4.75 55 56 0.0006908296703918213 2.520407998822007e-08
-5 -4.75 56 57 0.0005476394852667513 2.084911635003017e-08
-5 -4.75 57 58 0.0004321555134289311 1.707680292610319e-08
-5 -4.75 58 59 0.0003393778985683731 1.42453048368853e-08
-5 -4.75 59 60 0.0002651488355504442 1.172187309543549e-08
-5 -4.75 60 61 0.0002060195264675499 9.471933216633139e-09
-5 -4.75 61 62 0.0001591374856753583 7.617137007812557e-09
-5 -4.75 62 63 0.0001221529996531568 2.095403497525024e-10
-5 -4.75 63 64 9.313323156189072e-05 1.667667838675321e-10
-5 -4.75 64 65 7.049548232603735e-05 1.057503740337692e-10
-5 -4.75 65 66 5.294703318326869e-05 6.431724599388405e-11
-5 -4.75 66 67 3.943588474614496e-05 3.045886481402305e-11
-5 -4.75 67 68 2.910925870378616e-05 1.19736295632947e-11
-5 -4.75 68 69 2.127895193751917e-05 1.698761630360623e-11
-5 -4.75 69 70 1.5392140760673e-05 9.899350670385153e-12
-5 -4.75 70 71 1.100748781863187e-05 8.958529859438651e-12
-5 -4.75 71 72 7.774510879276058e-06 6.406263022097408e-12
-5 -4.75 72 73 5.41687888814468e-06 8.560118862997582e-12
-5 -4.75 73 74 3.718244249028258e-06 6.724732492744274e-12
-5 -4.75 74 75 2.510564118694057e-06 4.769720631744064e-12
-5 -4.75 75 76 1.66445785633941e-06 5.393582569966559e-12
-5 -4.75 76 77 1.081257202195873e-06 3.575434387027872e-12
-5 -4.75 77 78 6.865309784297336e-07 2.579251793710526e-12
-5 -4.75 78 79 4.247881788101616e-07 2.052682220114253e-12
