#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 17.57250772626548 0.0007220050748877327
-5 -4.75 1 2 39.04310676430381 0.0004354766190317605
-5 -4.75 2 3 24.43373030278466 0.0009304487946870665
-5 -4.75 3 4 16.50623530949445 0.0002075394574170275
-5 -4.75 4 5 11.84974358470203 0.0001869392886533205
-5 -4.75 5 6 8.866768365218434 0.0001522429641038769
-5 -4.75 6 7 6.832417069123472 0.0001216798832395227
-5 -4.75 7 8 5.380199996872261 9.858215511648893e-05
-5 -4.75 8 9 4.307453646931423 8.129773184339939e-05
-5 -4.75 9 10 3.493490441065445 6.885668936273959e-05
-5 -4.75 10 11 2.862863397399711 5.958089780921938e-05
-5 -4.75 11 12 2.365764604677255 5.199221665064258e-05
-5 -4.75 12 13 1.968384364038915 4.448212198560064e-05
-5 -4.75 13 14 1.647020645073123 3.588112005803445e-05
-5 -4.75 14 15 1.384526483808103 2.679080663070543e-05
-5 -4.75 15 16 1.168317210965906 5.487142292426306e-05
-5 -4.75 16 17 0.9889908517084371 1.925210190989457e-05
-5 -4.75 17 18 0.839336255406814 1.156608560959338e-05
-5 -4.75 18 19 0.7138007490180771 2.299718632914338e-05
-5 -4.75 19 20 0.6080273322880407 6.964521148233871e-06
-5 -4.75 20 21 0.518574866469024 5.513082560915095e-06
-5 -4.75 21 22 0.442684248594268 4.884657193504616e-06
-5 -4.75 22 23 0.3781261991374977 4.924074989642868e-06
-5 -4.75 23 24 0.3230934725746089 4.605083914699382e-06
-5 -4.75 24 25 0.2760979606493026 1.229677351805014e-05
-5 -4.75 25 26 0.2359036933882249 8.088770319492067e-06
-5 -4.75 26 27 0.2014938630676813 4.810677426192456e-06
-5 -4.75 27 28 0.1720143954412184 2.186126090514273e-06
-5 -4.75 28 29 0.1467479468437501 1.001568096709038e-06
-5 -4.75 29 30 0.1250870496747331 1.570215595048108e-06
-5 -4.75 30 31 0.1065187867064356 2.26072700716673e-06
-5 -4.75 31 32 0.09060630804287857 2.540737369827184e-06
-5 -4.75 32 33 0.0769755358870684 2.453256537568449e-06
-5 -4.75 33 34 0.06530656202839348 2.306153271139366e-06
-5 -4.75 34 35 0.05532538694180677 1.929354768559488e-06
-5 -4.75 35 36 0.04679629947418513 1.419466596312702e-06
-5 -4.75 36 37 0.03951637215403018 9.71701767146782e-07
-5 -4.75 37 38 0.03331062578787199 7.949176336757846e-07
-5 -4.75 38 39 0.02802801463570345 9.153698320683856e-07
-5 -4.75 39 40 0.02353804003608199 6.445767256890722e-07
-5 -4.75 40 41 0.01972781623583306 2.838677616509577e-07
-5 -4.75 41 42 0.01650010851536651 3.118789707462488e-07
-5 -4.75 42 43 0.01377118183221913 3.053524303409105e-07
-5 -4.75 43 44 0.01146809850250739 2.672429267828319e-07
-5 -4.75 44 45 0.009528232118688657 2.831947770263327e-07
-5 -4.75 45 46 0.007897843100590113 2.50034010693817e-07
-5 -4.75 46 47 0.006530398227571782 1.469009647406608e-07
-5 -4.75 47 48 0.00538601429779287 1.599111839932846e-07
-5 -4.75 48 49 0.004430555586626146 1.26681011237452e-07
-5 -4.75 49 50 0.003634659716928015 8.941304954334511e-08
-5 -4.75 50 51 0.002973274707928929 9.312216149017991e-08
-5 -4.75 51 52 0.002425058654246112 1.002823015248781e-07
-5 -4.75 52 53 0.001971785485799467 8.186855109853022e-08
-5 -4.75 53 54 0.001598011183015624 3.926669231153583e-08
-5 -4.75 54 55 0.001290643641391765 3.727249517707087e-08
-5 -4.75 55 56 0.001038602203896429 3.072992011549092e-08
-5 -4.75 56 57 0.0008325472849567728 2.819477138956208e-08
-5 -4.75 57 58 0.0006646196298154836 2.291500941894922e-08
-5 -4.75 58 59 0.0005282285143320424 1.535922000402232e-08
-5 -4.75 59 60 0.0004178470012388064 1.312000847515041e-08
-5 -4.75 60 61 0.0003288612819817875 1.347182839204564e-08
-5 -4.75 61 62 0.0002574205927018668 1.145831741896633e-08
-5 -4.75 62 63 0.0002003266472795434 7.789074302997365e-09
-5 -4.75 63 64 0.0001549214518154079 6.053359172372621e-09
-5 -4.75 64 65 0.0001190049063011878 5.352344200390113e-09
-5 -4.75 65 66 9.075712629459617e-05 1.291313724745562e-09
-5 -4.75 66 67 6.867907685166186e-05 8.723533106140156e-10
-5 -4.75 67 68 5.153917711199795e-05 2.328776676433896e-10
-5 -4.75 68 69 3.832939715576262e-05 2.240426101476727e-10
-5 -4.75 69 70 2.822861433423275e-05 4.616216388397094e-10
-5 -4.75 70 71 2.057117940131138e-05 4.780367464314638e-10
-5 -4.75 71 72 1.481985034332837e-05 1.710304554247986e-10
-5 -4.75 72 73 1.054365389556292e-05 1.522947240560136e-10
-5 -4.75 73 74 7.399318940024732e-06 2.238586272994224e-10
-5 -4.75 74 75 5.115214287379167e-06 5.888715295789893e-11
-5 -4.75 75 76 3.478070518221679e-06 9.245627521748022e-11
