#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 20.27670785110235 0.000146522364708801
-5 -4.75 1 2 37.44951365389537 0.0005283569353622397
-5 -4.75 2 3 22.47815180797905 0.0008049696850669363
-5 -4.75 3 4 14.98649370204713 0.0007295543475809296
-5 -4.75 4 5 10.69471977396587 0.0001639905189581015
-5 -4.75 5 6 7.978417609709415 0.0001332387131807167
-5 -4.75 6 7 6.138790238302017 0.0001066161467964122
-5 -4.75 7 8 4.831231088756556 8.598872989118433e-05
-5 -4.75 8 9 3.867937693495043 7.02447365372727e-05
-5 -4.75 9 10 3.138304586300293 5.875617123018984e-05
-5 -4.75 10 11 2.573537951684057 5.019049370558193e-05
-5 -4.75 11 12 2.128569013857289 4.328602861125574e-05
-5 -4.75 12 13 1.772886771258604 3.665953943854383e-05
-5 -4.75 13 14 1.485157320106991 2.929820879593592e-05
-5 -4.75 14 15 1.25002039899061 2.168953071302049e-05
-5 -4.75 15 16 1.056211170402722 1.464176914711679e-05
-5 -4.75 16 17 0.8953148735384846 2.133781001567581e-05
-5 -4.75 17 18 0.7609059912634987 9.725556059714258e-06
-5 -4.75 18 19 0.6480302901900054 1.679302812995775e-05
-5 -4.75 19 20 0.5528085778011569 2.730925416938312e-05
-5 -4.75 20 21 0.4721736604351153 4.899158841775719e-06
-5 -4.75 21 22 0.4036701493105597 4.358365621515148e-06
-5 -4.75 22 23 0.3453148248991783 4.313288077928412e-06
-5 -4.75 23 24 0.2954962394474936 3.990505527851074e-06
-5 -4.75 24 25 0.252890534819015 1.114588638739811e-05
-5 -4.75 25 26 0.2163961480348583 7.365609668213979e-06
-5 -4.75 26 27 0.1851058420030129 4.52174365109248e-06
-5 -4.75 27 28 0.1582577454613315 2.260065610798501e-06
-5 -4.75 28 29 0.1352109699302273 9.61810513927519e-07
-5 -4.75 29 30 0.1154226277906338 1.414845183539404e-06
-5 -4.75 30 31 0.09843312100679857 1.967539309338795e-06
-5 -4.75 31 32 0.08385072388517481 2.010124843063177e-06
-5 -4.75 32 33 0.07133985782449298 1.960536369638444e-06
-5 -4.75 33 34 0.0606130998141259 1.859728621135537e-06
-5 -4.75 34 35 0.05142374069503675 1.552547534006132e-06
-5 -4.75 35 36 0.04355918294900559 1.115587826623632e-06
-5 -4.75 36 37 0.03683606391419299 7.554928162928354e-07
-5 -4.75 37 38 0.03109608814479525 7.083436583052438e-07
-5 -4.75 38 39 0.02620247510241994 7.828907629646442e-07
-5 -4.75 39 40 0.02203683318073877 5.490183399570192e-07
-5 -4.75 40 41 0.0184964976144058 2.53796387437305e-07
-5 -4.75 41 42 0.01549283561069987 2.426497496526431e-07
-5 -4.75 42 43 0.01294942579897231 2.490802485169419e-07
-5 -4.75 43 44 0.01079964723579783 2.435529124836244e-07
-5 -4.75 44 45 0.008986182550916481 2.530509232174377e-07
-5 -4.75 45 46 0.007459721099588279 2.160477916958795e-07
-5 -4.75 46 47 0.006177492454191287 1.294939718484225e-07
-5 -4.75 47 48 0.005102783458062356 1.339536383170026e-07
-5 -4.75 48 49 0.004204117629988116 1.05518081306398e-07
-5 -4.75 49 50 0.00345437472187373 7.490271243699997e-08
-5 -4.75 50 51 0.002830373631511577 8.354995573211024e-08
-5 -4.75 51 52 0.002312328103568097 8.757615908329408e-08
-5 -4.75 52 53 0.001883313978837992 6.948681550360096e-08
-5 -4.75 53 54 0.001528966492054172 6.826108670562707e-08
-5 -4.75 54 55 0.001237085352987299 3.440896262710269e-08
-5 -4.75 55 56 0.0009973332235738059 2.819904705618839e-08
-5 -4.75 56 57 0.0008009810860798575 2.618866560969487e-08
-5 -4.75 57 58 0.0006406701179862799 2.11964111596942e-08
-5 -4.75 58 59 0.0005102194682160629 1.448279219370529e-08
-5 -4.75 59 60 0.0004044390792915394 1.240600722179257e-08
-5 -4.75 60 61 0.0003189895301940036 1.249906860282222e-08
-5 -4.75 61 62 0.0002502440460011834 1.068530919686372e-08
