#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 26.64874878143325 0.00037020558704981
-5 -4.75 1 2 41.2967599505908 0.001008953221351305
-5 -4.75 2 3 23.25753587424863 0.00103543528276262
-5 -4.75 3 4 15.08695727806848 0.0001964669245921868
-5 -4.75 4 5 10.58132229055539 0.0001659033776526542
-5 -4.75 5 6 7.792862066102217 0.0001306041225115351
-5 -4.75 6 7 5.933832061021198 0.0001019074160621969
-5 -4.75 7 8 4.628585870958152 8.126895563975722e-05
-5 -4.75 8 9 3.676809409755548 6.653362266018092e-05
-5 -4.75 9 10 2.962232242230638 5.629788654015755e-05
-5 -4.75 10 11 2.413524875281836 4.883172146374903e-05
-5 -4.75 11 12 1.9843156327937 4.263751603117427e-05
-5 -4.75 12 13 1.643513268251805 3.636196977319095e-05
-5 -4.75 13 14 1.369553159340916 2.915681039761253e-05
-5 -4.75 14 15 1.146976793984792 2.156744868231364e-05
-5 -4.75 15 16 0.9645348147158143 2.149974256926424e-05
-5 -4.75 16 17 0.8138849517541908 1.202745212736112e-05
-5 -4.75 17 18 0.6886693138973642 2.039737888370752e-05
-5 -4.75 18 19 0.5840264200121493 7.770251444716436e-06
-5 -4.75 19 20 0.4961612683310848 5.814035494933201e-06
-5 -4.75 20 21 0.4220942772842312 4.585010134283696e-06
-5 -4.75 21 22 0.3594472985097391 4.072829584811366e-06
-5 -4.75 22 23 0.3063078311649389 4.104897468604207e-06
-5 -4.75 23 24 0.2611358459552833 1.274677919005374e-05
-5 -4.75 24 25 0.2226554854172958 8.399269478903681e-06
-5 -4.75 25 26 0.1898293769810313 5.198936312816871e-06
-5 -4.75 26 27 0.1617956896889166 2.688844381398825e-06
-5 -4.75 27 28 0.1378353393716001 9.321925358019012e-07
-5 -4.75 28 29 0.1173464542926316 8.553112143816488e-07
-5 -4.75 29 30 0.09982093012955021 1.598942459435371e-06
-5 -4.75 30 31 0.08483099916501345 2.268947875957994e-06
-5 -4.75 31 32 0.07201317716628307 2.493898648953108e-06
-5 -4.75 32 33 0.06105709004237805 2.351111063891853e-06
-5 -4.75 33 34 0.05169795394433541 2.143306943688805e-06
-5 -4.75 34 35 0.04370956990647756 1.780892316886884e-06
-5 -4.75 35 36 0.03689782296012394 1.338439977592587e-06
-5 -4.75 36 37 0.0310960003304614 9.348495574323934e-07
-5 -4.75 37 38 0.02616071178675839 6.333256188685576e-07
-5 -4.75 38 39 0.02196840439337792 7.386274568366158e-07
-5 -4.75 39 40 0.01841255389718954 5.154964220696612e-07
-5 -4.75 40 41 0.01540134245764276 3.051159228155409e-07
-5 -4.75 41 42 0.01285585998225946 3.208714822473119e-07
-5 -4.75 42 43 0.01070821644161977 2.959229683137388e-07
-5 -4.75 43 44 0.00889949769803215 2.329340191998402e-07
-5 -4.75 44 45 0.007379213252292322 2.211745988075359e-07
-5 -4.75 45 46 0.006104122087617597 2.064068742443567e-07
-5 -4.75 46 47 0.005036919777334409 1.444204473779673e-07
-5 -4.75 47 48 0.004145678532052778 1.488404723585385e-07
-5 -4.75 48 49 0.003403132091340905 1.206381413029756e-07
-5 -4.75 49 50 0.002785902223251994 8.849729219188515e-08
-5 -4.75 50 51 0.002274078373096799 8.799033192384911e-08
-5 -4.75 51 52 0.001850741142526516 8.501956366203413e-08
