#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 15.38368750100127 0.0004438636559296327
-5 -4.75 1 2 36.31545544844851 0.0004956380783340819
-5 -4.75 2 3 23.20904922642595 0.0007700474514571454
-5 -4.75 3 4 15.82315659240067 0.0007536426506202787
-5 -4.75 4 5 11.42982473623909 0.0001755858685719147
-5 -4.75 5 6 8.594311135939508 0.0001447870210284918
-5 -4.75 6 7 6.650022829922666 0.0001169636962501386
-5 -4.75 7 8 5.255956447931981 9.505459494985047e-05
-5 -4.75 8 9 4.222162638398045 7.80932025410408e-05
-5 -4.75 9 10 3.435048998297382 6.559899083402598e-05
-5 -4.75 10 11 2.823223210383134 5.621678281375608e-05
-5 -4.75 11 12 2.339483414401324 4.865351877159085e-05
-5 -4.75 12 13 1.951665136568685 4.137737870135716e-05
-5 -4.75 13 14 1.637150954301059 3.320468256862164e-05
-5 -4.75 14 15 1.379567904819301 2.46958476721737e-05
-5 -4.75 15 16 1.166859261878709 1.67850881691578e-05
-5 -4.75 16 17 0.9899874954628061 3.159935265495406e-05
-5 -4.75 17 18 0.8420238655802306 1.094797986356255e-05
-5 -4.75 18 19 0.7176113566198513 1.399121573808504e-05
-5 -4.75 19 20 0.6125431900268451 2.676470419038512e-05
-5 -4.75 20 21 0.5234853248758549 5.517879455574359e-06
-5 -4.75 21 22 0.4477622080842418 4.898968102517998e-06
-5 -4.75 22 23 0.3832082066137536 4.859171072235657e-06
-5 -4.75 23 24 0.3280610045683152 4.499392799117707e-06
-5 -4.75 24 25 0.2808698098285979 1.277310893460504e-05
-5 -4.75 25 26 0.240425520369515 8.515424121502413e-06
-5 -4.75 26 27 0.2057313378753424 5.310924345525159e-06
-5 -4.75 27 28 0.1759490381104853 2.741813108969593e-06
-5 -4.75 28 29 0.1503727478838831 1.055439251135271e-06
-5 -4.75 29 30 0.1284037924771399 1.574182304231453e-06
-5 -4.75 30 31 0.1095350863170051 2.230805889291698e-06
-5 -4.75 31 32 0.09333409832811705 2.29411669237789e-06
-5 -4.75 32 33 0.07942991422052977 2.119521413046499e-06
-5 -4.75 33 34 0.06750466934822019 2.032001164053998e-06
-5 -4.75 34 35 0.05728538761718044 1.70248792929345e-06
-5 -4.75 35 36 0.04853672397687216 1.220026048340261e-06
-5 -4.75 36 37 0.04105562217334834 8.276177077409796e-07
-5 -4.75 37 38 0.0346666588738845 8.076946644286487e-07
-5 -4.75 38 39 0.02921819558741616 8.888648393191867e-07
-5 -4.75 39 40 0.02457895670220162 6.233733271174269e-07
-5 -4.75 40 41 0.02063502002403375 2.907955952320684e-07
-5 -4.75 41 42 0.01728801496219744 2.581178734709089e-07
-5 -4.75 42 43 0.01445313875402158 2.692740405322441e-07
-5 -4.75 43 44 0.01205636865987188 2.80125228568906e-07
-5 -4.75 44 45 0.01003401862977194 2.884734198790179e-07
-5 -4.75 45 46 0.008331303912639379 2.447674513784276e-07
-5 -4.75 46 47 0.00690065864516883 1.465497828333218e-07
-5 -4.75 47 48 0.005701256640542516 1.462363146938553e-07
-5 -4.75 48 49 0.004698085726249497 1.139612660055328e-07
-5 -4.75 49 50 0.003860956236054826 8.25082014585532e-08
-5 -4.75 50 51 0.003164064391426749 9.39275108273116e-08
-5 -4.75 51 52 0.00258537710734045 1.000104032302003e-07
-5 -4.75 52 53 0.002106038035052651 7.554907588587512e-08
-5 -4.75 53 54 0.001710042695988852 7.427835064599889e-08
-5 -4.75 54 55 0.001383790644874678 3.936512215328702e-08
-5 -4.75 55 56 0.001115754286334607 3.199128873550457e-08
-5 -4.75 56 57 0.0008961980473112211 3.007928187071223e-08
-5 -4.75 57 58 0.000716910816098922 2.420329323678944e-08
-5 -4.75 58 59 0.0005709949464167976 1.65578453180425e-08
-5 -4.75 59 60 0.0004526560344636291 1.427258091476601e-08
-5 -4.75 60 61 0.0003570481195170161 1.418630663478247e-08
-5 -4.75 61 62 0.0002801200315765346 1.220840564254179e-08
-5 -4.75 62 63 0.0002184991268351631 8.458631973128593e-09
-5 -4.75 63 64 0.0001693776086454626 6.601084926637297e-09
-5 -4.75 64 65 0.0001304266047637887 5.779315369395773e-09
-5 -4.75 65 66 9.971576425002151e-05 1.264577637266964e-09
-5 -4.75 66 67 7.565109066274124e-05 8.493505793838061e-10
-5 -4.75 67 68 5.691969151775481e-05 2.261121360134545e-10
-5 -4.75 68 69 4.244434166198792e-05 2.533048331228001e-10
-5 -4.75 69 70 3.134524247751973e-05 4.892242650621432e-10
-5 -4.75 70 71 2.290702117728853e-05 4.647493491124251e-10
-5 -4.75 71 72 1.655066311749659e-05 1.557832359069594e-10
-5 -4.75 72 73 1.181037312175489e-05 1.605765490227693e-10
-5 -4.75 73 74 8.313946253787609e-06 2.247233076622897e-10
-5 -4.75 74 75 5.765910626450148e-06 4.824122347267822e-11
-5 -4.75 75 76 3.933524777991563e-06 9.577370293657587e-11
-5 -4.75 76 77 2.635019143564214e-06 3.659321409442802e-11
-5 -4.75 77 78 1.729751250089514e-06 6.756461040569506e-11
-5 -4.75 78 79 1.110095525078235e-06 4.61041485153218e-12
-5 -4.75 79 80 6.94537803264815e-07 3.799493443189272e-12
-5 -4.75 80 81 4.222227533722038e-07 2.569060913634917e-12
-5 -4.75 81 82 2.483610115937186e-07 2.273662991097505e-12
-5 -4.75 82 83 1.406395582939152e-07 1.320901134579983e-12
-5 -4.75 83 84 7.619504094078789e-08 1.202889247487127e-12
-5 -4.75 84 85 3.919066647875326e-08 8.423287084038034e-13
-5 -4.75 85 86 1.895068525730267e-08 9.264554953496062e-13
-5 -4.75 86 87 8.505927150083134e-09 1.560550777070334e-13
-5 -4.75 87 88 3.487349001115151e-09 8.670809211802157e-14
-5 -4.75 88 89 1.279369940836106e-09 5.561984031632666e-14
-5 -4.75 89 90 4.098479837707167e-10 1.629900459238364e-14
-5 -4.75 90 91 1.121122413509611e-10 2.881526894691278e-15
-5 -4.75 91 92 2.604909587303063e-11 8.84060770044862e-17
-5 -4.75 92 93 5.020071206855056e-12 2.958049085086448e-17
-5 -4.75 93 94 6.29871429102414e-13 7.246444480100548e-18
-5 -4.75 94 95 1.928800512706856e-14 6.271627852161021e-20
-5 -4.75 95 96 2.769033711454247e-20 4.379536869506297e-25
-5 -4.75 96 97 0 0
-5 -4.75 97 98 0 0
-5 -4.75 98 99 0 0
-5 -4.75 99 100 0 0
-4.75 -4.5 0 1 103.3230608312119 0.005026961563331156
-4.75 -4.5 1 2 373.1911771705356 0.01195553698454432
-4.75 -4.5 2 3 262.7178872669401 0.007723921858257654
-4.75 -4.5 3 4 187.3704268628218 0.005289429970417814
-4.75 -4.5 4 5 139.8712463779386 0.00389420281030084
-4.75 -4.5 5 6 108.1710234108386 0.002954010394219608
-4.75 -4.5 6 7 85.89270210025693 0.002254300813277155
-4.75 -4.5 7 8 69.58896430950151 0.001761998216181837
-4.75 -4.5 8 9 57.27196097270394 0.001381753157332355
-4.75 -4.5 9 10 47.7301745868693 0.001081481933717043
-4.75 -4.5 10 11 40.18650475696396 0.0008398265596412102
-4.75 -4.5 11 12 34.12099793376265 0.000650647671427862
-4.75 -4.5 12 13 29.17622809881774 0.0004970505515480284
-4.75 -4.5 13 14 25.09713717893883 0.0003704900839345271
-4.75 -4.5 14 15 21.69797650752076 0.000270124795662241
-4.75 -4.5 15 16 18.84081001288764 0.0001813110627928438
-4.75 -4.5 16 17 16.42121037737928 0.0001151827481464807
-4.75 -4.5 17 18 14.35864946784171 5.85737945630882e-05
-4.75 -4.5 18 19 12.59021427623107 1.70823923060226e-05
-4.75 -4.5 19 20 11.06622008162761 0.0004507637677129139
-4.75 -4.5 20 21 9.747047267963534 0.0002700414732839107
-4.75 -4.5 21 22 8.600598568085612 0.000135580148011627
-4.75 -4.5 22 23 7.600694741256332 5.980092382085189e-05
-4.75 -4.5 23 24 6.725921328192297 0.0002235724712651432
-4.75 -4.5 24 25 5.958397244946057 0.000255240483008734
-4.75 -4.5 25 26 5.283317350334682 0.0001449402808599842
-4.75 -4.5 26 27 4.688336325339399 0.0001738377281714776
