#ylo yhi PDF0  uncertainty
-5 -4 85849.01124630129 32.07830943919428
-4 -3.75 95565.9989993792 72.9126635137618
-3.75 -3.5 134334.769771015 162.3802306009512
-3.5 -3.25 169132.548650448 184.0298624834618
-3.25 -3 198129.1822166765 148.195148381268
-3 -2.75 222590.1733545776 304.078999571175
-2.75 -2.5 243279.4451284891 236.6460175752104
-2.5 -2.25 260837.8647678102 203.2612977531116
-2.25 -2 275769.6951959177 173.2769214587368
-2 -1.75 288400.5085086836 156.4962490776309
-1.75 -1.5 299264.817291524 201.5221597282505
-1.5 -1.25 308053.8548753372 164.6269528057047
-1.25 -1 315341.9851420363 166.8662249593128
-1 -0.75 321362.460125702 199.1267037510389
-0.75 -0.5 325676.0776717247 169.1033108789213
-0.5 -0.25 328688.878776743 167.6877873990726
-0.25 0 330242.9778406389 175.4900526451005
0 0.25 330306.9720659263 175.6897213097927
0.25 0.5 328840.5193147362 163.4807110911808
0.5 0.75 325887.0071193249 162.391479328826
0.75 1 321575.0327084291 198.3990856496513
1 1.25 315541.5826537066 154.9825716681785
1.25 1.5 308248.22388106 151.3912184795691
1.5 1.75 299463.6708610957 203.4886233606981
1.75 2 288606.2641708008 145.5921296814101
2 2.25 275974.2983256014 172.1793035685126
2.25 2.5 261041.1684320536 205.8642728465791
2.5 2.75 243454.9115206411 238.7493169739203
2.75 3 222719.4589939371 303.8543045614898
3 3.25 198220.4693628955 171.6151398774981
3.25 3.5 168647.7588471895 172.5607445732873
3.5 3.75 134285.1281146674 163.8975345265237
3.75 4 95485.89899489813 72.95386494461742
4 5 85667.86711677957 32.03565275796414
-5 5 8406486.482046748 1049.867984066859
