#ylo yhi PDF0  uncertainty
-5 -4.75 117.8961191488243 0.02249951021709963
-4.75 -4.5 1376.237054196132 1.190348355774624
-4.5 -4.25 6090.941297030192 3.725533963093508
-4.25 -4 14702.76081624247 7.961041713091735
-4 -3.75 24972.14236597377 17.37387591307658
-3.75 -3.5 34641.32462789282 24.44387763629873
-3.5 -3.25 42646.58954824884 29.24459656851944
-3.25 -3 48737.19890970085 32.35212715495565
-3 -2.75 53230.71825862888 34.25201171421827
-2.75 -2.5 56600.83482481333 62.63445168078563
-2.5 -2.25 59280.36769044361 63.79170608639882
-2.25 -2 61542.35078968938 55.06959165170149
-2 -1.75 63558.26772176183 55.47988063434668
-1.75 -1.5 65277.59258619719 38.14871954845195
-1.5 -1.25 66822.89816914033 43.82092917973495
-1.25 -1 68191.02526350704 53.29310612110403
-1 -0.75 69288.37352916235 40.55062542062328
-0.75 -0.5 70135.48075122676 52.41870803756569
-0.5 -0.25 70732.20465548796 59.77568046346993
-0.25 0 71032.1787910697 57.13801038650205
0 0.25 71032.17953151537 57.14056941298344
0.25 0.5 70732.1963414174 59.77410954385108
0.5 0.75 70135.49075352242 52.41924729184813
0.75 1 69288.36726676389 40.54474035598347
1 1.25 68191.02720255671 53.29739451650293
1.25 1.5 66822.89642902985 43.81906918330036
1.5 1.75 65277.5984264143 38.14768326553673
1.75 2 63558.27163700341 55.48501260143357
2 2.25 61542.35392211125 55.06630734990505
2.25 2.5 59280.36802486354 63.79426935385744
2.5 2.75 56600.83478308956 62.63442833456393
2.75 3 53230.72032554159 34.25199578040321
3 3.25 48737.1982493774 32.35269305863975
3.25 3.5 42646.59367936056 29.24467771258443
3.5 3.75 34641.32875242969 24.44326732184388
3.75 4 24972.13615860833 17.3745741196837
4 4.25 14702.75804833492 7.96121626347969
4.25 4.5 6090.940428295808 3.72553669257826
4.5 4.75 1376.237114544512 1.190384435290837
4.75 5 117.8961232384895 0.02249752826649224
-5 5 1897954.776967582 266.8415880800142
