#ylo yhi PDF0  uncertainty
-5 -4.75 117.8961191488243 0.02249951021709963
-4.75 -4.5 1376.237393884654 1.190103436222905
-4.5 -4.25 6091.001776249138 4.007952108642547
-4.25 -4 14704.68041837241 7.961710125998536
-4 -3.75 24986.80762930469 17.37855766037731
-3.75 -3.5 34695.04818479319 24.45600482189661
-3.5 -3.25 42774.58352306976 29.27073379418558
-3.25 -3 48969.90080479789 32.39591172563247
-3 -2.75 53584.93160102857 34.315276424415
-2.75 -2.5 57079.51825614509 66.56513448467389
-2.5 -2.25 59872.01877693424 63.56640386222954
-2.25 -2 62234.65231733361 37.47020321203083
-2 -1.75 64336.10483253048 45.83410033781011
-1.75 -1.5 66164.50410703613 38.24461222991503
-1.5 -1.25 67730.25220776451 39.09862308501715
-1.25 -1 69145.84989730857 53.57297274414584
-1 -0.75 70280.74020540397 40.82163637477108
-0.75 -0.5 71155.90458741035 52.67248193897507
-0.5 -0.25 71771.37608648039 60.0298884406767
-0.25 0 72080.772240784 57.4088310761371
0 0.25 72080.77896999795 57.41146585653477
0.25 0.5 71771.37836588522 60.03367194155619
0.5 0.75 71155.91051579728 52.67493157303598
0.75 1 70280.73608558743 40.82134610711692
1 1.25 69145.85138293293 53.57583367970594
1.25 1.5 67730.25190543308 39.09896958206846
1.5 1.75 66164.50470307903 38.24468757228272
1.75 2 64336.11085280157 45.83664329224286
2 2.25 62234.65739177532 37.47054883405551
2.25 2.5 59872.02648347443 63.56253391942788
2.5 2.75 57079.52031911912 66.56671714854093
2.75 3 53584.92956561274 34.31523568009708
3 3.25 48969.89876493261 32.39644437809778
3.25 3.5 42774.5870208271 29.27072570101214
3.5 3.75 34695.04801165708 24.45599011745526
3.75 4 24986.80944721079 17.37812997693858
4 4.25 14704.67867668833 7.961618745632467
4.25 4.5 6091.001714383163 4.007620486141275
4.5 4.75 1376.237457953813 1.190134835116623
4.75 5 117.8961232384895 0.02249752826649224
-5 5 1918305.594724169 257.8503769918007
