(*{Q, Y, qT, xsec, deltanum}*)
{  90.000000,  0.000000,  0.500000, ,         0.0015986299} 
{  90.000000,  0.000000,  1.500000, ,         0.0042553586} 
{  90.000000,  0.000000,  3.000000, ,         0.0098588145} 
{  90.000000,  0.000000,  5.000000, ,         0.0113778554} 
{  90.000000,  0.000000,  7.000000, ,         0.0100267368} 
{  90.000000,  0.000000,  9.000000, ,         0.0086460863} 
{  90.000000,  0.000000,  11.000000, ,         0.0088132837} 
{  90.000000,  0.000000,  13.000000, ,         0.0065812534} 
{  90.000000,  0.000000,  15.000000, ,         0.0066275545} 
{  90.000000,  0.000000,  17.000000, ,         0.0056179729} 
{  90.000000,  0.000000,  19.000000, ,         0.0048043464} 
{  90.000000,  0.000000,  21.250000, ,         0.0054358831} 
{  90.000000,  0.000000,  23.750000, ,         0.0045431473} 
{  90.000000,  0.000000,  26.250000, ,         0.0040029013} 
{  90.000000,  0.000000,  28.750000, ,         0.0035045861} 
{  90.000000,  0.000000,  31.500000, ,         0.0035120180} 
{  90.000000,  0.000000,  34.500000, ,         0.0030572479} 
{  90.000000,  0.000000,  37.500000, ,         0.0026343028} 
{  90.000000,  0.000000,  40.500000, ,         0.0022578151} 
{  90.000000,  0.000000,  43.500000, ,         0.0019296421} 
{  90.000000,  0.000000,  46.500000, ,         0.0016415294} 
{  90.000000,  0.000000,  49.500000, ,         0.0013965809} 
{  90.000000,  0.000000,  52.500000, ,         0.0012169428} 
{  90.000000,  0.000000,  55.500000, ,         0.0009508810} 
{  90.000000,  0.000000,  59.000000, ,         0.0010535710} 
{  90.000000,  0.000000,  63.000000, ,         0.0009534822} 
{  90.000000,  0.000000,  67.500000, ,         0.0010161260} 
{  90.000000,  0.000000,  72.500000, ,         0.0007759011} 
{  90.000000,  0.000000,  77.500000, ,         0.0005733187} 
{  90.000000,  0.000000,  82.500000, ,         0.0004155868} 
{  90.000000,  0.000000,  90.000000, ,         0.0004430050} 
{  90.000000,  0.000000,  100.000000, ,         0.0000619909} 
{  90.000000,  0.000000,  115.000000, ,         0.0006228039} 
