------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      c702f44

Read runcard inclusive_Z_MSHT20an3lo_nplambda_N3LLp.ini
Using custom EW parameters.
Calculating central values only (no variations config file found).

Started job on Wed Mar 13 00:08:13 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    40
Number of CUBA cores: 1
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 6.000000,  8.000000} in      30s. Obtained xsec =       118.6098602977 +-         0.0100267368.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 4.000000,  6.000000} in      32s. Obtained xsec =       133.3400043056 +-         0.0113778554.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 57.000000,  61.000000} in      36s. Obtained xsec =        12.5117624076 +-         0.0010535710.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 8.000000,  10.000000} in      37s. Obtained xsec =       103.1106485014 +-         0.0086460863.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 10.000000,  12.000000} in      41s. Obtained xsec =        88.9861325401 +-         0.0088132837.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 16.000000,  18.000000} in      41s. Obtained xsec =        58.3215729706 +-         0.0056179729.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 61.000000,  65.000000} in      41s. Obtained xsec =        10.2530562300 +-         0.0009534822.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 54.000000,  57.000000} in      41s. Obtained xsec =        11.1352848680 +-         0.0009508810.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 14.000000,  16.000000} in      41s. Obtained xsec =        66.8079480495 +-         0.0066275545.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 51.000000,  54.000000} in      43s. Obtained xsec =        12.8881271270 +-         0.0012169428.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 18.000000,  20.000000} in      44s. Obtained xsec =        51.1405037816 +-         0.0048043464.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 12.000000,  14.000000} in      44s. Obtained xsec =        76.9052919376 +-         0.0065812534.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 30.000000,  33.000000} in      44s. Obtained xsec =        36.8683098263 +-         0.0035120180.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 39.000000,  42.000000} in      46s. Obtained xsec =        23.1763436928 +-         0.0022578151.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 48.000000,  51.000000} in      46s. Obtained xsec =        14.9080288079 +-         0.0013965809.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 42.000000,  45.000000} in      46s. Obtained xsec =        19.9802323596 +-         0.0019296421.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 45.000000,  48.000000} in      46s. Obtained xsec =        17.2523667394 +-         0.0016415294.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 36.000000,  39.000000} in      46s. Obtained xsec =        26.9552074623 +-         0.0026343028.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 20.000000,  22.500000} in      46s. Obtained xsec =        55.4115453777 +-         0.0054358831.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 33.000000,  36.000000} in      47s. Obtained xsec =        31.4614573209 +-         0.0030572479.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 2.000000,  4.000000} in      51s. Obtained xsec =       131.8087494561 +-         0.0098588145.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 65.000000,  70.000000} in      54s. Obtained xsec =        10.1864246211 +-         0.0010161260.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 1.000000,  2.000000} in      55s. Obtained xsec =        45.6048462182 +-         0.0042553586.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 22.500000,  25.000000} in      57s. Obtained xsec =        47.5293716342 +-         0.0045431473.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 0.000000,  1.000000} in      58s. Obtained xsec =        16.8700321871 +-         0.0015986299.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 70.000000,  75.000000} in      73s. Obtained xsec =         7.7801863391 +-         0.0007759011.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 27.500000,  30.000000} in      77s. Obtained xsec =        35.6808977821 +-         0.0035045861.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 25.000000,  27.500000} in      94s. Obtained xsec =        41.0830516516 +-         0.0040029013.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 75.000000,  80.000000} in      95s. Obtained xsec =         5.8098988964 +-         0.0005733187.
