(*{Q, Y, qT, xsec, deltanum}*)
{  90.000000,  0.000000,  0.500000, ,         0.0016246917} 
{  90.000000,  0.000000,  1.500000, ,         0.0043248289} 
{  90.000000,  0.000000,  2.500000, ,         0.0058533163} 
{  90.000000,  0.000000,  3.500000, ,         0.0058873301} 
{  90.000000,  0.000000,  4.500000, ,         0.0058161135} 
{  90.000000,  0.000000,  5.500000, ,         0.0058195455} 
{  90.000000,  0.000000,  6.500000, ,         0.0053013632} 
{  90.000000,  0.000000,  7.500000, ,         0.0050629557} 
{  90.000000,  0.000000,  8.500000, ,         0.0045858813} 
{  90.000000,  0.000000,  9.500000, ,         0.0043508851} 
{  90.000000,  0.000000,  10.500000, ,         0.0039326486} 
{  90.000000,  0.000000,  11.500000, ,         0.0042886554} 
{  90.000000,  0.000000,  12.500000, ,         0.0034648470} 
{  90.000000,  0.000000,  13.500000, ,         0.0032075878} 
{  90.000000,  0.000000,  14.500000, ,         0.0035047495} 
{  90.000000,  0.000000,  15.500000, ,         0.0032680784} 
{  90.000000,  0.000000,  16.500000, ,         0.0030377143} 
{  90.000000,  0.000000,  17.500000, ,         0.0025853111} 
{  90.000000,  0.000000,  18.500000, ,         0.0026257698} 
{  90.000000,  0.000000,  19.500000, ,         0.0023298852} 
{  90.000000,  0.000000,  20.500000, ,         0.0022952574} 
{  90.000000,  0.000000,  21.500000, ,         0.0020862432} 
{  90.000000,  0.000000,  22.500000, ,         0.0019462346} 
{  90.000000,  0.000000,  23.500000, ,         0.0019157432} 
{  90.000000,  0.000000,  24.500000, ,         0.0017711589} 
{  90.000000,  0.000000,  25.500000, ,         0.0016879812} 
{  90.000000,  0.000000,  26.500000, ,         0.0016410706} 
{  90.000000,  0.000000,  27.500000, ,         0.0015387105} 
{  90.000000,  0.000000,  28.500000, ,         0.0014456635} 
{  90.000000,  0.000000,  29.500000, ,         0.0013787316} 
{  90.000000,  0.000000,  30.500000, ,         0.0012444112} 
{  90.000000,  0.000000,  31.500000, ,         0.0011638359} 
{  90.000000,  0.000000,  32.500000, ,         0.0011778054} 
{  90.000000,  0.000000,  33.500000, ,         0.0011191726} 
{  90.000000,  0.000000,  34.500000, ,         0.0010528204} 
{  90.000000,  0.000000,  35.500000, ,         0.0010004104} 
{  90.000000,  0.000000,  36.500000, ,         0.0009493816} 
{  90.000000,  0.000000,  37.500000, ,         0.0009010206} 
{  90.000000,  0.000000,  38.500000, ,         0.0008559458} 
{  90.000000,  0.000000,  39.500000, ,         0.0008131167} 
