------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      c702f44

Read runcard inclusive_Z_MSHT20an3lo_nplambda_N3LLp.ini
Using custom EW parameters.
Calculating central values only (no variations config file found).

Started job on Wed Mar 13 00:55:02 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    40
Number of CUBA cores: 1
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 6.000000,  7.000000} in      31s. Obtained xsec =        62.2636945038 +-         0.0053013632.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 5.000000,  6.000000} in      31s. Obtained xsec =        66.1263096236 +-         0.0058195455.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 7.000000,  8.000000} in      32s. Obtained xsec =        58.2813303550 +-         0.0050629557.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 4.000000,  5.000000} in      34s. Obtained xsec =        69.3833552857 +-         0.0058161135.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 8.000000,  9.000000} in      34s. Obtained xsec =        54.3131848948 +-         0.0045858813.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 9.000000,  10.000000} in      41s. Obtained xsec =        50.4849373317 +-         0.0043508851.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 11.000000,  12.000000} in      41s. Obtained xsec =        43.5561011228 +-         0.0042886554.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 16.000000,  17.000000} in      42s. Obtained xsec =        30.6331955680 +-         0.0030377143.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 18.000000,  19.000000} in      42s. Obtained xsec =        26.8288026393 +-         0.0026257698.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 14.000000,  15.000000} in      42s. Obtained xsec =        35.1240083736 +-         0.0035047495.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 15.000000,  16.000000} in      42s. Obtained xsec =        32.7822621358 +-         0.0032680784.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 32.000000,  33.000000} in      43s. Obtained xsec =        11.8309236740 +-         0.0011778054.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 13.000000,  14.000000} in      44s. Obtained xsec =        37.6804247531 +-         0.0032075878.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 10.000000,  11.000000} in      44s. Obtained xsec =        46.8884213771 +-         0.0039326486.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 12.000000,  13.000000} in      44s. Obtained xsec =        40.4875805097 +-         0.0034648470.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 17.000000,  18.000000} in      44s. Obtained xsec =        28.6499267568 +-         0.0025853111.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 20.000000,  21.000000} in      45s. Obtained xsec =        23.5992661611 +-         0.0022952574.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 21.000000,  22.000000} in      45s. Obtained xsec =        22.1556064748 +-         0.0020862432.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 30.000000,  31.000000} in      45s. Obtained xsec =        13.1711728024 +-         0.0012444112.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 22.000000,  23.000000} in      45s. Obtained xsec =        20.8238835168 +-         0.0019462346.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 19.000000,  20.000000} in      45s. Obtained xsec =        25.1550409923 +-         0.0023298852.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 31.000000,  32.000000} in      45s. Obtained xsec =        12.4791392527 +-         0.0011638359.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 36.000000,  37.000000} in      47s. Obtained xsec =         9.6034871639 +-         0.0009493816.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 39.000000,  40.000000} in      47s. Obtained xsec =         8.2501585540 +-         0.0008131167.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 38.000000,  39.000000} in      47s. Obtained xsec =         8.6756278898 +-         0.0008559458.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 37.000000,  38.000000} in      47s. Obtained xsec =         9.1258606569 +-         0.0009010206.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 33.000000,  34.000000} in      47s. Obtained xsec =        11.2231906919 +-         0.0011191726.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 23.000000,  24.000000} in      48s. Obtained xsec =        19.5973459429 +-         0.0019157432.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 34.000000,  35.000000} in      48s. Obtained xsec =        10.6508483460 +-         0.0010528204.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 35.000000,  36.000000} in      48s. Obtained xsec =        10.1113048316 +-         0.0010004104.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 3.000000,  4.000000} in      51s. Obtained xsec =        70.0305435854 +-         0.0058873301.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 2.000000,  3.000000} in      53s. Obtained xsec =        63.8495968228 +-         0.0058533163.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 1.000000,  2.000000} in      55s. Obtained xsec =        46.3684317009 +-         0.0043248289.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 24.000000,  25.000000} in      55s. Obtained xsec =        18.4651442748 +-         0.0017711589.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 29.000000,  30.000000} in      55s. Obtained xsec =        13.9103554666 +-         0.0013787316.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 0.000000,  1.000000} in      59s. Obtained xsec =        17.1549164475 +-         0.0016246917.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 25.000000,  26.000000} in      62s. Obtained xsec =        17.4186530645 +-         0.0016879812.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 28.000000,  29.000000} in      77s. Obtained xsec =        14.7002991183 +-         0.0014456635.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 26.000000,  27.000000} in      84s. Obtained xsec =        16.4636456358 +-         0.0016410706.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 27.000000,  28.000000} in     116s. Obtained xsec =        15.5435801129 +-         0.0015387105.
Finished evaluation. Took 116s = 0.032195871869723h on 40 kernels.
Writing out results ...
Finished job on Wed Mar 13 00:56:57 2024 on machine lxplus8s10.cern.ch
