(*{Q, Y, qT, xsec, deltanum}*)
{  90.000000,  0.000000,  0.500000, ,         0.0045103714} 
{  90.000000,  0.000000,  1.500000, ,         0.0390749354} 
{  90.000000,  0.000000,  2.500000, ,         0.0549428938} 
{  90.000000,  0.000000,  3.500000, ,         0.0697883938} 
{  90.000000,  0.000000,  4.500000, ,         0.0206062961} 
{  90.000000,  0.000000,  5.500000, ,         0.0201319623} 
{  90.000000,  0.000000,  6.500000, ,         0.0190847394} 
{  90.000000,  0.000000,  7.500000, ,         0.0194303915} 
{  90.000000,  0.000000,  8.500000, ,         0.0170740524} 
{  90.000000,  0.000000,  9.500000, ,         0.0488392519} 
{  90.000000,  0.000000,  10.500000, ,         0.0445618231} 
{  90.000000,  0.000000,  11.500000, ,         0.0410898306} 
{  90.000000,  0.000000,  12.500000, ,         0.0374917516} 
{  90.000000,  0.000000,  13.500000, ,         0.0348724156} 
{  90.000000,  0.000000,  14.500000, ,         0.0322204380} 
{  90.000000,  0.000000,  15.500000, ,         0.0298734156} 
{  90.000000,  0.000000,  16.500000, ,         0.0279358912} 
{  90.000000,  0.000000,  17.500000, ,         0.0260517225} 
{  90.000000,  0.000000,  18.500000, ,         0.0243351399} 
{  90.000000,  0.000000,  19.500000, ,         0.0227910382} 
{  90.000000,  0.000000,  20.500000, ,         0.0214080161} 
{  90.000000,  0.000000,  21.500000, ,         0.0203424616} 
{  90.000000,  0.000000,  22.500000, ,         0.0191270220} 
{  90.000000,  0.000000,  23.500000, ,         0.0180948102} 
{  90.000000,  0.000000,  24.500000, ,         0.0174028589} 
{  90.000000,  0.000000,  25.500000, ,         0.0165612150} 
{  90.000000,  0.000000,  26.500000, ,         0.0156205949} 
{  90.000000,  0.000000,  27.500000, ,         0.0144655092} 
{  90.000000,  0.000000,  28.500000, ,         0.0137588239} 
{  90.000000,  0.000000,  29.500000, ,         0.0132543422} 
{  90.000000,  0.000000,  30.500000, ,         0.0124883360} 
{  90.000000,  0.000000,  31.500000, ,         0.0114890576} 
{  90.000000,  0.000000,  32.500000, ,         0.0098796048} 
{  90.000000,  0.000000,  33.500000, ,         0.0089270144} 
{  90.000000,  0.000000,  34.500000, ,         0.0105357592} 
{  90.000000,  0.000000,  35.500000, ,         0.0057023266} 
{  90.000000,  0.000000,  36.500000, ,         0.0088103960} 
{  90.000000,  0.000000,  37.500000, ,         0.0084215883} 
{  90.000000,  0.000000,  38.500000, ,         0.0077153120} 
{  90.000000,  0.000000,  39.500000, ,         0.0072925016} 
