------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      c702f44

Read runcard n3llp.ini
Using custom EW parameters.
Calculating central values only (no variations config file found).

Started job on Wed Mar 13 01:17:50 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    40
Number of CUBA cores: 1
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 20.000000,  21.000000} in      21s. Obtained xsec =        23.6170999831 +-         0.0214080161.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 13.000000,  14.000000} in      21s. Obtained xsec =        37.6921778952 +-         0.0348724156.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 5.000000,  6.000000} in      21s. Obtained xsec =        66.1387664720 +-         0.0201319623.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 15.000000,  16.000000} in      21s. Obtained xsec =        32.7828645536 +-         0.0298734156.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 25.000000,  26.000000} in      21s. Obtained xsec =        17.4415466820 +-         0.0165612150.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 4.000000,  5.000000} in      21s. Obtained xsec =        69.3713218688 +-         0.0206062961.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 12.000000,  13.000000} in      21s. Obtained xsec =        40.4869457370 +-         0.0374917516.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 9.000000,  10.000000} in      21s. Obtained xsec =        50.4929011046 +-         0.0488392519.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 18.000000,  19.000000} in      21s. Obtained xsec =        26.8376060346 +-         0.0243351399.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 10.000000,  11.000000} in      21s. Obtained xsec =        46.8877824198 +-         0.0445618231.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 6.000000,  7.000000} in      21s. Obtained xsec =        62.2568494772 +-         0.0190847394.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 19.000000,  20.000000} in      21s. Obtained xsec =        25.1659453351 +-         0.0227910382.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 23.000000,  24.000000} in      21s. Obtained xsec =        19.6320249771 +-         0.0180948102.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 14.000000,  15.000000} in      21s. Obtained xsec =        35.1316964453 +-         0.0322204380.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 16.000000,  17.000000} in      21s. Obtained xsec =        30.6195472694 +-         0.0279358912.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 11.000000,  12.000000} in      21s. Obtained xsec =        43.5434510497 +-         0.0410898306.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 29.000000,  30.000000} in      21s. Obtained xsec =        13.9288294334 +-         0.0132543422.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 24.000000,  25.000000} in      21s. Obtained xsec =        18.4963542413 +-         0.0174028589.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 30.000000,  31.000000} in      21s. Obtained xsec =        13.2049098888 +-         0.0124883360.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 21.000000,  22.000000} in      21s. Obtained xsec =        22.1812392140 +-         0.0203424616.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 17.000000,  18.000000} in      21s. Obtained xsec =        28.6485248853 +-         0.0260517225.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 28.000000,  29.000000} in      21s. Obtained xsec =        14.7127177579 +-         0.0137588239.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 27.000000,  28.000000} in      21s. Obtained xsec =        15.5580820014 +-         0.0144655092.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 22.000000,  23.000000} in      21s. Obtained xsec =        20.8554709453 +-         0.0191270220.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 26.000000,  27.000000} in      21s. Obtained xsec =        16.4623885735 +-         0.0156205949.
